world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/turkey/ankara,Ankara,Ankara,13,116,see,Altınköy Open Air Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ethnography Museum,asia/turkey/ankara/ethnography_museum,0.476,,,missing_coordinates; has_external_url,https://www.altinkoy.org/,https://en.wikivoyage.org/wiki/Ankara
europe/romania/vama_veche,Vama Veche,Vama Veche,5,8,do,Party!!!,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,La Zero,europe/romania/vama_veche/la_zero,0.222,,,missing_coordinates; has_external_url,http://www.24fun.ro,https://en.wikivoyage.org/wiki/Vama_Veche
europe/austria/bludenz,Bludenz,Bludenz,4,34,see,St.Laurentiuskirche (church),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Convent of St. Peter,europe/austria/bludenz/convent_of_st_peter,0.263,,,missing_coordinates; has_external_url,https://www.vorarlberg-alpenregion.at/de/bludenz/info/st-laurentiuskirche.html,https://en.wikivoyage.org/wiki/Bludenz
southamerica/chile/concepcion,Concepción,Concepción,13,33,do,Hualpén Museum and the Desembocadura,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Plaza de la Independencia,southamerica/chile/concepcion/plaza_independencia,0.314,,,missing_coordinates; has_external_url,https://www.facebook.com/pages/Museo-Hualpen-y-Desembocadura-Rio-Biobio/456998981037878,https://en.wikivoyage.org/wiki/Concepci%C3%B3n
northamerica/unitedstates/newhampshire/portsmouth,Portsmouth,Portsmouth (New Hampshire),11,40,see,Albacore Museum and Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Strawbery Banke Museum,northamerica/unitedstates/newhampshire/portsmouth/strawbery_banke,0.478,,,missing_coordinates; has_external_url,http://www.ussalbacore.org/,https://en.wikivoyage.org/wiki/Portsmouth_%28New_Hampshire%29
northamerica/unitedstates/tennessee/johnson_city,Johnson City,Johnson City (Tennessee),7,25,do,Paradise Acres,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Appalachian Trail Access,northamerica/unitedstates/tennessee/johnson_city/appalachian_trail,0.526,,,missing_coordinates; has_external_url,https://paradiseacres.fun,https://en.wikivoyage.org/wiki/Johnson_City_%28Tennessee%29
europe/russia/yaroslavl,Yaroslavl,Yaroslavl,5,7,see,Yaroslavl Architectural Historical and Art Museum Preserve,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Yaroslavl Art Museum,europe/russia/yaroslavl/yaroslavl_art_museum,0.513,,,missing_coordinates; has_external_url,http://www.yarkremlin.ru/,https://en.wikivoyage.org/wiki/Yaroslavl
northamerica/canada/britishcolumbia/burnaby,Burnaby,Burnaby,8,38,see,TransLink,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burnaby Mountain Park,northamerica/canada/britishcolumbia/burnaby/burnaby_mountain_park,0.333,,,missing_coordinates; has_external_url,https://www.translink.ca/,https://en.wikivoyage.org/wiki/Burnaby
northamerica/unitedstates/newmexico/ruidoso,Ruidoso,Ruidoso,7,10,do,Ruidoso Winter Park - Tubing,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ruidoso Downs Racetrack,northamerica/unitedstates/newmexico/ruidoso/ruidoso_downs,0.531,,,missing_coordinates; has_external_url,https://www.ruidosowinterpark.com/,https://en.wikivoyage.org/wiki/Ruidoso
europe/czechrepublic/brno,Brno,Brno,15,89,see,Brno Water Tanks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Brno Ossuary,europe/czechrepublic/brno/brno_ossuary,0.429,,,missing_coordinates; has_external_url,https://vodojemybrno.cz/,https://en.wikivoyage.org/wiki/Brno
