world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/croatia/umag,Umag,Umag,5,5,see,Kanegra FKK,0.59,candidate,has description; high-value type; has external URL,,,Church of Saints Hermagoras and Fortunatus,europe/croatia/umag/church_of_saints_hermagoras_and_fortunatus,0.302,,,missing_coordinates; has_external_url,http://www.istracamping.com/en/camping/kanegra/overview,https://en.wikivoyage.org/wiki/Umag
northamerica/unitedstates/westvirginia/bluefield_wv,Bluefield,Bluefield (West Virginia),6,17,do,The Granada Theater,0.59,candidate,has description; high-value type; has external URL,,,Pinnacle Rock State Park,northamerica/unitedstates/westvirginia/bluefield_wv/pinnacle_rock_state_park,0.359,,,missing_coordinates; has_external_url,https://www.bluefieldgranada.com,https://en.wikivoyage.org/wiki/Bluefield_%28West_Virginia%29
europe/italy/lazio/rome,Rome,Rome,144,65,do,Estate Romana Festival,0.59,candidate,has description; high-value type; has external URL,,,Osteria La Gensola,europe/italy/lazio/rome/osteria_la_gensola,0.486,,,missing_coordinates; has_external_url,http://www.estateromana.comune.roma.it/,https://en.wikivoyage.org/wiki/Rome
northamerica/unitedstates/minnesota/bloomington,Bloomington,Bloomington (Minnesota),7,22,do,Pinnacle Rock Climbing Tower located in REI,0.59,candidate,has description; high-value type; has external URL,,,Nickelodeon Universe,northamerica/unitedstates/minnesota/bloomington/nickelodeon_universe,0.317,,,missing_coordinates; has_external_url,http://www.rei.com/stores/bloomington/pinnacle.html,https://en.wikivoyage.org/wiki/Bloomington_%28Minnesota%29
europe/italy/emiliaromagna/parma,Parma,Parma,15,41,see,Antica Spezieria di San Giovanni,0.59,candidate,has description; high-value type; has external URL,,,Camera di San Paolo,europe/italy/emiliaromagna/parma/camera_di_san_paolo,0.549,,,missing_coordinates; has_external_url,http://www.parmabeniartistici.beniculturali.it/altri-luoghi/antica-spezieria-di-san-giovanni,https://en.wikivoyage.org/wiki/Parma
europe/spain/galicia/pontevedra,Pontevedra,Pontevedra,17,12,see,Santuario de las Apariciones,0.59,candidate,has description; high-value type; has external URL,,,Santa María Basilica,europe/spain/galicia/pontevedra/santa_mara_basil,0.513,,,missing_coordinates; has_external_url,https://www.casadelinmaculadocorazon.es/,https://en.wikivoyage.org/wiki/Pontevedra
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,do,Irvine Chamber Visitors Bureau,0.59,candidate,has description; high-value type; has external URL,,,UC Irvine Campus,northamerica/unitedstates/california/orangecounty/irvine/uci_campus,0.478,,,missing_coordinates; has_external_url,http://www.destinationirvine.com/,https://en.wikivoyage.org/wiki/Irvine
southamerica/brazil/recife,Recife,Recife,34,154,do,Cineteatro José Carlos Cavalvante Borges,0.59,candidate,has description; high-value type; has external URL,,,Oficina Cerâmica Francisco Brennand,southamerica/brazil/recife/oficina_ceramica_brennand,0.432,,,missing_coordinates; has_external_url,http://www.fundaj.gov.br/index.php?option=com_content&view=article&id=5420:em-cartaz&catid=62:cinema-da-fundacao,https://en.wikivoyage.org/wiki/Recife
northamerica/unitedstates/california/escondido,Escondido,Escondido,6,18,do,San Diego Archaeological Center,0.59,candidate,has description; high-value type; has external URL,,,San Diego Zoo Safari Park,northamerica/unitedstates/california/escondido/san_diego_zoo_safari_park,0.536,,,missing_coordinates; has_external_url,http://www.sandiegoarchaeology.org,https://en.wikivoyage.org/wiki/Escondido
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Kampu Ferry,0.59,candidate,has description; high-value type; has external URL,,,Akama Shrine,asia/japan/honshu/shimonoseki/akama_shrine,0.435,,,missing_coordinates; has_external_url,http://www.kampuferry.co.jp/,https://en.wikivoyage.org/wiki/Shimonoseki
northamerica/unitedstates/florida/miami,Miami,Miami,57,70,see,Miami Living Magazine,0.59,candidate,has description; high-value type; has external URL,,,Miami Marine Stadium,northamerica/unitedstates/florida/miami/miami_marine_stadium,0.537,,,missing_coordinates; has_external_url,http://www.miamilivingmagazine.com/index.html,https://en.wikivoyage.org/wiki/Miami
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Great Smokies Craft Brewers Brewgrass Festival,0.59,candidate,has description; high-value type; has external URL,,,Biltmore Estate,northamerica/unitedstates/northcarolina/asheville/biltmore_estate,0.328,,,missing_coordinates; has_external_url,http://www.brewgrassfestival.com/,https://en.wikivoyage.org/wiki/Asheville
northamerica/canada/nunavut/iqaluit,Iqaluit,Iqaluit,4,42,do,Toonik Tyme,0.59,candidate,has description; high-value type; has external URL,,,St. Jude's Cathedral (Igloo Cathedral),northamerica/canada/nunavut/iqaluit/st_judes_cathedral,0.2,,,missing_coordinates; has_external_url,http://www.tooniktyme.ca/,https://en.wikivoyage.org/wiki/Iqaluit
northamerica/unitedstates/maine/ellsworth,Ellsworth,Ellsworth (Maine),6,39,see,West Bus,0.59,candidate,has description; high-value type; has external URL,,,Woodlawn Museum,northamerica/unitedstates/maine/ellsworth/woodlawn_museum,0.348,,,missing_coordinates; has_external_url,https://westbusservice.com/,https://en.wikivoyage.org/wiki/Ellsworth_%28Maine%29
northamerica/unitedstates/westvirginia/fayetteville,Fayetteville,Fayetteville (West Virginia),13,18,do,Equestrian Adventures,0.59,candidate,has description; high-value type; has external URL,,,Pies & Pints,northamerica/unitedstates/westvirginia/fayetteville/pies_and_pints,0.457,,,missing_coordinates; has_external_url,https://www.horsebackwv.com/,https://en.wikivoyage.org/wiki/Fayetteville_%28West_Virginia%29
asia/oman/muscat,Muscat,Muscat,24,152,see,Royal Jordanian,0.59,candidate,has description; high-value type; has external URL,,,Royal Opera House Muscat,asia/oman/muscat/royal_opera_house,0.513,,,missing_coordinates; has_external_url,http://www.rj.com/,https://en.wikivoyage.org/wiki/Muscat
europe/belgium/kortrijk,Kortrijk,Kortrijk,9,32,do,KV Kortrijk soccer team,0.59,candidate,has description; high-value type; has external URL,,,Belfry of Kortrijk,europe/belgium/kortrijk/belfry,0.439,,,missing_coordinates; has_external_url,http://kvk.be/,https://en.wikivoyage.org/wiki/Kortrijk
europe/switzerland/winterthur,Winterthur,Winterthur,7,11,do,Lake Zurich,0.59,candidate,has description; high-value type; has external URL,,,Kunstmuseum Winterthur,europe/switzerland/winterthur/kunstmuseum_winterthur,0.303,,,missing_coordinates; has_external_url,http://fahrplan.zvv.ch/,https://en.wikivoyage.org/wiki/Winterthur
europe/france/alpes/lyon,Lyon,Lyon,21,156,do,Auditorium,0.59,candidate,has description; high-value type; has external URL,,,Parc de la Tête d'Or,europe/france/alpes/lyon/parc_tete_dor,0.333,,,missing_coordinates; has_external_url,http://www.auditoriumlyon.com,https://en.wikivoyage.org/wiki/Lyon
northamerica/canada/ontario/sudbury,Sudbury,Sudbury (Ontario),18,65,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Respect is Burning,northamerica/canada/ontario/sudbury/respect_is_burning,0.24,,,missing_coordinates; has_external_url,https://www.flixbus.ca,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29
northamerica/costarica/quepos,Quepos,Quepos,3,10,do,Oceans Unlimited,0.59,candidate,has description; high-value type; has external URL,,,Sport Fishing Charters,northamerica/costarica/quepos/sport_fishing,0.316,,,missing_coordinates; has_external_url,http://www.oceansunlimitedcr.com,https://en.wikivoyage.org/wiki/Quepos
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,do,Taste of Madison,0.59,candidate,has description; high-value type; has external URL,,,State Street,northamerica/unitedstates/wisconsin/madison/state_street,0.429,,,missing_coordinates; has_external_url,http://www.tasteofmadison.com/,https://en.wikivoyage.org/wiki/Madison
europe/georgia/batumi,Batumi,Batumi,39,45,do,Black Sea Jazz Festival,0.59,candidate,has description; high-value type; has external URL,,,Batumi Seaside Boulevard,europe/georgia/batumi/batumi_seaside_bou,0.426,,,missing_coordinates; has_external_url,http://tbilisijazz.com/black-sea-jazz-festival-calendar/,https://en.wikivoyage.org/wiki/Batumi
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,do,California Extreme,0.59,candidate,has description; high-value type; has external URL,,,Cafe Stritch,northamerica/unitedstates/california/san_jose/cafe_stritch,0.4,,,missing_coordinates; has_external_url,http://www.caextreme.com/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,The Whiteaker,northamerica/unitedstates/oregon/eugene/whiteaker,0.4,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Eugene
europe/italy/campania/naples,Naples,Naples,50,160,see,Ukraine,0.59,candidate,has description; high-value type; has external URL,,,Marinella,europe/italy/campania/naples/marinella,0.5,,,missing_coordinates; has_external_url,https://naples.mfa.gov.ua/ua,https://en.wikivoyage.org/wiki/Naples
europe/poland/warsaw,Warsaw,Warsaw,56,70,see,Leon Kozminski Academy,0.59,candidate,has description; high-value type; has external URL,,,Łazienki Palace,europe/poland/warsaw/lazienki_palace,0.5,,,missing_coordinates; has_external_url,http://www.kozminski.edu.pl,https://en.wikivoyage.org/wiki/Warsaw
europe/croatia/zagreb,Zagreb,Zagreb,42,133,see,BajsZagreb,0.59,candidate,has description; high-value type; has external URL,,,Zagreb Cathedral,europe/croatia/zagreb/zagreb_cathedral,0.462,,,missing_coordinates; has_external_url,https://bajs.zagreb.hr/hr/,https://en.wikivoyage.org/wiki/Zagreb
northamerica/canada/britishcolumbia/sidney,Sidney,Sidney (British Columbia),3,63,see,Air North,0.59,candidate,has description; high-value type; has external URL,,,Sidney Spit Marine Park,northamerica/canada/britishcolumbia/sidney/sidney_spit_marine_park,0.188,,,missing_coordinates; has_external_url,https://www.flyairnorth.com/,https://en.wikivoyage.org/wiki/Sidney_%28British_Columbia%29
northamerica/unitedstates/newmexico/taos,Taos,Taos,11,35,do,Fiestas de Taos,0.59,candidate,has description; high-value type; has external URL,,,Vietnam Veterans Memorial,northamerica/unitedstates/newmexico/taos/vietnam_veterans_m,0.378,,,missing_coordinates; has_external_url,http://fiestasdetaos.com/,https://en.wikivoyage.org/wiki/Taos
northamerica/unitedstates/washington/tacoma,“Tacoma”,Tacoma,15,79,see,Sound Transit,0.59,candidate,has description; high-value type; has external URL,,,Stadium District,northamerica/unitedstates/washington/tacoma/stadium_district,0.483,,,missing_coordinates; has_external_url,https://www.soundtransit.org/,https://en.wikivoyage.org/wiki/Tacoma
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Museinatten i Uppsala,0.59,candidate,has description; high-value type; has external URL,,,Old Uppsala,europe/sweden/uppsala/old_uppsala,0.5,,,missing_coordinates; has_external_url,http://www.uppsalasmuseer.se/,https://en.wikivoyage.org/wiki/Uppsala
