world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/taiwan/torokogorge,Taroko Gorge,Taroko Gorge,9,23,see,Cave of Water Curtains / Baiyang Trail,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.185664,121.489157,Baiyang Waterfall Trail,asia/taiwan/torokogorge/baiyang_waterfall,0.441,6.163,13.381,needs_external_source,,https://en.wikivoyage.org/wiki/Taroko_Gorge
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,see,Theodore Roosevelt Area,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.37056,-81.48501,Black Sheep Restaurant,northamerica/unitedstates/florida/northeastflorida/jacksonville/black_sheep,0.444,19.321,17.309,needs_external_source,,https://en.wikivoyage.org/wiki/Jacksonville
europe/montenegro/hercegnovi,Herceg Novi,Herceg Novi,14,33,see,Submarine pens,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.4302,18.5812,Savina Monastery,europe/montenegro/hercegnovi/savina_monastery,0.467,3.35,4.365,needs_external_source,,https://en.wikivoyage.org/wiki/Herceg_Novi
northamerica/guatemala/chichicastenango,Chichicastenango,Chichicastenango,0,5,see,Chichi Market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.9431276,-91.1116546,,,0.0,,19.44,needs_external_source,,https://en.wikivoyage.org/wiki/Chichicastenango
northamerica/unitedstates/utah/zion,Zion National Park,Zion National Park,12,36,do,Hidden Canyon,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.25933,-112.93635,Kolob Canyons,northamerica/unitedstates/utah/zion/kolob_canyons,0.538,31.189,9.056,needs_external_source,,https://en.wikivoyage.org/wiki/Zion_National_Park
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,Cangzhou Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.3015,116.79808,Cangzhou Martial Arts Culture,asia/china/hebei/cangzhou/cangzhou_martial_arts,0.545,6.604,6.604,needs_external_source,,https://en.wikivoyage.org/wiki/Cangzhou
europe/germany/lowersaxony/hameln,Hameln,Hamelin,7,25,see,Hämelschenburg,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.0283,9.3444,Hochzeitshaus (Wedding House),europe/germany/lowersaxony/hameln/hochzeitshaus,0.37,8.464,8.456,needs_external_source,,https://en.wikivoyage.org/wiki/Hamelin
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,see,Satria Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.438786073237492,109.26853797461192,Alun-Alun Purwokerto,asia/indonesia/java/purwokerto/alun_alun_purwokerto,0.387,4.222,5.582,needs_external_source,,https://en.wikivoyage.org/wiki/Purwokerto
asia/china/yunnanprovince/tengchong,Tengchong,Tengchong,5,25,see,Dieshui River Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.0321888063,98.4804451663,Beihai Wetland,asia/china/yunnanprovince/tengchong/beihai_wetland,0.378,5.85,1.746,needs_external_source,,https://en.wikivoyage.org/wiki/Tengchong
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,Château de Fléville,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.626389,6.202222,Opéra national de Lorraine,europe/france/east/lorraine/nancy/opera_national_de_lorraine,0.359,7.558,7.614,needs_external_source,,https://en.wikivoyage.org/wiki/Nancy
asia/india/westbengal/asansol,Asansol,Asansol,7,17,see,Bishnu Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.718399,86.941116,Ghaghar Burhi Temple,asia/india/westbengal/asansol/ghaghar_burhi,0.545,7.729,4.874,needs_external_source,,https://en.wikivoyage.org/wiki/Asansol
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Lakkam Water Falls,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.27131,77.15419,Eravikulam National Park,asia/india/kerala/munnar/eravikulam_national_park,0.429,18.742,22.937,needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
europe/norway/flm,Flåm,Flåm,5,23,see,Undredal,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.949651,7.102919,Fjord Kayaking,europe/norway/flm/fjord_kayaking,0.273,9.813,9.651,needs_external_source,,https://en.wikivoyage.org/wiki/Fl%C3%A5m
asia/philippines/siquijor,Siquijor,Siquijor,10,24,see,Butterfly Sanctuary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.191638,123.600474,Balete Tree,asia/philippines/siquijor/balete_tree,0.4,7.743,2.593,needs_external_source,,https://en.wikivoyage.org/wiki/Siquijor
southamerica/chile/coquimbo,Coquimbo,Coquimbo,9,10,see,Fuerte de Coquimbo or Castillo del Carmen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-29.9348,-71.33616,Puerto de Coquimbo,southamerica/chile/coquimbo/puerto_de_coquimbo,0.531,1.532,2.148,needs_external_source,,https://en.wikivoyage.org/wiki/Coquimbo
