world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/thecaribbean/barbados/bridgetown,Bridgetown,Bridgetown,19,19,see,Garrison Savannah,0.62,candidate,has coordinates; high-value type,13.08,-59.607,The Garrison,northamerica/thecaribbean/barbados/bridgetown/garrison,0.64,1.339,2.047,needs_external_source,,https://en.wikivoyage.org/wiki/Bridgetown
asia/laos/vientiane,Vientiane,Vientiane,28,135,see,Wat Xieng Ngeun,0.62,candidate,has coordinates; high-value type,17.9631,102.6064,Bor Pen Yang,asia/laos/vientiane/bor_pen_yang,0.681,0.319,0.746,needs_external_source,,https://en.wikivoyage.org/wiki/Vientiane
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Botahtaung Jetty,0.62,candidate,has coordinates; high-value type,16.76707,96.17198,Botahtaung Pagoda,asia/myanmar/yangon/botahtaung_pagoda,0.667,0.51,3.498,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
southamerica/brazil/belohorizonte,Belo Horizonte,Belo Horizonte,55,50,see,Araújo Drugstore,0.62,candidate,has coordinates; high-value type,-19.91566,-43.94022,Praça Sete de Setembro,southamerica/brazil/belohorizonte/praca_sete,0.582,0.418,0.934,needs_external_source,,https://en.wikivoyage.org/wiki/Belo_Horizonte
europe/italy/piemonte/turin,Turin,Turin,55,105,do,Parco Pietro Colletta,0.62,candidate,has coordinates; high-value type,45.0801,7.7205,Crocetta,europe/italy/piemonte/turin/crocetta,0.552,5.165,3.282,needs_external_source,,https://en.wikivoyage.org/wiki/Turin
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,Meydan,0.62,candidate,has coordinates; high-value type,41.0053,39.7308,Trabzon Museum,asia/turkey/trabzon/trabzon_museum,0.638,0.362,0.28,needs_external_source,,https://en.wikivoyage.org/wiki/Trabzon
africa/capeverde/saotiago/praia,Praia,Praia,9,65,do,Praia de Prainha,0.62,candidate,has coordinates; high-value type,14.9042,-23.5118,Prainha Beach,africa/capeverde/saotiago/praia/prainha_beach,0.65,0.35,1.366,needs_external_source,,https://en.wikivoyage.org/wiki/Praia
asia/indonesia/java/jakarta,Jakarta,Jakarta,32,83,see,Cambodia,0.62,candidate,has coordinates; high-value type,-6.27774,106.82604,Cazbar,asia/indonesia/java/jakarta/cazbar,0.571,5.486,11.38,needs_external_source,,https://en.wikivoyage.org/wiki/Jakarta
asia/indonesia/sumatra/medan,Medan,Medan,4,86,do,Karaoke Keluarga (K2) Family Karaoke,0.62,candidate,has coordinates; high-value type,3.5754,98.68038,Maimun Palace,asia/indonesia/sumatra/medan/maimun_palace,0.609,0.391,1.701,needs_external_source,,https://en.wikivoyage.org/wiki/Medan
europe/unitedkingdom/england/south_east/brighton,Brighton,Brighton,15,141,see,Regency Square,0.62,candidate,has coordinates; high-value type,50.82246,-0.15048,British Airways i360,europe/unitedkingdom/england/south_east/brighton/i360_tower,0.688,0.312,0.741,needs_external_source,,https://en.wikivoyage.org/wiki/Brighton
northamerica/mexico/teotihuacan,Teotihuacan,Teotihuacan,12,18,see,Palacio de Tepantitla,0.62,candidate,has coordinates; high-value type,19.6936,-98.838,Tepantitla,northamerica/mexico/teotihuacan/tepantitla,0.714,0.455,4.724,needs_external_source,,https://en.wikivoyage.org/wiki/Teotihuacan
northamerica/unitedstates/missouri/stlouis,St. Louis,St. Louis,59,106,see,Chain of Rocks Bridge (pedestrian and bicycle),0.62,candidate,has coordinates; high-value type,38.7605,-90.1761,Eads Bridge,northamerica/unitedstates/missouri/stlouis/eads_bridge,0.562,14.592,14.982,needs_external_source,,https://en.wikivoyage.org/wiki/St._Louis
europe/italy/campania/naples,Naples,Naples,50,160,do,Via Cesario Console,0.62,candidate,has coordinates; high-value type,40.833604,14.251849,Rosolino,europe/italy/campania/naples/rosolino,0.692,0.308,0.363,needs_external_source,,https://en.wikivoyage.org/wiki/Naples
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Wat Maechon,0.62,candidate,has coordinates; high-value type,17.026432,99.702938,Wat Mahathat,asia/thailand/sukhothai/wat_mahathat,0.609,0.874,0.831,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai
australiaandpacific/australia/westernaustralia/karratha,Karratha,Karratha,4,16,see,Karratha is Calling,0.62,candidate,has coordinates; high-value type,-20.7413,116.8484,Karratha Coastline and Fishing,australiaandpacific/australia/westernaustralia/karratha/karratha_coastline,0.612,5.297,0.481,needs_external_source,,https://en.wikivoyage.org/wiki/Karratha
northamerica/unitedstates/louisiana/monroe,Monroe,Monroe (Louisiana),8,16,do,Black Bayou Lake,0.62,candidate,has coordinates; high-value type,32.6042,-92.0505,Black Bayou Lake National Wildlife Refuge,northamerica/unitedstates/louisiana/monroe/black_bayou_lake,0.561,7.156,12.335,needs_external_source,,https://en.wikivoyage.org/wiki/Monroe_%28Louisiana%29
europe/sweden/tanum,Tanum,Tanum,6,20,see,Rock carvings at Fossum,0.62,candidate,has coordinates; high-value type,58.72402,11.38389,Vitlycke Rock Carvings and Museum,europe/sweden/tanum/vitlycke,0.679,3.55,3.454,needs_external_source,,https://en.wikivoyage.org/wiki/Tanum
southamerica/bolivia/tupiza,Tupiza,Tupiza,10,17,see,Entre Rios,0.62,candidate,has coordinates; high-value type,-21.51664,-65.70037,Tupiza River,southamerica/bolivia/tupiza/tupiza_river,0.644,0.356,8.375,needs_external_source,,https://en.wikivoyage.org/wiki/Tupiza
europe/italy/liguria/italianriviera/finaleligure,Finale Ligure,Finale Ligure,7,21,see,Chiesa Frati Capuccini,0.62,candidate,has coordinates; high-value type,44.16976,8.339954,Trofie al Pesto — What to Eat,europe/italy/liguria/italianriviera/finaleligure/trofie_al_pesto,0.673,0.327,0.327,needs_external_source,,https://en.wikivoyage.org/wiki/Finale_Ligure
