world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/villahermosa,Villahermosa,Villahermosa,6,17,do,Tomás Garrido Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,17.99888,-92.93504,Tabasco 2000 Complex,northamerica/mexico/villahermosa/tabasco_2000,0.263,1.404,1.17,needs_external_source,,https://en.wikivoyage.org/wiki/Villahermosa
southamerica/brazil/florianopolis,Florianópolis,Florianopolis,7,57,see,Ribeirão da Ilha,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-27.72068,-48.564748,Praia da Joaquina,southamerica/brazil/florianopolis/praia_da_joaquina,0.424,13.97,13.8,needs_external_source,,https://en.wikivoyage.org/wiki/Florianopolis
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Memorial of soldiers killed in the Donbas War,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.0058,36.2292,Cathedral of the Assumption of the Blessed Virgin Mary,europe/ukraine/kharkiv/assumption_cathedral,0.46,1.124,1.505,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
asia/laos/houeixay,Huay Xai,Huay Xai,3,11,see,Fort Carnot,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.27208,100.41518,Vat Chom Khao Manilat,asia/laos/houeixay/vat_chom_khao,0.312,2.208,2.242,needs_external_source,,https://en.wikivoyage.org/wiki/Huay_Xai
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Golden Bull Ridge Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.0117386795,110.3133526265,People's Park,asia/china/hainanisland/haikou/peoples_park_haikou,0.457,3.942,12.881,needs_external_source,,https://en.wikivoyage.org/wiki/Haikou
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Kivistö church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.3181,24.843,Church of St. Lawrence,europe/finland/vantaa/church_of_st_lawrence,0.353,8.787,11.401,needs_external_source,,https://en.wikivoyage.org/wiki/Vantaa
northamerica/unitedstates/arizona/yuma,Yuma,Yuma,6,33,do,Quechan Indian Day,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.73379,-114.61485,Yuma Territorial Prison,northamerica/unitedstates/arizona/yuma/yuma_territorial_prison,0.341,1.1,1.04,needs_external_source,,https://en.wikivoyage.org/wiki/Yuma
asia/malaysia/kluang,Kluang,Kluang,5,28,see,Bandar Seri Impian Lake Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.989571,103.367663,Gunung Lambak,asia/malaysia/kluang/gunung_lambak,0.341,5.244,7.19,needs_external_source,,https://en.wikivoyage.org/wiki/Kluang
europe/norway/lofotenislands/vaeroy,Værøy,Værøy,4,12,see,Værøy gamle kirke,0.89,candidate,has coordinates; has description; high-value type; strong travel term,67.69295,12.70953,Eagle-Hunting Caves,europe/norway/lofotenislands/vaeroy/eagle_caves,0.333,4.887,4.3,needs_external_source,,https://en.wikivoyage.org/wiki/V%C3%A6r%C3%B8y
europe/albania/gjirokaster,Gjirokaster,Gjirokastër,9,28,do,Viroit Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.10204,20.12128,Gjirokastër Castle,europe/albania/gjirokaster/gjirokaster_castle,0.414,3.28,3.171,needs_external_source,,https://en.wikivoyage.org/wiki/Gjirokast%C3%ABr
europe/greece/skyros,Skyros,Skyros,8,39,do,Palamari Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.9627,24.5091,Palamari Bronze Age Settlement,europe/greece/skyros/palamari,0.545,5.366,10.058,needs_external_source,,https://en.wikivoyage.org/wiki/Skyros
southamerica/venezuela/puertolacruz,Puerto la Cruz,Puerto La Cruz,7,5,see,Mirador El Morro,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.21911,-64.70728,Paseo Colón,southamerica/venezuela/puertolacruz/paseo_colon,0.333,2.712,8.566,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_La_Cruz
