world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Kaunas Picture Gallery,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kaunas Cathedral,europe/lithuania/kaunas/kaunas_cathedral,0.632,,,missing_coordinates; has_external_url,https://ciurlionis.lt/,https://en.wikivoyage.org/wiki/Kaunas
asia/vietnam/phong_nha__ke_ban,Phong Nha - Ke Bang,Phong Nha-Ke Bang,11,11,see,Tu Lan and Hang En Caves,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hang En Cave,asia/vietnam/phong_nha__ke_ban/hang_en,0.667,,,missing_coordinates; has_external_url,http://oxalis.com.vn/,https://en.wikivoyage.org/wiki/Phong_Nha-Ke_Bang
asia/turkey/ankara,Ankara,Ankara,13,116,see,Golden Pavilion Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Ulucanlar Prison Museum,asia/turkey/ankara/ulucanlar_prison_museum,0.622,,,missing_coordinates; has_external_url,https://www.merikkonagi.org/,https://en.wikivoyage.org/wiki/Ankara
northamerica/unitedstates/california/sunnyvale,Sunnyvale,Sunnyvale,13,14,see,Sunnyvale Heritage Park and Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Heritage Park & Sunnyvale Historical Museum,northamerica/unitedstates/california/sunnyvale/heritage_park,0.608,,,missing_coordinates; has_external_url,http://www.heritageparkmuseum.org/,https://en.wikivoyage.org/wiki/Sunnyvale
southamerica/brazil/natal,Natal,Natal,15,42,see,Teatro Alberto Maranhão,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Alberto Maranhão Theatre,southamerica/brazil/natal/alberto_maranhao_theatre,0.681,,,missing_coordinates; has_external_url,http://www.teatroalbertomaranhao.rn.gov.br,https://en.wikivoyage.org/wiki/Natal
asia/turkey/bursa,Bursa,Bursa,13,44,see,Turkish & Islamic Art Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Bursa City Museum,asia/turkey/bursa/bursa_city_museum,0.596,,,missing_coordinates; has_external_url,https://bursa.ktb.gov.tr/TR-94262/turk-islam-eserleri-muzesi.html,https://en.wikivoyage.org/wiki/Bursa
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,see,Fort Worth B-cycle,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Worth Zoo,northamerica/unitedstates/texas/fort_worth/fort_worth_zoo,0.688,,,missing_coordinates; has_external_url,https://fortworth.bcycle.com/,https://en.wikivoyage.org/wiki/Fort_Worth
europe/spain/centralspain/valladolid,Valladolid,Valladolid (Spain),14,24,see,Church of San Pablo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Iglesia de San Pablo,europe/spain/centralspain/valladolid/iglesia_de_san_pablo,0.556,,,missing_coordinates; has_external_url,http://sanpabloysangregorio.dominicos.es/iglesia,https://en.wikivoyage.org/wiki/Valladolid_%28Spain%29
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Anhui Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Anhui Provincial Museum,asia/china/anhui/hefei/anhui_provincial_museum,0.686,,,missing_coordinates; has_external_url,https://www.ahm.cn,https://en.wikivoyage.org/wiki/Hefei
europe/ireland/dublin,Dublin,Dublin,132,173,see,National Leprechaun Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Natural History Museum,europe/ireland/dublin/natural_history_museum,0.583,,,missing_coordinates; has_external_url,https://www.leprechaunmuseum.ie/,https://en.wikivoyage.org/wiki/Dublin
northamerica/unitedstates/massachusetts/pittsfield,Pittsfield,Pittsfield,11,32,see,Berkshire Lyric Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Berkshire Athenaeum,northamerica/unitedstates/massachusetts/pittsfield/berkshire_athenaeum,0.714,,,missing_coordinates; has_external_url,http://www.berkshirelyric.org/,https://en.wikivoyage.org/wiki/Pittsfield
northamerica/unitedstates/southcarolina/folly_beach,Folly Beach,Folly Beach,4,6,do,Folly Beach County Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Folly Beach Pier,northamerica/unitedstates/southcarolina/folly_beach/folly_beach_pier,0.718,,,missing_coordinates; has_external_url,http://www.ccprc.com/index.aspx?NID=61,https://en.wikivoyage.org/wiki/Folly_Beach
northamerica/unitedstates/california/sanfrancisco,San Francisco,San Francisco,93,62,do,Bay to Breakers,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Lazy Bear,northamerica/unitedstates/california/sanfrancisco/lazy_bear,0.583,,,missing_coordinates; has_external_url,http://baytobreakers.com/,https://en.wikivoyage.org/wiki/San_Francisco
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Lei Feng Memorial Hall,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Pingdingshan Massacre Memorial Hall,asia/china/liaoning/fushun/pingdingshan_massacre_memorial,0.596,,,missing_coordinates; has_external_url,http://www.leifeng.org.cn/,https://en.wikivoyage.org/wiki/Fushun
northamerica/thecaribbean/puertorico/bayamon,Bayamón,Bayamón,11,40,see,Bayamón Central Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Bayamón Museum of Art,northamerica/thecaribbean/puertorico/bayamon/bayamon_museum_of_art,0.585,,,missing_coordinates; has_external_url,https://www.municipiodebayamon.com/,https://en.wikivoyage.org/wiki/Bayam%C3%B3n
northamerica/unitedstates/colorado/aurora,Aurora,Aurora (Colorado),9,24,do,The Aurora Fox,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Aurora Fox Arts Center,northamerica/unitedstates/colorado/aurora/aurora_fox_arts_center,0.625,,,missing_coordinates; has_external_url,https://www.aurorafoxartscenter.org/,https://en.wikivoyage.org/wiki/Aurora_%28Colorado%29
asia/japan/honshu/nara,Nara,Nara,11,48,do,Nara Walk,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Naramachi,asia/japan/honshu/nara/naramachi,0.556,,,missing_coordinates; has_external_url,http://www.narawalk.com/nara-park-classic-tour/,https://en.wikivoyage.org/wiki/Nara
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,do,Hanover Theatre for the Performing Arts,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hanover Theatre,northamerica/unitedstates/massachusetts/worcester/hanover_theatre,0.6,,,missing_coordinates; has_external_url,http://www.thehanovertheatre.org/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Eiteljorg Indian Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Eiteljorg Museum,northamerica/unitedstates/indiana/indianapolis/eiteljorg_museum,0.615,,,missing_coordinates; has_external_url,http://www.eiteljorg.org/,https://en.wikivoyage.org/wiki/Indianapolis
asia/israel/telaviv,Tel Aviv,Tel Aviv,57,55,see,Tel Aviv Fashion Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Tel Aviv Port,asia/israel/telaviv/tel_aviv_port,0.667,,,missing_coordinates; has_external_url,http://fw.gindi.com/en/,https://en.wikivoyage.org/wiki/Tel_Aviv
europe/unitedkingdom/england/eastern_england/huntingdon,Huntingdon,Huntingdon,4,22,see,Norris Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Cromwell Museum,europe/unitedkingdom/england/eastern_england/huntingdon/cromwell_museum,0.571,,,missing_coordinates; has_external_url,https://norrismuseum.org.uk,https://en.wikivoyage.org/wiki/Huntingdon
asia/china/hainanisland/lingshui,Lingshui,Lingshui,4,11,see,Boundary Island,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Nanwan Monkey Island,asia/china/hainanisland/lingshui/nanwan_monkey_island,0.571,,,missing_coordinates; has_external_url,http://www.hnfjz.com/index-en.html,https://en.wikivoyage.org/wiki/Lingshui
northamerica/unitedstates/ohio/canton,Canton,Canton (Ohio),10,52,see,Canton Classic Car Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Canton Museum of Art,northamerica/unitedstates/ohio/canton/canton_museum_of_art,0.578,,,missing_coordinates; has_external_url,http://www.cantonclassiccar.org,https://en.wikivoyage.org/wiki/Canton_%28Ohio%29
europe/ukraine/uzhgorod,Uzhhorod,Uzhhorod,5,33,see,Transcarpathian Regional History Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Transcarpathian Philharmonic (Former Synagogue),europe/ukraine/uzhgorod/transcarpathian_philharmonic,0.597,,,missing_coordinates; has_external_url,https://www.zkmuseum.com/,https://en.wikivoyage.org/wiki/Uzhhorod
northamerica/unitedstates/missouri/branson,Branson,Branson,10,28,see,Titanic Museum Attraction,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Titanic Museum,northamerica/unitedstates/missouri/branson/titanic_museum,0.718,,,missing_coordinates; has_external_url,https://titanicbranson.com/,https://en.wikivoyage.org/wiki/Branson
europe/germany/lowersaxony/goslar,Goslar,Goslar,13,36,do,Harzer Hexen-Stieg (Harz Witches Steep Path),0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Oberharz Water Management System,europe/germany/lowersaxony/goslar/oberharz_water_system,0.56,,,missing_coordinates; has_external_url,http://www.harzinfo.de/,https://en.wikivoyage.org/wiki/Goslar
northamerica/unitedstates/utah/springdale,Springdale,Springdale (Utah),14,15,see,DeZion Gallery,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Zion Canyon,northamerica/unitedstates/utah/springdale/zion_canyon,0.56,,,missing_coordinates; has_external_url,https://www.deziongallery.com/,https://en.wikivoyage.org/wiki/Springdale_%28Utah%29
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Haus Kemnade,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Haus Weitmar,europe/germany/northrhinewestphalia/bochum/haus_weitmar,0.667,,,missing_coordinates; has_external_url,http://fv-hauskemnade.de,https://en.wikivoyage.org/wiki/Bochum
europe/ireland/dublin,Dublin,Dublin,132,173,see,Leinster House,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Leinster House / Dáil Éireann,europe/ireland/dublin/leinster_house,0.7,,,missing_coordinates; has_external_url,https://www.oireachtas.ie/en/visit-and-learn/visit-the-oireachtas/,https://en.wikivoyage.org/wiki/Dublin
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,do,Art Fair On The Square,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Concerts on the Square,northamerica/unitedstates/wisconsin/madison/concerts_on_the_square,0.667,,,missing_coordinates; has_external_url,http://www.mmoca.org/events/special-events/art-fair-square/art-fair-square,https://en.wikivoyage.org/wiki/Madison
northamerica/unitedstates/northcarolina/salisbury,Salisbury,Salisbury (North Carolina),7,12,see,N.C. Transportation Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Rowan Museum,northamerica/unitedstates/northcarolina/salisbury/rowan_museum,0.595,,,missing_coordinates; has_external_url,http://www.nctrans.org/,https://en.wikivoyage.org/wiki/Salisbury_%28North_Carolina%29
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Lutheridge,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Blue Ridge Parkway,northamerica/unitedstates/northcarolina/asheville/blue_ridge_parkway,0.571,,,missing_coordinates; has_external_url,https://lutheridge.org/,https://en.wikivoyage.org/wiki/Asheville
europe/unitedkingdom/england/newcastle_and_north_east/newcastle_upon_tyne,Newcastle upon Tyne,Newcastle upon Tyne,61,102,see,Life Science Centre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Newcastle Civic Centre,europe/unitedkingdom/england/newcastle_and_north_east/newcastle_upon_tyne/civic_centre,0.634,,,missing_coordinates; has_external_url,https://www.life.org.uk/,https://en.wikivoyage.org/wiki/Newcastle_upon_Tyne
