world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Teopanzolco archaeological site,0.89,candidate,has coordinates; has description; high-value type; has external URL,18.726667,-99.328806,Palacio de Cortés,northamerica/mexico/cuernavaca/palacio_de_cortes,0.444,23.889,24.074,has_external_url,https://www.inah.gob.mx/zonas/126-zona-arqueologica-teopanzolco,https://en.wikivoyage.org/wiki/Cuernavaca
northamerica/canada/britishcolumbia/kelowna,Kelowna,Kelowna,7,69,do,Mission Creek Greenway,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.8435,-119.4737,Mission Hill Family Estate,northamerica/canada/britishcolumbia/kelowna/mission_hill_winery,0.458,8.227,5.187,has_external_url,https://www.rdco.com/en/parks-and-trails/park-and-trail-directory.aspx,https://en.wikivoyage.org/wiki/Kelowna
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Wake The Tiger,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.44611,-2.56623,Cabot Tower,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/cabottower,0.476,2.945,2.317,has_external_url,https://www.wakethetiger.com/,https://en.wikivoyage.org/wiki/Bristol
europe/portugal/setubal,Setúbal,Setúbal,13,47,do,Dolphin Bay,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.51846,-8.90143,Sado Estuary Dolphin Watching,europe/portugal/setubal/dolphin_watching,0.45,2.612,0.955,has_external_url,https://www.dolphinbay.pt/en/,https://en.wikivoyage.org/wiki/Set%C3%BAbal
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Congregation B'nai Israel,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.68736,-83.69766,Imagination Station,northamerica/unitedstates/ohio/toledo/imagination_station,0.409,14.354,13.818,has_external_url,https://www.cbitoledo.org/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
southamerica/chile/antofagasta,Antofagasta,Antofagasta,5,8,see,La Portada,0.89,candidate,has coordinates; has description; high-value type; has external URL,-23.506389,-70.426944,La Portada Natural Monument,southamerica/chile/antofagasta/la_portada,0.452,11.038,15.843,has_external_url,http://www.conaf.cl/parques/monumento-natural-la-portada/,https://en.wikivoyage.org/wiki/Antofagasta
europe/norway/bergen,Bergen,Bergen,26,125,see,Ulriksbanen,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.373903,5.36355,Ulriken Cable Car,europe/norway/bergen/ulriken,0.5,1.051,3.07,has_external_url,http://www.ulriken643.no/en/,https://en.wikivoyage.org/wiki/Bergen
asia/cyprus/nicosia,Nicosia,Nicosia,18,68,do,Horse Racing,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.1756,33.3277,Ömeriye Hamam,asia/cyprus/nicosia/omeriye_hamam,0.333,3.443,3.29,has_external_url,http://www.nicosiaraceclub.com.cy/nrcwebsite/default.aspx,https://en.wikivoyage.org/wiki/Nicosia
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,do,Isleta Amphitheater,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.99831,-106.63073,KiMo Theatre,northamerica/unitedstates/newmexico/albuquerque/kimo_theatre,0.516,9.841,9.716,has_external_url,https://www.isletaamp.com/,https://en.wikivoyage.org/wiki/Albuquerque
europe/netherlands/groningen,Groningen,Groningen,27,133,see,Hortus Haren,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.18001,6.60366,Forum Groningen,europe/netherlands/groningen/forum_groningen,0.519,4.855,4.95,has_external_url,http://www.hortusharen.nl/,https://en.wikivoyage.org/wiki/Groningen
europe/sweden/gvle,Gävle,Gävle,5,44,do,Mackmyra Whiskyby,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.6646,17.1002,Gamla Gefle,europe/sweden/gvle/gamla_gefle,0.286,2.327,2.785,has_external_url,https://mackmyra.se/,https://en.wikivoyage.org/wiki/G%C3%A4vle
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,see,Bangladesh,0.89,candidate,has coordinates; has description; high-value type; has external URL,27.74137,85.33163,Balaju Water Garden,asia/nepal/kathmandu/balaju_water_garden,0.414,3.72,3.833,has_external_url,http://www.bangladoot.org.np/,https://en.wikivoyage.org/wiki/Kathmandu
northamerica/mexico/guanajuato,Guanajuato,Guanajuato,50,102,see,Casa Museo Gene Byron,0.89,candidate,has coordinates; has description; high-value type; has external URL,21.00174,-101.28406,Casa Cuatro,northamerica/mexico/guanajuato/casa_cuatro,0.5,3.412,3.368,has_external_url,http://www.museogenebyron.org/,https://en.wikivoyage.org/wiki/Guanajuato
europe/germany/schleswigholstein/kiel,Kiel,Kiel,8,68,do,Minigolf und Meehr,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.4034831,10.1871751,Kieler Förde,europe/germany/schleswigholstein/kiel/kieler_foerde,0.333,4.118,9.586,has_external_url,https://minigolf-und-meehr.de/,https://en.wikivoyage.org/wiki/Kiel
northamerica/unitedstates/nevada/bouldercity,Boulder City,Boulder City,14,14,do,Railroad Pass,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.9725,-114.9119,Historic Railroad Hiking Trail,northamerica/unitedstates/nevada/bouldercity/historic_railroad_hiking_trail,0.465,12.132,7.063,has_external_url,http://www.railroadpass.com/,https://en.wikivoyage.org/wiki/Boulder_City
europe/germany/bavaria/lindau,Lindau,Lindau,10,26,do,Lindenhofbad,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.55706,9.65784,Lindau Abbey (Stiftskirche),europe/germany/bavaria/lindau/lindau_abbey,0.417,2.506,2.706,has_external_url,http://www.foerderverein-lindenhofbad.de/,https://en.wikivoyage.org/wiki/Lindau
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,do,Reel Pride,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.76203,-119.81394,Yosemite Day Trip,northamerica/unitedstates/california/centralvalley/fresno/yosemite_day_trip,0.37,112.188,3.616,has_external_url,https://www.reelpride.com/,https://en.wikivoyage.org/wiki/Fresno
europe/norway/bodo,Bodø,Bodø,17,26,see,Bodø friluftsmuseum,0.89,candidate,has coordinates; has description; high-value type; has external URL,67.26837,14.42767,Nordland Museum,europe/norway/bodo/nordland_museum,0.545,2.462,2.657,has_external_url,http://nordlandsmuseet.no/en/bodosjoen-friluftsmuseum/,https://en.wikivoyage.org/wiki/Bod%C3%B8
europe/finland/vaasa,Vaasa,Vaasa,12,80,do,VPS,0.89,candidate,has coordinates; has description; high-value type; has external URL,63.0852,21.6279,Vapaudenpatsas (Freedom Statue),europe/finland/vaasa/freedom_statue,0.353,1.366,1.327,has_external_url,https://vepsu.fi/,https://en.wikivoyage.org/wiki/Vaasa
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Hagley Oval,0.89,candidate,has coordinates; has description; high-value type; has external URL,-43.534,172.619,The Chalice,australiaandpacific/newzealand/canterbury/christchurch/the_chalice,0.444,1.439,1.403,has_external_url,https://hagleyoval.co.nz/,https://en.wikivoyage.org/wiki/Christchurch
europe/italy/lombardia/bergamo,Bergamo,Bergamo,80,60,do,Orobikart,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.67971,9.6035,La Rocca,europe/italy/lombardia/bergamo/la_rocca,0.429,5.482,6.094,has_external_url,https://www.kartodromo.it,https://en.wikivoyage.org/wiki/Bergamo
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,Bulldog Cafe,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.1066,-85.7601,Churchill Downs,northamerica/unitedstates/kentucky/louisville/churchill_downs,0.37,10.936,16.413,has_external_url,http://www.myspace.com/bulldogcafe,https://en.wikivoyage.org/wiki/Louisville
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,do,Nautilia Yachting,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.59681,22.95647,Monastir Synagogue,europe/greece/thessaloniki/monastir_synagogue,0.457,4.925,4.92,has_external_url,https://www.nautilia-yachting.com/sailing-destinations/aegean-sea/thessaloniki,https://en.wikivoyage.org/wiki/Thessaloniki
europe/spain/andalucia/granada,Granada,Granada,37,60,do,Plaza de Toros de Granada,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.189,-3.6076,Plaza Nueva,europe/spain/andalucia/granada/plaza_nueva,0.533,1.788,1.866,has_external_url,https://plazadetorosdegranada.es/,https://en.wikivoyage.org/wiki/Granada
europe/unitedkingdom/england/south_east/canterbury,Canterbury,Canterbury (England),14,57,do,Bison Safari,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.33168,1.11691,Punting on the Stour,europe/unitedkingdom/england/south_east/canterbury/punting_on_the_stour,0.429,6.345,6.283,has_external_url,https://www.kentwildlifetrust.org.uk/safaris,https://en.wikivoyage.org/wiki/Canterbury_%28England%29
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Riverie,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.1498,-77.6101,Strangebird,northamerica/unitedstates/newyorkstate/rochester/strangebird,0.333,1.501,0.763,has_external_url,https://rochesterbywater.org/riverie-2/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
asia/turkey/antalya,Antalya,Antalya,50,44,see,Aksu Dolphinarium,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.8567,30.8653,Kesik Minare (Broken Minaret),asia/turkey/antalya/kesik_minare,0.483,14.502,14.812,has_external_url,https://aksudolphin.com/,https://en.wikivoyage.org/wiki/Antalya
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Storvadsbadet,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.904943,17.625327,Stadsträdgården,europe/sweden/uppsala/stadstradgarden,0.5,5.72,5.207,has_external_url,https://www.uppsala.se/kultur-och-fritid/aktiviteter-motion-och-idrott/motion-och-bad/badplatser/storvadsbadet/,https://en.wikivoyage.org/wiki/Uppsala
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,do,Kangdong Waterpark,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.823,129.2115,Seongdong Traditional Market,asia/southkorea/gyeongju/seongdong_market,0.522,2.539,3.879,has_external_url,https://wp.kangdongcnl.com/,https://en.wikivoyage.org/wiki/Gyeongju
northamerica/unitedstates/alaska/skagway,Skagway,Skagway,6,16,do,Mountain Flying Service,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.4539659,-135.3260015,Red Onion Saloon,northamerica/unitedstates/alaska/skagway/red_onion_saloon,0.308,0.741,1.781,has_external_url,http://www.glacierbayflightseeing.com,https://en.wikivoyage.org/wiki/Skagway
europe/germany/badenwrttemberg/pforzheim,Pforzheim,Pforzheim,11,20,do,Maulbronn Monastery,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.0011997,8.81229718645261,Alpengarten Pforzheim,europe/germany/badenwrttemberg/pforzheim/alpengarten,0.35,16.524,14.648,has_external_url,https://www.kloster-maulbronn.de/en/,https://en.wikivoyage.org/wiki/Pforzheim
northamerica/unitedstates/ohio/youngstown,Youngstown,Youngstown (Ohio),5,30,do,Youngstown State Penguins,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1095,-80.6493,Youngstown Historical Center of Industry and Labor,northamerica/unitedstates/ohio/youngstown/steel_museum,0.533,0.798,0.694,has_external_url,http://www.ysusports.com/,https://en.wikivoyage.org/wiki/Youngstown_%28Ohio%29
