world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Festival of Animated Film,0.59,candidate,has description; high-value type; has external URL,,,Weissenhof Estate,europe/germany/badenwrttemberg/stuttgart/weissenhof_estate,0.381,,,missing_coordinates; has_external_url,http://www.itfs.de,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/jamaica/montegobay,Montego Bay,Montego Bay,13,22,do,Dreamer Catamaran Cruises,0.59,candidate,has description; high-value type; has external URL,,,Greenwood Great House,northamerica/jamaica/montegobay/greenwood_great_house,0.391,,,missing_coordinates; has_external_url,http://dreamercatamarans.com/,https://en.wikivoyage.org/wiki/Montego_Bay
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Hola Hoy,0.59,candidate,has description; high-value type; has external URL,,,Thalia Hall,northamerica/unitedstates/illinois/chicago/thalia_hall,0.526,,,missing_coordinates; has_external_url,http://hoyinternet.com/noticias/localidades/chicago/,https://en.wikivoyage.org/wiki/Chicago
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,GREENbike,0.59,candidate,has description; high-value type; has external URL,,,Great Salt Lake,northamerica/unitedstates/utah/saltlakecity/great_salt_lake,0.417,,,missing_coordinates; has_external_url,https://www.greenbikeslc.org/,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/norway/spitsbergen/longyearbyen,Longyearbyen,Longyearbyen,9,32,do,Dog Sledding with Green Dog,0.59,candidate,has description; high-value type; has external URL,,,Svalbard Global Seed Vault,europe/norway/spitsbergen/longyearbyen/svalbard_global_seed_vault,0.302,,,missing_coordinates; has_external_url,http://greendog.no/TRIPS.31.aspx,https://en.wikivoyage.org/wiki/Longyearbyen
asia/palestinianauthority/hebron,Hebron,Hebron,5,34,see,International Solidarity Movement,0.59,candidate,has description; high-value type; has external URL,,,Hebron Old City Souq,asia/palestinianauthority/hebron/hebron_souq,0.491,,,missing_coordinates; has_external_url,https://palsolidarity.org/,https://en.wikivoyage.org/wiki/Hebron
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,South Africa,0.59,candidate,has description; high-value type; has external URL,,,Marienkirche,europe/germany/northrhinewestphalia/dortmund/marienkirche,0.333,,,missing_coordinates; has_external_url,https://www.suedafrika.org/en/embassy/honorary-consuls.html,https://en.wikivoyage.org/wiki/Dortmund
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Old Spanish Days,0.59,candidate,has description; high-value type; has external URL,,,Cold Spring Tavern,northamerica/unitedstates/california/santa_barbara/cold_spring_tavern,0.529,,,missing_coordinates; has_external_url,http://oldspanishdays-fiesta.org/,https://en.wikivoyage.org/wiki/Santa_Barbara
northamerica/trinidadandtobago/port_of_spain,Port of Spain,Port of Spain,9,42,see,Carnival,0.59,candidate,has description; high-value type; has external URL,,,Holy Trinity Cathedral,northamerica/trinidadandtobago/port_of_spain/holy_trinity_cathedral,0.333,,,missing_coordinates; has_external_url,http://www.ncctt.org/new/,https://en.wikivoyage.org/wiki/Port_of_Spain
europe/italy/campania/naples,Naples,Naples,50,160,see,Denmark,0.59,candidate,has description; high-value type; has external URL,,,Tandem Ragù,europe/italy/campania/naples/tandem_ragu,0.471,,,missing_coordinates; has_external_url,http://italien.um.dk/it/ambasciata-di-dinamarca/consolati/,https://en.wikivoyage.org/wiki/Naples
africa/seychelles/praslin,Praslin,Praslin,8,10,see,Cat Cocos,0.59,candidate,has description; high-value type; has external URL,,,Anse Possession,africa/seychelles/praslin/anse_possession,0.333,,,missing_coordinates; has_external_url,http://www.catcocos.com/,https://en.wikivoyage.org/wiki/Praslin
northamerica/unitedstates/florida/ormond_beach,Ormond Beach,Ormond Beach,5,44,do,Angelic Gardens,0.59,candidate,has description; high-value type; has external URL,,,The Casements,northamerica/unitedstates/florida/ormond_beach/the_casements,0.417,,,missing_coordinates; has_external_url,http://dayspawellness.com/,https://en.wikivoyage.org/wiki/Ormond_Beach
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Port Credit Lighthouse,northamerica/canada/ontario/mississauga/port_credit_lighthouse,0.276,,,missing_coordinates; has_external_url,https://www.flixbus.ca/,https://en.wikivoyage.org/wiki/Mississauga
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Dvorak Expeditions,0.59,candidate,has description; high-value type; has external URL,,,Gore Creek Trail,northamerica/unitedstates/colorado/vail/gore_creek_trail,0.353,,,missing_coordinates; has_external_url,http://www.dvorakexpeditions.com,https://en.wikivoyage.org/wiki/Vail
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,do,Volunteer Society Nepal,0.59,candidate,has description; high-value type; has external URL,,,Boudhanath Stupa,asia/nepal/kathmandu/boudhanath_stupa,0.462,,,missing_coordinates; has_external_url,http://www.volunteersocietynepal.org,https://en.wikivoyage.org/wiki/Kathmandu
northamerica/unitedstates/vermont/manchester,Manchester,Manchester (Vermont),14,61,do,Maple Leaf Half Marathon,0.59,candidate,has description; high-value type; has external URL,,,Hildene — The Lincoln Family Home,northamerica/unitedstates/vermont/manchester/hildene,0.314,,,missing_coordinates; has_external_url,http://www.manchestervtmapleleaf.com/,https://en.wikivoyage.org/wiki/Manchester_%28Vermont%29
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,do,The Sports Den Bar,0.59,candidate,has description; high-value type; has external URL,,,James Memorial Arts Center,northamerica/unitedstates/northdakota/williston/james_memorial_arts_center,0.45,,,missing_coordinates; has_external_url,https://strikezonend.com/the-sports-den-bar/,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
europe/denmark/roskilde,Roskilde,Roskilde,20,59,see,Jeppeart,0.59,candidate,has description; high-value type; has external URL,,,Stændertorvet,europe/denmark/roskilde/stændertorvet,0.286,,,missing_coordinates; has_external_url,http://www.jeppeart.com/,https://en.wikivoyage.org/wiki/Roskilde
northamerica/unitedstates/connecticut/mystic,Mystic,Mystic,13,40,do,Benmar Custom Charters,0.59,candidate,has description; high-value type; has external URL,,,Argia Schooner,northamerica/unitedstates/connecticut/mystic/argia_schooner,0.444,,,missing_coordinates; has_external_url,http://www.happycaptain.com,https://en.wikivoyage.org/wiki/Mystic
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,do,Jeff's Bike Shop,0.59,candidate,has description; high-value type; has external URL,,,Jim's Steak and Spaghetti House,northamerica/unitedstates/westvirginia/huntington/jims_steak_and_spaghetti,0.383,,,missing_coordinates; has_external_url,http://www.jeffsbikeshop.com/,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,do,Upload - Music Contest + Festival,0.59,candidate,has description; high-value type; has external URL,,,Bolzano Cathedral (Duomo),europe/italy/trentinoaltoadige/bolzano/duomo,0.348,,,missing_coordinates; has_external_url,http://www.uploadsounds.eu/,https://en.wikivoyage.org/wiki/Bolzano
asia/turkey/ankara,Ankara,Ankara,13,116,see,New Zealand,0.59,candidate,has description; high-value type; has external URL,,,Kızılay,asia/turkey/ankara/kizilay,0.444,,,missing_coordinates; has_external_url,https://www.mfat.govt.nz/en/countries-and-regions/middle-east/turkey/new-zealand-embassy-to-turkey/,https://en.wikivoyage.org/wiki/Ankara
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Ottawa Black Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Wellington West,northamerica/canada/ontario/ottawa/wellington_west,0.341,,,missing_coordinates; has_external_url,https://ottawablackfilm.com/,https://en.wikivoyage.org/wiki/Ottawa
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Mountain Dance and Folk Festival,0.59,candidate,has description; high-value type; has external URL,,,Black Mountain College Museum,northamerica/unitedstates/northcarolina/asheville/black_mountain_college_museum,0.426,,,missing_coordinates; has_external_url,http://www.folkheritage.org/,https://en.wikivoyage.org/wiki/Asheville
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,BikeSweden,0.59,candidate,has description; high-value type; has external URL,,,Millesgården,europe/sweden/stockholm/millesgrden,0.545,,,missing_coordinates; has_external_url,http://www.bikesweden.se/en/,https://en.wikivoyage.org/wiki/Stockholm
asia/oman/salalah,Salalah,Salalah,9,48,see,Oman Air,0.59,candidate,has description; high-value type; has external URL,,,Mirbat,asia/oman/salalah/mirbat,0.429,,,missing_coordinates; has_external_url,http://www.omanair.com/en/,https://en.wikivoyage.org/wiki/Salalah
europe/austria/vienna,Vienna,Vienna,67,134,see,Eurolines,0.59,candidate,has description; high-value type; has external URL,,,Donauinsel,europe/austria/vienna/donauinsel,0.421,,,missing_coordinates; has_external_url,http://www.eurolines.de/,https://en.wikivoyage.org/wiki/Vienna
northamerica/unitedstates/mississippi/natchez,Natchez,Natchez,12,23,do,Great Mississippi River Balloon Race,0.59,candidate,has description; high-value type; has external URL,,,Natchez Pilgrimage,northamerica/unitedstates/mississippi/natchez/natchez_pilgrimage,0.333,,,missing_coordinates; has_external_url,https://natchezballoonfestival.com/,https://en.wikivoyage.org/wiki/Natchez
northamerica/unitedstates/southcarolina/greenville,Greenville,Greenville (South Carolina),10,71,do,Mauldin Blues and Jazz Festival,0.59,candidate,has description; high-value type; has external URL,,,Shoeless Joe Jackson Museum,northamerica/unitedstates/southcarolina/greenville/shoeless_joe_jackson_museum,0.276,,,missing_coordinates; has_external_url,https://mauldinculturalcenter.org/events/festival-season/mbj-festival/,https://en.wikivoyage.org/wiki/Greenville_%28South_Carolina%29
europe/greece/amorgos,Amorgos,Amorgos,5,9,do,Imagine Greece Retreats,0.59,candidate,has description; high-value type; has external URL,,,Amorgos Hiking Trail (E4),europe/greece/amorgos/hiking_trail,0.419,,,missing_coordinates; has_external_url,https://www.imaginegreeceretreats.com/,https://en.wikivoyage.org/wiki/Amorgos
northamerica/unitedstates/louisiana/lafayette,Lafayette,Lafayette (Louisiana),14,33,do,Parish Nights,0.59,candidate,has description; high-value type; has external URL,,,Prejean's,northamerica/unitedstates/louisiana/lafayette/prejeans,0.364,,,missing_coordinates; has_external_url,https://www.parishnights.com,https://en.wikivoyage.org/wiki/Lafayette_%28Louisiana%29
northamerica/unitedstates/california/shastacascade/redbluff,Red Bluff,Red Bluff,5,14,do,Fly fishing at Oasis Springs Lodge,0.59,candidate,has description; high-value type; has external URL,,,Kelly-Griggs House Museum,northamerica/unitedstates/california/shastacascade/redbluff/kelly_griggs_house,0.373,,,missing_coordinates; has_external_url,https://www.theflyshop.com/adventures/oasis-springs.html,https://en.wikivoyage.org/wiki/Red_Bluff
