world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/islamujeres,Isla Mujeres,Isla Mujeres,9,31,see,Museo Subacuático de Arte,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.202968,-86.726112,Punta Sur,northamerica/mexico/islamujeres/punta_sur,0.323,0.84,3.915,has_external_url,https://musamexico.org/es/,https://en.wikivoyage.org/wiki/Isla_Mujeres
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Reichsgericht,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.333,12.3698,Zeitgeschichtliches Forum,europe/germany/saxony/leipzig/zeitgeschichtliches_forum,0.421,0.86,0.915,has_external_url,http://www.bverwg.de/,https://en.wikivoyage.org/wiki/Leipzig
europe/unitedkingdom/wales/llandudno,Llandudno,Llandudno,14,46,do,North Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.32265,-3.806489,North Shore Promenade,europe/unitedkingdom/wales/llandudno/north_shore_promenade,0.438,1.222,1.23,has_external_url,http://www.visitllandudno.org.uk/things-to-do/llandudno-north-shore-beach-p293441,https://en.wikivoyage.org/wiki/Llandudno
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Turner Museum of Glass,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3817,-1.4773,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.286,0.913,0.484,has_external_url,https://www.sheffield.ac.uk/turner-museum,https://en.wikivoyage.org/wiki/Sheffield
asia/india/goa/panaji,Panaji,Panaji,18,49,do,INOX - Old GMC,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,15.498421,73.820958,Kala Academy,asia/india/goa/panaji/kala_academy,0.424,0.576,0.78,has_external_url,http://www.inoxmovies.com/,https://en.wikivoyage.org/wiki/Panaji
asia/china/hubei/xiangyang,Xiangyang,Xiangyang,5,22,do,OCT Fantasy Land Scenic Area,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.01,112.27,Gulongzhong Scenic Area,asia/china/hubei/xiangyang/gulongzhong,0.549,22.375,12.624,has_external_url,https://www.xyoct.com/xyhqc/index.shtml,https://en.wikivoyage.org/wiki/Xiangyang
asia/indonesia/bali/sanur,Sanur,Sanur,12,38,see,Serangan Island Turtle Conservation Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-8.7237,115.236,Sanur Beachfront Promenade,asia/indonesia/bali/sanur/sanur_promenade,0.412,5.252,5.037,has_external_url,http://www.ioseaturtles.org/pom_detail.php?id=45,https://en.wikivoyage.org/wiki/Sanur
europe/belgium/ostende,Ostende,Ostend,2,26,see,Oostends Historisch Museum De Plate,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.23376,2.91869,Promenade Albert I,europe/belgium/ostende/promenade,0.523,0.477,0.515,has_external_url,https://www.oostende.be/stadsmuseum,https://en.wikivoyage.org/wiki/Ostend
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Teddy Bear Museum Haikou,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.91887421,110.3256697,Haikou Clock Tower,asia/china/hainanisland/haikou/haikou_clock_tower,0.286,14.068,19.626,has_external_url,http://www.teddybearmuseum.com/site/museums/haikou/guide.php,https://en.wikivoyage.org/wiki/Haikou
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,see,Pikes Peak,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.907866,-104.981575,Seven Falls,northamerica/unitedstates/colorado/coloradosprings/seven_falls,0.286,14.274,15.827,has_external_url,http://www.pikespeakcolorado.com/,https://en.wikivoyage.org/wiki/Colorado_Springs
