world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,see,Collins Branch,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.376898,-71.146894,Mount Auburn Cemetery,northamerica/unitedstates/massachusetts/cambridge/mount_auburn_cemetery,0.534,0.466,3.741,has_external_url,http://www.cambridgema.gov/cpl,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Bangladesh Road Transport Corporation (BRTC),0.89,candidate,has coordinates; has description; high-value type; has external URL,22.336748,91.824263,Bayazid Bostami Shrine,asia/bangladesh/chittagong/bayazid_bostami_shrine,0.339,7.97,1.097,has_external_url,http://www.brtc.gov.bd/index.php?option=com_content&view=article&id=126&Itemid=102,https://en.wikivoyage.org/wiki/Chittagong
northamerica/unitedstates/california/santa_rosa,Santa Rosa,Santa Rosa (California),12,37,see,Safari West,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.5571,-122.696,Sonoma County Fairgrounds,northamerica/unitedstates/california/santa_rosa/sonoma_county_fairgrounds,0.333,14.137,13.062,has_external_url,http://www.safariwest.com,https://en.wikivoyage.org/wiki/Santa_Rosa_%28California%29
europe/spain/canaryislands/lanzarote/puertodelcarmen,Puerto del Carmen,Puerto del Carmen,9,33,see,Casa Museo José Saramago,0.89,candidate,has coordinates; has description; high-value type; has external URL,28.9488,-13.6522,Casa Roja,europe/spain/canaryislands/lanzarote/puertodelcarmen/casa_roja,0.438,2.826,3.161,has_external_url,https://acasajosesaramago.com/,https://en.wikivoyage.org/wiki/Puerto_del_Carmen
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,see,Ludham - Potter Heigham NNR,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.702,1.559,,,0.0,,7.951,has_external_url,https://www.gov.uk/government/publications/norfolks-national-nature-reserves/norfolks-national-nature-reserves#ludham-and-potter-heigham-marshes,https://en.wikivoyage.org/wiki/Norfolk_Broads
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,do,Popejoy Hall,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.08214,-106.61992,Nob Hill,northamerica/unitedstates/newmexico/albuquerque/nob_hill,0.5,0.725,2.836,has_external_url,http://www.popejoypresents.com/,https://en.wikivoyage.org/wiki/Albuquerque
europe/italy/abruzzo/opi,Opi,Opi,4,6,do,Sci di Fondo,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.789,13.822,Val Fondillo,europe/italy/abruzzo/opi/val_fondillo,0.5,3.089,1.098,has_external_url,http://www.macchiarvana.it/,https://en.wikivoyage.org/wiki/Opi
europe/sweden/uppsala,Uppsala,Uppsala,18,180,see,Uppsala Gamla Kyrkogård,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.854167,17.622222,Uppsala Castle,europe/sweden/uppsala/uppsala_castle,0.541,0.672,1.044,has_external_url,https://kulturpersoner.uppsalakyrkogardar.se/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/unitedstates/newmexico/alamogordo,Alamogordo,Alamogordo,6,21,do,Holloman Air Force Base,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.8525,-106.106,Atari Video Game Burial Site,northamerica/unitedstates/newmexico/alamogordo/atari_landfill,0.431,16.488,14.6,has_external_url,http://www.holloman.af.mil,https://en.wikivoyage.org/wiki/Alamogordo
europe/unitedkingdom/england/birmingham_and_west_midlands/stratforduponavon,Stratford-upon-Avon,Stratford-upon-Avon,6,20,see,Stratford Armouries,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.2262,-1.732,Holy Trinity Church,europe/unitedkingdom/england/birmingham_and_west_midlands/stratforduponavon/holy_trinity_church,0.316,4.712,4.231,has_external_url,http://www.stratfordarmouries.com/,https://en.wikivoyage.org/wiki/Stratford-upon-Avon
