world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/northernireland/ballymena,Ballymena,Ballymena,7,11,see,Arthur Cottage,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.8908,-6.3623,The Braid Café,europe/unitedkingdom/northernireland/ballymena/the_braid_cafe,0.348,,6.156,has_external_url,https://www.shapedbyseaandstone.com/things-to-do/president-arthur-homestead-p687131,https://en.wikivoyage.org/wiki/Ballymena
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,do,FunQuest,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.371943,-79.209092,Monument Terrace,northamerica/unitedstates/virginia/lynchburg/monument_terrace,0.333,7.336,7.516,has_external_url,https://funquestfun.com/,https://en.wikivoyage.org/wiki/Lynchburg
europe/sweden/ume,Umeå,Umeå,9,52,see,Arboretum Norr,0.89,candidate,has coordinates; has description; high-value type; has external URL,63.840039,20.116116,Guitars – the Museum,europe/sweden/ume/guitars_the_museum,0.357,7.588,7.382,has_external_url,http://www.arboretum-norr.se/en/,https://en.wikivoyage.org/wiki/Ume%C3%A5
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,see,Advanced Materials and Liquid Crystal Institute,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1443,-81.3399,East Main Street Restaurants,northamerica/unitedstates/ohio/kent/east_main_restaurants,0.347,1.744,1.834,has_external_url,https://www.kent.edu/amlci,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29
northamerica/unitedstates/virginia/williamsburg,Williamsburg,Williamsburg,10,26,do,Water Country USA,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.26268,-76.63709,Wythe House,northamerica/unitedstates/virginia/williamsburg/wythe_house,0.5,5.946,6.289,has_external_url,https://watercountryusa.com/,https://en.wikivoyage.org/wiki/Williamsburg
southamerica/brazil/recife,Recife,Recife,34,154,see,Museu Murillo La Greca,0.89,candidate,has coordinates; has description; high-value type; has external URL,-8.037131,-34.909974,Cemitério dos Ingleses,southamerica/brazil/recife/cemiterio_dos_ingleses,0.39,3.864,3.649,has_external_url,http://www.recife.pe.gov.br/pr/seccultura/fccr/museulagreca.php,https://en.wikivoyage.org/wiki/Recife
europe/spain/catalonia/platjadaro,Platja d'Aro,Platja d'Aro,5,21,do,Pitch & Putt Platja d'Aro,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.81977,3.05383,Castell d'Aro,europe/spain/catalonia/platjadaro/castell_daro,0.5,1.982,1.249,has_external_url,http://www.pitchdaro.com,https://en.wikivoyage.org/wiki/Platja_d%27Aro
europe/norway/moss,Moss,Moss,5,13,see,Bastø Fosen,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.4300568,10.6542896,Moss Jernverk (Ironworks),europe/norway/moss/moss_jernverk,0.348,1.35,1.738,has_external_url,http://www.basto-fosen.no,https://en.wikivoyage.org/wiki/Moss
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury,Bury St Edmunds,Bury St Edmunds,4,33,see,Ickworth House and Parks,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.221802,0.65788,Moyse's Hall Museum,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury/moyses_hall,0.233,4.638,4.594,has_external_url,https://www.nationaltrust.org.uk/ickworth/,https://en.wikivoyage.org/wiki/Bury_St_Edmunds
europe/belgium/sinttruiden,Sint-Truiden,Sint-Truiden,6,12,see,Brewery Kerkom,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.776466,5.16602,Grote Markt,europe/belgium/sinttruiden/grote_markt_sinttruiden,0.4,4.558,4.536,has_external_url,http://www.brouwerijkerkom.be/en,https://en.wikivoyage.org/wiki/Sint-Truiden
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Whispering Hills,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.73699,-85.97618,Hotel Tango Distillery,northamerica/unitedstates/indiana/indianapolis/hotel_tango,0.421,14.327,15.962,has_external_url,http://www.sahmgolf.com/about-us/whispering-hills-douglass-gc/,https://en.wikivoyage.org/wiki/Indianapolis
asia/cyprus/larnaca,Larnaca,Larnaca,12,26,do,Windsurf City,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.892246,33.638505,Larnaca Castle,asia/cyprus/larnaca/larnacacastle,0.296,2.006,3.742,has_external_url,https://www.windsurfcitycyprus.com/en/,https://en.wikivoyage.org/wiki/Larnaca
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Pakistan,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.8456,-4.2896,The East End,europe/unitedkingdom/scotland/glasgow/east_end,0.5,4.468,3.008,has_external_url,https://www.phclondon.org/consulates/#glasgow,https://en.wikivoyage.org/wiki/Glasgow
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Klinikum Kassel,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.32806,9.50847,GRIMMWELT,europe/germany/hessen/kassel/grimmwelt,0.333,2.21,1.552,has_external_url,http://www.klinikum-kassel.de/,https://en.wikivoyage.org/wiki/Kassel
northamerica/unitedstates/california/berkeley,Berkeley,Berkeley,13,87,do,Ashkenaz Music & Dance Community Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.8801,-122.296,Berkeley Art Museum and Pacific Film Archive (BAMPFA),northamerica/unitedstates/california/berkeley/bampfa,0.4,2.543,2.279,has_external_url,http://www.ashkenaz.com/,https://en.wikivoyage.org/wiki/Berkeley
europe/netherlands/thehague,The Hague,The Hague,16,165,do,Boat trips The Hague,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.0749,4.32012,Mauritshuis,europe/netherlands/thehague/mauritshuis,0.444,0.637,3.447,has_external_url,https://www.salonbootdenhaag.nl/,https://en.wikivoyage.org/wiki/The_Hague
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Happy Hoof Riding Ranch,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.512042,103.806888,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.4,7.887,7.591,has_external_url,https://www.facebook.com/HappyHoofRidingRanch/,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,see,The PG Northern Pride Centre Society,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.893,-122.8131,Exploration Place Museum and Science Centre,northamerica/canada/britishcolumbia/princegeorge/exploration_place,0.427,5.062,4.956,has_external_url,https://www.facebook.com/northernpridecentre/,https://en.wikivoyage.org/wiki/Prince_George
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Ekspodonbass Exhibition center,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.02524,37.80487,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.542,2.229,1.049,has_external_url,http://www.expoua.com,https://en.wikivoyage.org/wiki/Donetsk
northamerica/unitedstates/northcarolina/chapelhill,Chapel Hill,Chapel Hill,11,65,do,Cat's Cradle,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.91043,-79.06923,Crook's Corner,northamerica/unitedstates/northcarolina/chapelhill/crooks_corner,0.538,1.127,1.248,has_external_url,http://www.catscradle.com,https://en.wikivoyage.org/wiki/Chapel_Hill
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Saijo Inari,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.709379,133.832799,Kibiji Cycling Route,asia/japan/honshu/okayama/kibiji_cycling_route,0.387,6.669,10.122,has_external_url,http://www.inari.ne.jp/,https://en.wikivoyage.org/wiki/Okayama
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,do,Qi River Cruises,0.89,candidate,has coordinates; has description; high-value type; has external URL,22.52067,113.35974,Qijiang River walk,asia/china/guangdong/zhongshan/qijiang_river_walk,0.529,2.544,3.411,has_external_url,http://www.qijiangyou.com/,https://en.wikivoyage.org/wiki/Zhongshan
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,College of the Holy Cross,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.239167,-71.808333,Coney Island Hot Dogs,northamerica/unitedstates/massachusetts/worcester/coneys_famous,0.476,1.9,2.655,has_external_url,http://www.holycross.edu/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Arizona Horseback Adventures,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.884663,-111.953694,,,0.0,,5.788,has_external_url,https://arizonahorsebackadventures.com/,https://en.wikivoyage.org/wiki/Cave_Creek
northamerica/canada/ontario/sarnia,Sarnia,Sarnia,7,24,do,Children's Animal Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.00261,-82.40181,Centennial Park,northamerica/canada/ontario/sarnia/centennial_park,0.541,2.5,3.142,has_external_url,https://www.seawaykiwanis.ca/childrens-animal-farm,https://en.wikivoyage.org/wiki/Sarnia
europe/germany/rhinelandpalatinate/koblenz,Koblenz,Koblenz,21,18,see,Mosellum - information centre - fish pass Koblenz,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.3653,7.58139,Jesuitenkirche and Jesuitenplatz,europe/germany/rhinelandpalatinate/koblenz/jesuitenkirche,0.364,1.279,1.62,has_external_url,http://mosellum.rlp.de/,https://en.wikivoyage.org/wiki/Koblenz
europe/iceland/akureyri,Akureyri,Akureyri,10,34,see,Gásir,0.89,candidate,has coordinates; has description; high-value type; has external URL,65.77824,-18.17019,Hlíðarfjall Ski Area,europe/iceland/akureyri/hlidarfjall_ski_area,0.333,13.37,11.226,has_external_url,https://www.visitakureyri.is/en/see-and-do/attractions/gasir-medival-trading-place,https://en.wikivoyage.org/wiki/Akureyri
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Pleasant Run,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.77711,-86.05932,Bluebeard,northamerica/unitedstates/indiana/indianapolis/bluebeard,0.381,7.087,8.524,has_external_url,http://www.pleasantrungolf.com,https://en.wikivoyage.org/wiki/Indianapolis
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/northampton,Northampton,Northampton (England),8,20,see,The Express Lifts Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.238528,-0.921972,All Saints' Church,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/northampton/all_saints_church,0.333,1.732,1.386,has_external_url,http://www.nationallifttower.co.uk/,https://en.wikivoyage.org/wiki/Northampton_%28England%29
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,Ice Sport Centre Eindhoven,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.41572,5.47179,Piazza Centre,europe/netherlands/eindhoven/piazza,0.41,2.906,2.881,has_external_url,http://www.ijssportcentrum.nl/,https://en.wikivoyage.org/wiki/Eindhoven
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,do,Hapgood Wright Town Forest,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.4487,-71.3427,Ralph Waldo Emerson House,northamerica/unitedstates/massachusetts/concord/emerson_house,0.353,0.986,1.397,has_external_url,https://www.livingconcord.com/listing/hapgood-wright-town-forest/,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,do,Major Cineplex,0.89,candidate,has coordinates; has description; high-value type; has external URL,18.768891,98.975384,Zoe in Yellow,asia/thailand/chiangmai/zoe_in_yellow,0.444,2.765,2.422,has_external_url,https://www.majorcineplex.com/home,https://en.wikivoyage.org/wiki/Chiang_Mai
asia/philippines/caloocan,Caloocan,Caloocan,4,33,do,Green Paddle (Caloocan City),0.89,candidate,has coordinates; has description; high-value type; has external URL,14.64354,120.98246,Monumento Station,asia/philippines/caloocan/monumento_station,0.276,1.184,1.849,has_external_url,https://www.greenpaddle.com/,https://en.wikivoyage.org/wiki/Caloocan
