world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,First Presbyterian Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Folk Art Center,northamerica/unitedstates/northcarolina/asheville/folk_art_center,0.4,,,missing_coordinates; has_external_url,http://www.fpcasheville.org/,https://en.wikivoyage.org/wiki/Asheville
asia/israel/haifa,Haifa,Haifa,31,47,do,Haifa Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Haifa City Museum,asia/israel/haifa/haifa_city_museum,0.5,,,missing_coordinates; has_external_url,http://www.haifatrail.com,https://en.wikivoyage.org/wiki/Haifa
northamerica/unitedstates/westvirginia/fairmont,Fairmont,Fairmont (West Virginia),5,24,see,Curtisville Lake,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Country Club Bakery,northamerica/unitedstates/westvirginia/fairmont/country_club_bakery,0.457,,,missing_coordinates; has_external_url,https://www.mcparc.com/curtisville-lake.html,https://en.wikivoyage.org/wiki/Fairmont_%28West_Virginia%29
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,do,Greatest Dive Sites,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Castle Hill,australiaandpacific/australia/queensland/townsville/castle_hill,0.4,,,missing_coordinates; has_external_url,http://australia.greatestdivesites.com/townsville,https://en.wikivoyage.org/wiki/Townsville
europe/portugal/silves,Silves,Silves,0,9,see,Silves Castle,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.cm-silves.pt/pt/menu/106/castelo-de-silves.aspx,https://en.wikivoyage.org/wiki/Silves
europe/spain/galicia/vigo_city,Vigo,Vigo,14,32,see,Museum of Contemporary Art,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museo do Mar (Sea Museum),europe/spain/galicia/vigo_city/museo_do_mar,0.526,,,missing_coordinates; has_external_url,https://www.marcovigo.com,https://en.wikivoyage.org/wiki/Vigo
southamerica/argentina/puertoiguazu,Puerto Iguazú,Puerto Iguazú,8,10,see,Iguazú National Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Asado and Parrillas,southamerica/argentina/puertoiguazu/asado_parrillas,0.421,,,missing_coordinates; has_external_url,https://iguazuargentina.com/,https://en.wikivoyage.org/wiki/Puerto_Iguaz%C3%BA
europe/unitedkingdom/scotland/edinburgh,Edinburgh,Edinburgh,99,58,do,Hidden Door,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hectors,europe/unitedkingdom/scotland/edinburgh/hectors_stockbridge,0.444,,,missing_coordinates; has_external_url,http://hiddendoorblog.org/,https://en.wikivoyage.org/wiki/Edinburgh
europe/norway/tromso,Tromsø,Tromsø,8,63,see,Ishavskatedralen,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tromsø Cathedral,europe/norway/tromso/tromso_cathedral,0.516,,,missing_coordinates; has_external_url,http://www.ishavskatedralen.no,https://en.wikivoyage.org/wiki/Troms%C3%B8
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Jazz in the Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bay View,northamerica/unitedstates/wisconsin/milwaukee/bayview,0.3,,,missing_coordinates; has_external_url,https://www.easttown.com/jazz-in-the-park/,https://en.wikivoyage.org/wiki/Milwaukee
northamerica/unitedstates/california/northcoast/crescentcity,Crescent City,Crescent City,8,7,see,Klamath Shuttle,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Smith River,northamerica/unitedstates/california/northcoast/crescentcity/smith_river,0.385,,,missing_coordinates; has_external_url,http://www.klamathshuttle.com/,https://en.wikivoyage.org/wiki/Crescent_City
