world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/kavala,Kavala,Kavala,14,95,see,Kefalari,0.85,candidate,has coordinates; has description; high-value type,41.0615,24.2663,Kavala Castle,europe/greece/kavala/kavala_castle,0.381,19.008,18.495,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Ashgabat Flagpole,0.85,candidate,has coordinates; has description; high-value type,37.886999,58.350478,The White Marble City,asia/turkmenistan/ashgabat/white_marble_city,0.353,,11.528,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
northamerica/unitedstates/mississippi/jackson,Jackson,Jackson (Mississippi),20,54,see,Byram Swinging Bridge,0.85,candidate,has coordinates; has description; high-value type,32.176389,-90.243611,Walker's Drive-In,northamerica/unitedstates/mississippi/jackson/walkers_drive_in,0.368,19.289,14.692,needs_external_source,,https://en.wikivoyage.org/wiki/Jackson_%28Mississippi%29
europe/unitedkingdom/wales/chepstow,Chepstow,Chepstow,6,9,do,National Diving & Activity Centre,0.85,candidate,has coordinates; has description; high-value type,51.6556,-2.64722,Old Wye Bridge,europe/unitedkingdom/wales/chepstow/old_wye_bridge,0.327,1.992,2.607,needs_external_source,,https://en.wikivoyage.org/wiki/Chepstow
europe/germany/rhinelandpalatinate/trier,Trier,Trier,13,37,see,old Jewish cemetery,0.85,candidate,has coordinates; has description; high-value type,49.748305,6.632442,Roman Bridge,europe/germany/rhinelandpalatinate/trier/roman_bridge,0.415,0.585,1.515,needs_external_source,,https://en.wikivoyage.org/wiki/Trier
europe/belgium/oudenaarde,Oudenaarde,Oudenaarde,12,12,do,"Recreational Area ""De Donk""",0.85,candidate,has coordinates; has description; high-value type,50.841463,3.584335,Kerselare,europe/belgium/oudenaarde/kerselare,0.452,3.419,1.404,needs_external_source,,https://en.wikivoyage.org/wiki/Oudenaarde
europe/moldova/orhei,Orhei,Orhei,3,9,see,Orheiul Vechi Monastery,0.85,candidate,has coordinates; has description; high-value type,47.3125,28.976,Orhei History and Ethnography Museum,europe/moldova/orhei/orhei_history_museum,0.407,13.78,13.543,needs_external_source,,https://en.wikivoyage.org/wiki/Orhei
europe/germany/northrhinewestphalia/oberhausen,Oberhausen,Oberhausen,4,15,see,"""Slinky springs to fame""",0.85,candidate,has coordinates; has description; high-value type,51.493247,6.858312,LVR Industrial Museum,europe/germany/northrhinewestphalia/oberhausen/lvr_industrial_museum,0.419,2.195,2.671,needs_external_source,,https://en.wikivoyage.org/wiki/Oberhausen
europe/slovakia/kosice,Košice,Košice,7,153,do,Hike from Košice-Čermeľ to Vysoký Vrch,0.85,candidate,has coordinates; has description; high-value type,48.82371,21.15495,State Theatre Košice,europe/slovakia/kosice/state_theatre,0.364,13.599,13.66,needs_external_source,,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
southamerica/brazil/curitiba,Curitiba,Curitiba,10,62,see,Jerusalem Fountain,0.85,candidate,has coordinates; has description; high-value type,-25.45213,-49.30454,Bosque Alemão,southamerica/brazil/curitiba/bosque_alemao,0.452,5.46,4.173,needs_external_source,,https://en.wikivoyage.org/wiki/Curitiba
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Santa y Real Casa de la Misericordia,0.85,candidate,has coordinates; has description; high-value type,43.265136,-2.947453,Museo de Bellas Artes,europe/spain/basque_country_euskadi/bilbao/museo_de_bellas_artes,0.529,0.471,1.036,needs_external_source,,https://en.wikivoyage.org/wiki/Bilbao
northamerica/mexico/campeche,Campeche,Campeche,4,22,see,"""Poesia del Mar"" Fountain",0.85,candidate,has coordinates; has description; high-value type,19.846641,-90.541389,City Walls and Bastions,northamerica/mexico/campeche/city_walls,0.487,0.513,1.629,needs_external_source,,https://en.wikivoyage.org/wiki/Campeche
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Grüner Heiner,0.85,candidate,has coordinates; has description; high-value type,48.831369,9.097093,Sonderbar,europe/germany/badenwrttemberg/stuttgart/sonderbar,0.364,8.089,8.456,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/philippines/baler,Baler,Baler,4,46,see,Aurora Province Welcoming Arch,0.85,candidate,has coordinates; has description; high-value type,15.6984,121.3517,Ampere Beach,asia/philippines/baler/ampere_beach,0.429,23.175,23.573,needs_external_source,,https://en.wikivoyage.org/wiki/Baler
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,see,Kailana Lake,0.85,candidate,has coordinates; has description; high-value type,26.28333,72.96667,Umaid Bhawan Palace,asia/india/rajasthan/jodhpur/umaid_bhawan_palace,0.516,8.139,7.578,needs_external_source,,https://en.wikivoyage.org/wiki/Jodhpur
northamerica/canada/britishcolumbia/delta,Delta,Delta (British Columbia),2,23,do,Angel Estate Winery,0.85,candidate,has coordinates; has description; high-value type,49.089974,-123.162997,George C. Reifel Migratory Bird Sanctuary,northamerica/canada/britishcolumbia/delta/reifel_bird_sanctuary,0.271,0.962,7.674,needs_external_source,,https://en.wikivoyage.org/wiki/Delta_%28British_Columbia%29
