world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Santa Maria de la Paz Catholic Community,0.77,candidate,has coordinates; high-value type,35.608,-106.0014,El Santuario de Chimayó,northamerica/unitedstates/newmexico/santafe/el_santuario_de_ch,0.52,44.297,10.519,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
europe/ireland/dun_laoghaire,Dun Laoghaire,Dún Laoghaire,8,18,see,Cabinteely,0.77,candidate,has coordinates; high-value type,53.265,-6.16,National Maritime Museum of Ireland,europe/ireland/dun_laoghaire/national_maritime_museum,0.222,3.556,3.489,needs_external_source,,https://en.wikivoyage.org/wiki/D%C3%BAn_Laoghaire
africa/morocco/chaouen,Chefchaouen,Chefchaouen,7,33,see,Asilane,0.77,candidate,has coordinates; high-value type,35.1757,-5.2003,Ras el Maa,africa/morocco/chaouen/ras_el_maa,0.429,5.625,5.807,needs_external_source,,https://en.wikivoyage.org/wiki/Chefchaouen
africa/morocco/tetouan,Tétouan,Tétouan,13,30,do,Mount Dersa,0.77,candidate,has coordinates; high-value type,35.592436,-5.378229,The Medina,africa/morocco/tetouan/medina,0.353,2.504,2.498,needs_external_source,,https://en.wikivoyage.org/wiki/T%C3%A9touan
africa/tanzania/bagamoyo,Bagamoyo,Bagamoyo,9,24,see,Hanging Place,0.77,candidate,has coordinates; high-value type,-6.444,38.913,Nunge Beach,africa/tanzania/bagamoyo/nunge_beach,0.417,4.232,0.775,needs_external_source,,https://en.wikivoyage.org/wiki/Bagamoyo
northamerica/unitedstates/ohio/coshocton,Coshocton,Coshocton,2,13,see,Coshocton County Courthouse,0.77,candidate,has coordinates; high-value type,40.274167,-81.866389,Johnson-Humrickhouse Museum,northamerica/unitedstates/ohio/coshocton/johnson_humrickhouse_museum,0.444,0.961,5.467,needs_external_source,,https://en.wikivoyage.org/wiki/Coshocton
europe/spain/cantabria/comillas,Comillas,Comillas,4,6,see,Punta de la Moría,0.77,candidate,has coordinates; high-value type,43.3935,-4.2927,Palacio de Sobrellano,europe/spain/cantabria/comillas/palacio_de_sobrellano,0.296,1.119,0.912,needs_external_source,,https://en.wikivoyage.org/wiki/Comillas
europe/ireland/cork,Cork,Cork,26,66,see,Midleton,0.77,candidate,has coordinates; high-value type,51.916,-8.175,Shandon,europe/ireland/cork/shandon,0.4,20.59,20.511,needs_external_source,,https://en.wikivoyage.org/wiki/Cork
southamerica/brazil/florianopolis,Florianópolis,Florianopolis,7,57,see,Barra da Lagoa,0.77,candidate,has coordinates; high-value type,-27.578056,-48.43,Praia da Joaquina,southamerica/brazil/florianopolis/praia_da_joaquina,0.516,7.349,11.981,needs_external_source,,https://en.wikivoyage.org/wiki/Florianopolis
europe/unitedkingdom/northernireland/omagh,Omagh,Omagh,4,12,see,Omagh Jail,0.77,candidate,has coordinates; high-value type,54.6028,-7.3071,Strule Arts Centre,europe/unitedkingdom/northernireland/omagh/strule_arts_centre,0.547,0.453,0.475,needs_external_source,,https://en.wikivoyage.org/wiki/Omagh
europe/spain/canaryislands/lanzarote/teguise,Teguise,Teguise,8,23,see,Stratified City,0.77,candidate,has coordinates; high-value type,29.0571,-13.5043,Plaza de la Constitución (Plaza Mayor),europe/spain/canaryislands/lanzarote/teguise/plaza_mayor,0.303,5.432,5.439,needs_external_source,,https://en.wikivoyage.org/wiki/Teguise
asia/indonesia/irianjaya/sorong,Sorong,Sorong,6,13,do,Taman Wisata Mangrove Klawalu,0.77,candidate,has coordinates; high-value type,-0.912937,131.307563,Sapta Ratna Pagoda,asia/indonesia/irianjaya/sorong/sapta_ratna_pagoda,0.34,5.721,8.071,needs_external_source,,https://en.wikivoyage.org/wiki/Sorong
europe/ireland/ennis,Ennis,Ennis,8,15,see,Dysert O'Dea,0.77,candidate,has coordinates; high-value type,52.909,-9.068,Daniel O'Connell Monument,europe/ireland/ennis/oconnell_monument,0.324,9.11,9.219,needs_external_source,,https://en.wikivoyage.org/wiki/Ennis
europe/russia/ekaterinoburg,Yekaterinburg,Yekaterinburg,26,72,see,Prospekt Kosmonavtov,0.77,candidate,has coordinates; high-value type,56.90174,60.61399,Iset Tower (Vysotsky and Yekaterinburg-City),europe/russia/ekaterinoburg/iset_tower,0.4,6.652,7.157,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
europe/spain/centralspain/salamanca,Salamanca,Salamanca,7,26,see,Cemetery of San Carlos Borromeo,0.77,candidate,has coordinates; high-value type,40.9733,-5.6845,University of Salamanca,europe/spain/centralspain/salamanca/university_of_salamanca,0.444,1.998,2.032,needs_external_source,,https://en.wikivoyage.org/wiki/Salamanca
