world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/goa/panaji,Panaji,Panaji,18,49,do,Dr. Salim Ali Bird Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,15.5146,73.8575,Kala Academy,asia/india/goa/panaji/kala_academy,0.359,4.825,3.586,has_external_url,https://www.incredibleindia.org/content/incredible-india-v2/en/destinations/kochi/listicles/things-to-do/dr-salim-ali-bird-sanctuary.html,https://en.wikivoyage.org/wiki/Panaji
northamerica/unitedstates/northdakota/bismarck,Bismarck,Bismarck,5,33,do,Superslide Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.80169,-100.80657,Keelboat Park,northamerica/unitedstates/northdakota/bismarck/keelboat_park,0.474,1.677,1.888,has_external_url,https://www.ndsuperslide.com/,https://en.wikivoyage.org/wiki/Bismarck
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Ikeda Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.675071,133.90549,Okayama Station,asia/japan/honshu/okayama/okayama_station,0.333,1.539,2.97,has_external_url,http://www.urban.ne.jp/home/ikedazoo/,https://en.wikivoyage.org/wiki/Okayama
europe/germany/thuringia/weimar,Weimar,Weimar,19,40,see,Belvedere,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.9486,11.3486,Herderkirche,europe/germany/thuringia/weimar/herderkirche,0.476,3.861,3.662,has_external_url,https://www.klassik-stiftung.de/en/belvedere-castle-and-park/,https://en.wikivoyage.org/wiki/Weimar
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Maplewood Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.182,-77.63,Highland Park,northamerica/unitedstates/newyorkstate/rochester/highland_park,0.519,6.122,3.306,has_external_url,https://www.cityofrochester.gov/maplewoodpark/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
northamerica/unitedstates/pennsylvania/johnstown,Johnstown,Johnstown,11,23,do,Gallitzin State Forest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.2083,-78.7081,Pint's Grille,northamerica/unitedstates/pennsylvania/johnstown/pints_grille,0.4,22.379,22.422,has_external_url,https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-forests/find-a-forest/gallitzin.html,https://en.wikivoyage.org/wiki/Johnstown
asia/japan/honshu/mito,Mito,Mito,9,14,see,Nanatsudo Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.438316,140.445101,Kairakuen Garden,asia/japan/honshu/mito/kairakuen,0.4,6.533,8.433,has_external_url,http://www.nanatsudo.net/,https://en.wikivoyage.org/wiki/Mito
northamerica/unitedstates/california/longbeach,Long Beach,Long Beach,10,97,do,El Dorado Park West,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.804,-118.0959,Rancho Los Alamitos,northamerica/unitedstates/california/longbeach/rancho_los_alamitos,0.387,2.893,9.663,has_external_url,http://www.longbeach.gov/park/park-and-facilities/directory/el-dorado-park-west/,https://en.wikivoyage.org/wiki/Long_Beach
northamerica/unitedstates/indiana/richmond,Richmond,Richmond (Indiana),7,14,do,Thistlethwaite Falls,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.84726,-84.89786,Wayne County Historical Museum,northamerica/unitedstates/indiana/richmond/wayne_county_historical_museum,0.36,2.399,2.144,has_external_url,https://www.richmondindiana.gov/location/springwood-park,https://en.wikivoyage.org/wiki/Richmond_%28Indiana%29
europe/unitedkingdom/scotland/melrose,Melrose,Melrose (Scotland),10,17,see,Dryburgh Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.5771,-2.6494,Melrose Abbey,europe/unitedkingdom/scotland/melrose/melrose_abbey,0.519,4.935,4.986,has_external_url,https://www.historicenvironment.scot/visit-a-place/places/dryburgh-abbey/,https://en.wikivoyage.org/wiki/Melrose_%28Scotland%29
asia/india/gujarat/rajkot,Rajkot,Rajkot,5,34,see,Swaminarayan Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.293274,70.781692,Mahatma Gandhi Museum,asia/india/gujarat/rajkot/mahatma_gandhi_museum,0.4,2.179,2.555,has_external_url,http://www.swaminarayan.org/globalnetwork/india/rajkot.htm,https://en.wikivoyage.org/wiki/Rajkot
europe/spain/andalucia/granada,Granada,Granada,37,60,see,Federico García Lorca Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.1706,-3.6094,Archaeological Museum of Granada,europe/spain/andalucia/granada/archaeological_museum,0.483,1.803,0.932,has_external_url,http://www.huertadesanvicente.com,https://en.wikivoyage.org/wiki/Granada
