world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,Malaysia,0.81,candidate,has coordinates; high-value type; has external URL,3.5774,98.6726,Maimun Palace,asia/indonesia/sumatra/medan/maimun_palace,0.381,1.276,1.346,has_external_url,https://www.kln.gov.my/web/idn_medan,https://en.wikivoyage.org/wiki/Medan
northamerica/canada/britishcolumbia/vancouver,Vancouver,Vancouver,21,83,see,Ireland,0.81,candidate,has coordinates; high-value type; has external URL,49.2876,-123.11968,Granville Island,northamerica/canada/britishcolumbia/vancouver/granville_island,0.522,2.01,3.001,has_external_url,https://www.dfa.ie/irish-consulate/vancouver/,https://en.wikivoyage.org/wiki/Vancouver
europe/denmark/silkeborg,Silkeborg,Silkeborg,8,26,do,Golfing,0.81,candidate,has coordinates; high-value type; has external URL,56.091408,9.625284,Colour Fountain,europe/denmark/silkeborg/colour_fountain,0.455,9.868,9.867,has_external_url,https://www.silkeborg.com/ln-int/himmelbjerg-golf-club-gdk604560,https://en.wikivoyage.org/wiki/Silkeborg
northamerica/mexico/torreon,Torreón,Torreón,10,10,see,Teatro Nazas,0.81,candidate,has coordinates; high-value type; has external URL,25.53981,-103.46166,Cristo de las Noas,northamerica/mexico/torreon/cristo_de_las_noas,0.522,1.724,5.134,has_external_url,http://www.teatronazas.com/,https://en.wikivoyage.org/wiki/Torre%C3%B3n
europe/germany/berlin,Berlin,Berlin,161,123,see,Czech Republic (Tschechien),0.81,candidate,has coordinates; high-value type; has external URL,52.5111,13.3839,Memorial to the Murdered Jews of Europe,europe/germany/berlin/holocaust_memorial,0.535,0.465,1.033,has_external_url,http://www.mzv.cz/berlin/de/,https://en.wikivoyage.org/wiki/Berlin
asia/india/karnataka/bangalore,Bangalore,Bangalore,36,54,see,Israel,0.81,candidate,has coordinates; high-value type; has external URL,12.98314,77.62492,ISKCON Temple,asia/india/karnataka/bangalore/iskcon_temple_bangalore,0.421,8.26,3.84,has_external_url,http://embassies.gov.il/bangalore/Pages/default.aspx,https://en.wikivoyage.org/wiki/Bangalore
northamerica/unitedstates/texas/plano,Plano,Plano,4,18,do,Amazing Jake's Food & Fun,0.81,candidate,has coordinates; high-value type; has external URL,33.0137,-96.7109,Oak Point Park and Nature Preserve,northamerica/unitedstates/texas/plano/oak_point_park,0.328,5.948,1.308,has_external_url,http://www.amazingjakesplano.com/home/,https://en.wikivoyage.org/wiki/Plano
europe/unitedkingdom/england/eastern_england/greatyarmouth,Great Yarmouth,Great Yarmouth,10,40,do,TopGun Indoor Paintball,0.81,candidate,has coordinates; high-value type; has external URL,52.5886,1.7338,Fishermen's Hospital,europe/unitedkingdom/england/eastern_england/greatyarmouth/fishermens_hospital,0.372,2.427,2.071,has_external_url,https://www.facebook.com/TopGun-Indoor-Paintballing-805152706199777/,https://en.wikivoyage.org/wiki/Great_Yarmouth
northamerica/unitedstates/nebraska/lincoln,Lincoln,Lincoln (Nebraska),21,84,see,Southeast Community College,0.81,candidate,has coordinates; high-value type; has external URL,40.8159,-96.60148,Nebraska State Capitol,northamerica/unitedstates/nebraska/lincoln/nebraska_state_capitol,0.408,8.311,8.514,has_external_url,https://www.southeast.edu/,https://en.wikivoyage.org/wiki/Lincoln_%28Nebraska%29
europe/germany/hessen/aschaffenburg,Aschaffenburg,Aschaffenburg,5,7,do,LaserTag Aschaffenburg,0.81,candidate,has coordinates; high-value type; has external URL,49.985432,9.109042,Schönbusch Park,europe/germany/hessen/aschaffenburg/schoenbusch_park,0.378,1.427,2.67,has_external_url,http://lasertag-aschaffenburg.com/,https://en.wikivoyage.org/wiki/Aschaffenburg
northamerica/canada/britishcolumbia/vernon,Vernon,Vernon (British Columbia),10,21,do,Predator Ridge Resort,0.81,candidate,has coordinates; high-value type; has external URL,50.18825,-119.38794,Silver Star Mountain Resort,northamerica/canada/britishcolumbia/vernon/silver_star_mountain,0.5,29.753,12.029,has_external_url,https://www.predatorridge.com/,https://en.wikivoyage.org/wiki/Vernon_%28British_Columbia%29
europe/unitedkingdom/england/eastern_england/greatyarmouth,Great Yarmouth,Great Yarmouth,10,40,see,Merrivale Model Village,0.81,candidate,has coordinates; high-value type; has external URL,52.5982,1.7363,Time and Tide Museum,europe/unitedkingdom/england/eastern_england/greatyarmouth/time_and_tide_museum,0.502,0.498,1.05,has_external_url,http://www.merrivalemodelvillage.co.uk,https://en.wikivoyage.org/wiki/Great_Yarmouth
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Cuba,0.81,candidate,has coordinates; high-value type; has external URL,59.38729,18.05392,Ice Bar,europe/sweden/stockholm/ice_bar,0.545,518.119,6.982,has_external_url,http://www.kuba.se,https://en.wikivoyage.org/wiki/Stockholm
africa/nigeria/warri,Warri,Warri,6,33,see,Word of Life Bible Church Building,0.81,candidate,has coordinates; high-value type; strong travel term,5.6774,5.8654,Palace of the Olu of Warri,africa/nigeria/warri/olu_palace,0.286,22.126,21.922,needs_external_source,,https://en.wikivoyage.org/wiki/Warri
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Bobby Beach,0.81,candidate,has coordinates; high-value type; strong travel term,-5.869938,110.448688,Pulau Cemara Besar,asia/indonesia/java/karimunjawa/pulau_cemara_besar,0.276,10.87,2.05,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Monument to Marshal Georgy Zhukov,0.81,candidate,has coordinates; high-value type; strong travel term,47.918167,106.952444,Choijin Lama Temple Museum,asia/mongolia/ulaanbaatar/choijin_lama_temple,0.305,2.567,2.589,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Monument of Courage,0.81,candidate,has coordinates; high-value type; strong travel term,41.3237,69.2725,Monument of Independence and Humanism,asia/uzbekistan/tashkent/mustaqillik_monument,0.464,0.791,1.369,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
europe/italy/lazio/gaeta__ulysses_ri,Gaeta,Gaeta,10,10,see,Cathedral,0.81,candidate,has coordinates; high-value type; strong travel term,41.20886,13.58689,Cathedral of Sant'Erasmo,europe/italy/lazio/gaeta__ulysses_ri/cattedrale_di_sant_erasmo,0.545,1.524,1.334,needs_external_source,,https://en.wikivoyage.org/wiki/Gaeta
europe/ireland/rosslare,Rosslare,Rosslare,2,16,see,Lady's Island Lake,0.81,candidate,has coordinates; high-value type; strong travel term,52.208,-6.382,Rosslare Strand,europe/ireland/rosslare/rosslare_strand,0.364,7.246,7.302,needs_external_source,,https://en.wikivoyage.org/wiki/Rosslare
africa/madagascar/toamasina,Toamasina,Toamasina,5,7,see,Saint Joseph Cathedral,0.81,candidate,has coordinates; high-value type; strong travel term,-18.1588,49.4209,Le Neptune,africa/madagascar/toamasina/le_neptune,0.345,1.227,1.229,needs_external_source,,https://en.wikivoyage.org/wiki/Toamasina
europe/greece/athens,Athens,Athens,48,150,see,Museum of Mineralogy and Petrology,0.81,candidate,has coordinates; high-value type; strong travel term,37.9666472,23.7843246,Museum of Cycladic Art,europe/greece/athens/cycladic_art_museum,0.5,3.664,4.45,needs_external_source,,https://en.wikivoyage.org/wiki/Athens
europe/russia/tula,Tula,Tula,6,28,see,Ruins of the Old Nikita Church,0.81,candidate,has coordinates; high-value type; strong travel term,54.1921,37.6245,Tula Kremlin,europe/russia/tula/tula_kremlin,0.539,0.461,0.466,needs_external_source,,https://en.wikivoyage.org/wiki/Tula
asia/turkey/alanya,Alanya,Alanya,6,22,see,Kızılcaşehir Castle,0.81,candidate,has coordinates; high-value type; strong travel term,36.57,32.0865,Alanya Castle,asia/turkey/alanya/alanya_castle,0.5,7.924,8.132,needs_external_source,,https://en.wikivoyage.org/wiki/Alanya
asia/india/westbengal/asansol,Asansol,Asansol,7,17,see,Vidyasagar Art Gallery,0.81,candidate,has coordinates; high-value type; strong travel term,23.69185,86.95251,Ghaghar Burhi Temple,asia/india/westbengal/asansol/ghaghar_burhi,0.429,5.597,2.316,needs_external_source,,https://en.wikivoyage.org/wiki/Asansol
northamerica/unitedstates/ohio/coshocton,Coshocton,Coshocton,2,13,do,Lake Park,0.81,candidate,has coordinates; high-value type; strong travel term,40.2887,-81.8749,Roscoe Village,northamerica/unitedstates/ohio/coshocton/roscoe_village,0.261,1.376,4.436,needs_external_source,,https://en.wikivoyage.org/wiki/Coshocton
asia/saudiarabia/medina,Medina,Medina,6,12,see,Castle of Urwah bin Zubair,0.81,candidate,has coordinates; high-value type; strong travel term,24.4502,39.5818,Mosque of Al-Ghamama,asia/saudiarabia/medina/al_ghamama_mosque,0.391,3.085,3.773,needs_external_source,,https://en.wikivoyage.org/wiki/Medina
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,St Alexander Nevsky Church,0.81,candidate,has coordinates; high-value type; strong travel term,41.3075,69.3145,Central Asian Plov Center,asia/uzbekistan/tashkent/central_asian_plov_center,0.392,3.479,3.037,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
northamerica/unitedstates/florida/keywest,Key West,Key West,10,59,see,McCoy Indigenous Park,0.81,candidate,has coordinates; high-value type; strong travel term,24.548548,-81.784844,Sloppy Joe's Bar,northamerica/unitedstates/florida/keywest/sloppy_joes,0.432,2.29,0.878,needs_external_source,,https://en.wikivoyage.org/wiki/Key_West
southamerica/bolivia/tarija,Tarija,Tarija,5,18,see,Paleontology Museum,0.81,candidate,has coordinates; high-value type; strong travel term,-21.53486,-64.73492,Mercado Campesino,southamerica/bolivia/tarija/mercado_campesino,0.547,0.453,0.555,needs_external_source,,https://en.wikivoyage.org/wiki/Tarija
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Neminath Jain temple,0.81,candidate,has coordinates; high-value type; strong travel term,21.526667,70.523056,Junagadh Museum,asia/india/gujarat/junagadh/junagadh_museum,0.343,6.376,6.518,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
asia/tajikistan/dushanbe,Dushanbe,Dushanbe,50,46,do,Puppet theatre,0.81,candidate,has coordinates; high-value type; strong travel term,38.57882,68.79757,Ayni Opera and Ballet Theatre,asia/tajikistan/dushanbe/ayni_opera_ballet,0.512,1.163,1.014,needs_external_source,,https://en.wikivoyage.org/wiki/Dushanbe
europe/slovakia/nitra,Nitra,Nitra,6,21,see,Appony castle ruins,0.81,candidate,has coordinates; high-value type; strong travel term,48.44837,18.15664,Nitra Castle,europe/slovakia/nitra/nitra_castle,0.516,15.376,15.862,needs_external_source,,https://en.wikivoyage.org/wiki/Nitra
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/doncaster,Doncaster,Doncaster,5,48,do,Crookhill Park,0.81,candidate,has coordinates; high-value type; strong travel term,53.46827,-1.20868,Doncaster Market,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/doncaster/corn_exchange_market,0.333,8.048,7.842,needs_external_source,,https://en.wikivoyage.org/wiki/Doncaster
