world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/cambodia/battambang,Battambang,Battambang,6,34,do,Battambang Countryside trip,0.59,candidate,has description; high-value type; has external URL,,,Battambang Provincial Museum,asia/cambodia/battambang/battambang_provincial_museum,0.436,,,missing_coordinates; has_external_url,https://battambangtrip.wordpress.com/,https://en.wikivoyage.org/wiki/Battambang
northamerica/unitedstates/california/sanfrancisco,San Francisco,San Francisco,93,62,do,Fleet Week,0.59,candidate,has description; high-value type; has external URL,,,Far East Cafe,northamerica/unitedstates/california/sanfrancisco/far_east_cafe,0.435,,,missing_coordinates; has_external_url,http://fleetweeksf.org/,https://en.wikivoyage.org/wiki/San_Francisco
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,do,Kenmore Air,0.59,candidate,has description; high-value type; has external URL,,,Pike Place Market,northamerica/unitedstates/washington/seattle/pike_place_market,0.429,,,missing_coordinates; has_external_url,https://kenmoreair.com,https://en.wikivoyage.org/wiki/Seattle
northamerica/unitedstates/mississippi/natchez,Natchez,Natchez,12,23,do,Natchez Festival of Music,0.59,candidate,has description; high-value type; has external URL,,,Natchez Pilgrimage,northamerica/unitedstates/mississippi/natchez/natchez_pilgrimage,0.512,,,missing_coordinates; has_external_url,http://www.natchezfestivalofmusic.com,https://en.wikivoyage.org/wiki/Natchez
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Uppsala International Short Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Uppsala Astronomical Observatory,europe/sweden/uppsala/uppsala_astronomical_observatory,0.521,,,missing_coordinates; has_external_url,http://www.shortfilmfestival.com/en,https://en.wikivoyage.org/wiki/Uppsala
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Ottawa International Chamber Music Festival,0.59,candidate,has description; high-value type; has external URL,,,National War Memorial,northamerica/canada/ontario/ottawa/national_war_memorial,0.531,,,missing_coordinates; has_external_url,http://chamberfest.com/,https://en.wikivoyage.org/wiki/Ottawa
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,LimoLiner,0.59,candidate,has description; high-value type; has external URL,,,Museum of Fine Arts,northamerica/unitedstates/massachusetts/boston/museum_of_fine_arts,0.429,,,missing_coordinates; has_external_url,http://www.limoliner.com,https://en.wikivoyage.org/wiki/Boston
europe/italy/emiliaromagna/modena,Modena,Modena,12,47,do,Philosophy Festival,0.59,candidate,has description; high-value type; has external URL,,,Osteria Francescana,europe/italy/emiliaromagna/modena/osteria_francescana,0.368,,,missing_coordinates; has_external_url,http://www.festivalfilosofia.it,https://en.wikivoyage.org/wiki/Modena
europe/portugal/odemira,Odemira,Odemira,8,12,do,Festival Sudoeste,0.59,candidate,has description; high-value type; has external URL,,,Vila Nova de Milfontes,europe/portugal/odemira/vila_nova_de_milfontes,0.389,,,missing_coordinates; has_external_url,http://sudoeste.meo.pt/en,https://en.wikivoyage.org/wiki/Odemira
northamerica/canada/quebec/hull,Gatineau (Hull),Gatineau,4,33,see,Defilé du Père Noël,0.59,candidate,has description; high-value type; has external URL,,,Mackenzie King Estate,northamerica/canada/quebec/hull/mackenzie_king_estate,0.333,,,missing_coordinates; has_external_url,http://www.paradehohoho.com,https://en.wikivoyage.org/wiki/Gatineau
