world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln,Lincoln,Lincoln,19,18,see,International Bomber Command Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.2131,-0.5276,Lincoln Medieval Bishop's Palace,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln/bishops_palace,0.388,2.347,2.001,has_external_url,https://internationalbcc.co.uk/,https://en.wikivoyage.org/wiki/Lincoln
europe/finland/hameenlinna,Hameenlinna,Hämeenlinna,5,31,do,Puuhamaa,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.8077,24.612,Häme Castle,europe/finland/hameenlinna/hame_castle,0.316,23.349,22.458,has_external_url,https://www.puuhamaa.fi/en/,https://en.wikivoyage.org/wiki/H%C3%A4meenlinna
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth,Plymouth,Plymouth (England),13,55,see,Crownhill Fort,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.413,-4.13,Royal Citadel,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth/royal_citadel,0.37,5.349,4.708,has_external_url,https://www.landmarktrust.org.uk/crownhill-fort/,https://en.wikivoyage.org/wiki/Plymouth_%28England%29
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york,York,York,51,165,see,Beningbrough Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.02053,-1.21357,Barley Hall,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york/barley_hall,0.5,10.863,10.959,has_external_url,https://www.nationaltrust.org.uk/beningbrough-hall-gallery-and-gardens,https://en.wikivoyage.org/wiki/York
europe/france/centre/loirevalley/angers,Angers,Angers,10,18,see,Jardin du Mail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.470413,-0.545886,Jardin des Plantes d'Angers,europe/france/centre/loirevalley/angers/jardin_des_plantes,0.501,0.499,0.586,has_external_url,https://www.angers.fr/vivre-a-angers/la-nature-a-angers/les-parcs-et-jardins-publics/patrimoine/parcs-et-jardins/jardin-du-mail/index.html,https://en.wikivoyage.org/wiki/Angers
northamerica/unitedstates/california/inlandempire/riverside,Riverside,Riverside,7,24,do,Castle Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.9028,-117.468,California Citrus State Historic Park,northamerica/unitedstates/california/inlandempire/riverside/california_citrus_park,0.417,10.887,12.383,has_external_url,http://www.castlepark.com/,https://en.wikivoyage.org/wiki/Riverside
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,Rahmat International Wildlife Museum & Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,3.57914,98.66757,Maimun Palace,asia/indonesia/sumatra/medan/maimun_palace,0.328,1.862,1.358,has_external_url,http://www.rahmatgallery.com,https://en.wikivoyage.org/wiki/Medan
europe/poland/malbork,Malbork,Malbork,4,19,do,Jumpy park - rope park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.04509,19.03443,Malbork Town Centre,europe/poland/malbork/malbork_town_centre,0.41,1.497,1.041,has_external_url,http://www.jumpypark.pl/,https://en.wikivoyage.org/wiki/Malbork
southamerica/colombia/neiva,Neiva,Neiva,6,13,do,Huila Afrika Salvaje,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,2.9984,-75.3044,Rivera Thermal Springs,southamerica/colombia/neiva/rivera_thermal_springs,0.286,25.714,4.765,has_external_url,https://www.facebook.com/huilafrica/,https://en.wikivoyage.org/wiki/Neiva
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,see,National Museum of Nuclear Science and History,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.066,-106.534,Petroglyph National Monument,northamerica/unitedstates/newmexico/albuquerque/petroglyph_national_monument,0.432,19.865,10.836,has_external_url,http://www.nuclearmuseum.org/,https://en.wikivoyage.org/wiki/Albuquerque
