world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,do,Ski Sprites,0.59,candidate,has description; high-value type; has external URL,,,State Theatre,northamerica/unitedstates/wisconsin/eau_claire/state_theatre,0.25,,,missing_coordinates; has_external_url,https://skisprites.com/,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29
northamerica/unitedstates/california/santa_rosa,Santa Rosa,Santa Rosa (California),12,37,do,Hike the county and state parks,0.59,candidate,has description; high-value type; has external URL,,,Sonoma County Fairgrounds,northamerica/unitedstates/california/santa_rosa/sonoma_county_fairgrounds,0.462,,,missing_coordinates; has_external_url,https://www.srcity.org/1564/Parks,https://en.wikivoyage.org/wiki/Santa_Rosa_%28California%29
europe/unitedkingdom/england/eastern_england/ely,Ely,Ely (England),6,27,see,Prosper Vegan Coffee Shop,0.59,candidate,has description; high-value type; has external URL,,,Oliver Cromwell's House,europe/unitedkingdom/england/eastern_england/ely/oliver_cromwells_house,0.458,,,missing_coordinates; has_external_url,https://www.prosperwithus.co.uk/,https://en.wikivoyage.org/wiki/Ely_%28England%29
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,do,Wanenmacher's Tulsa Arms Show,0.59,candidate,has description; high-value type; has external URL,,,Jamil's Steakhouse,northamerica/unitedstates/oklahoma/tulsa/jamils_steakhouse,0.383,,,missing_coordinates; has_external_url,http://tulsaarmsshow.com/,https://en.wikivoyage.org/wiki/Tulsa
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,do,Action City,0.59,candidate,has description; high-value type; has external URL,,,Carson Park,northamerica/unitedstates/wisconsin/eau_claire/carson_park,0.364,,,missing_coordinates; has_external_url,https://www.metropolisresort.com/resort/action-city,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29
northamerica/mexico/mexicocity,Mexico City,Mexico City,52,141,see,Portugal,0.59,candidate,has description; high-value type; has external URL,,,Pujol,northamerica/mexico/mexicocity/pujol,0.462,,,missing_coordinates; has_external_url,https://embpomex.wordpress.com/,https://en.wikivoyage.org/wiki/Mexico_City
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,see,Hierroaventura,0.59,candidate,has description; high-value type; has external URL,,,Gorona del Viento,europe/spain/canaryislands/elhierro/gorona_del_viento,0.519,,,missing_coordinates; has_external_url,http://www.hierroaventura.com/,https://en.wikivoyage.org/wiki/El_Hierro
asia/india/uttaranchal/mussoorie,Mussoorie,Mussoorie,13,47,see,Himalayan Weavers,0.59,candidate,has description; high-value type; has external URL,,,Kalsang Restaurant,asia/india/uttaranchal/mussoorie/kalsang_restaurant,0.4,,,missing_coordinates; has_external_url,https://www.himalayanweavers.org/,https://en.wikivoyage.org/wiki/Mussoorie
europe/unitedkingdom/england/london,London,London,76,205,see,RegioJet,0.59,candidate,has description; high-value type; has external URL,,,The French House,europe/unitedkingdom/england/london/the_french_house,0.4,,,missing_coordinates; has_external_url,https://www.regiojet.cz/,https://en.wikivoyage.org/wiki/London
europe/italy/liguria/savona,Savona,Savona,10,10,see,TPL Linea,0.59,candidate,has description; high-value type; has external URL,,,Cappella Sistina,europe/italy/liguria/savona/cappella_sistina,0.48,,,missing_coordinates; has_external_url,http://www.tpllinea.it/,https://en.wikivoyage.org/wiki/Savona
