world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,see,Kearney Mansion Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Meux Home Museum,northamerica/unitedstates/california/centralvalley/fresno/meux_home,0.474,,,missing_coordinates; has_external_url,https://www.valleyhistory.org/,https://en.wikivoyage.org/wiki/Fresno
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,Studio Chavarria,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Grove Arcade,northamerica/unitedstates/northcarolina/asheville/grove_arcade,0.357,,,missing_coordinates; has_external_url,http://www.studiochavarria.com/,https://en.wikivoyage.org/wiki/Asheville
asia/indonesia/java/borobudur,Borobudur,Borobudur,5,10,see,PT Taman Wisata Candi Borobudur Prambanan Ratu Boko,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Borobudur Temple,asia/indonesia/java/borobudur/borobudur_temple,0.328,,,missing_coordinates; has_external_url,http://borobudurpark.com/,https://en.wikivoyage.org/wiki/Borobudur
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Van Trump Park Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/comet-falls-van-trump-park-trail.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
northamerica/canada/quebec/hull,Gatineau (Hull),Gatineau,4,33,do,Interzip,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Gatineau Park,northamerica/canada/quebec/hull/gatineau_park,0.381,,,missing_coordinates; has_external_url,https://en.interzip.ca/,https://en.wikivoyage.org/wiki/Gatineau
northamerica/unitedstates/vermont/brattleboro,Brattleboro,Brattleboro,7,18,do,Hooker-Dunham Theater & Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Latchis Hotel and Theatre,northamerica/unitedstates/vermont/brattleboro/latchis_hotel,0.448,,,missing_coordinates; has_external_url,https://www.hookerdunhamtheater.org/,https://en.wikivoyage.org/wiki/Brattleboro
europe/ireland/kilkenny,Kilkenny,Kilkenny,13,39,see,Jenkinstown Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Jerpoint Abbey,europe/ireland/kilkenny/jerpoint_abbey,0.467,,,missing_coordinates; has_external_url,https://www.coillte.ie/site/jenkinstown/,https://en.wikivoyage.org/wiki/Kilkenny
northamerica/canada/quebec/longueuil,Longueuil,Longueuil,3,38,see,Co-Cathedral of Saint-Antoine-de-Padoue,0.63,candidate,has description; high-value type; has external URL; strong travel term,45.540228,,Vieux-Longueuil,northamerica/canada/quebec/longueuil/vieux_longueuil,0.235,,,missing_coordinates; has_external_url,https://www.cocathedrale.ca/,https://en.wikivoyage.org/wiki/Longueuil
northamerica/unitedstates/california/santa_rosa,Santa Rosa,Santa Rosa (California),12,37,see,Paradise Ridge Winery outdoor sculpture,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Railroad Square,northamerica/unitedstates/california/santa_rosa/railroad_square,0.407,,,missing_coordinates; has_external_url,https://www.prwinery.com/,https://en.wikivoyage.org/wiki/Santa_Rosa_%28California%29
northamerica/unitedstates/newjersey/morristown,Morristown,Morristown,6,21,see,Acorn Hall,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mayo Performing Arts Center,northamerica/unitedstates/newjersey/morristown/mayo_performing_arts_center,0.324,,,missing_coordinates; has_external_url,https://www.morriscountyhistory.org,https://en.wikivoyage.org/wiki/Morristown
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Qantas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Strand,australiaandpacific/australia/queensland/townsville/the_strand,0.333,,,missing_coordinates; has_external_url,http://www.qantas.com.au/,https://en.wikivoyage.org/wiki/Townsville
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,do,Movies in the Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Doe's Eat Place,northamerica/unitedstates/arkansas/littlerock/doe_s_eat_place,0.483,,,missing_coordinates; has_external_url,https://nlr.ar.gov/event/movies-in-the-park/,https://en.wikivoyage.org/wiki/Little_Rock
northamerica/unitedstates/nevada/reno,Reno,Reno,15,64,see,Sage Stage,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fidgets,northamerica/unitedstates/nevada/reno/fidgets,0.353,,,missing_coordinates; has_external_url,http://sagestage.com/routes/reno/,https://en.wikivoyage.org/wiki/Reno
northamerica/unitedstates/vermont/rutland,Rutland,Rutland (Vermont),4,17,see,New England Maple Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Wilson Castle,northamerica/unitedstates/vermont/rutland/wilson_castle,0.378,,,missing_coordinates; has_external_url,https://www.maplemuseum.com/,https://en.wikivoyage.org/wiki/Rutland_%28Vermont%29
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Castle Blankenstein,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Zeiss-Planetarium Bochum,europe/germany/northrhinewestphalia/bochum/zeiss_planetarium,0.372,,,missing_coordinates; has_external_url,http://www.bochum.de/C125708500379A31/vwContentByKey/W275QCN4478BOLDDE,https://en.wikivoyage.org/wiki/Bochum
northamerica/unitedstates/alaska/fairbanks,Fairbanks,Fairbanks,17,56,see,Interior Alaska Bus Line,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,University of Alaska Museum of the North,northamerica/unitedstates/alaska/fairbanks/university_of_alaska_museum_of_the_north,0.533,,,missing_coordinates; has_external_url,http://interioralaskabusline.com/,https://en.wikivoyage.org/wiki/Fairbanks
northamerica/unitedstates/utah/provo,Provo,Provo,9,60,see,Crandall Printing Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,BYU Museum of Art,northamerica/unitedstates/utah/provo/byu_museum_of_art,0.341,,,missing_coordinates; has_external_url,https://www.thecrandall.org/,https://en.wikivoyage.org/wiki/Provo
europe/germany/brandenburg/wittenberg,Wittenberg,Wittenberg,6,25,do,Organ-at-Three,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,All Saints' Church (Schlosskirche),europe/germany/brandenburg/wittenberg/all_saints_church,0.452,,,missing_coordinates; has_external_url,http://www.schlosskirche-wittenberg.de/,https://en.wikivoyage.org/wiki/Wittenberg
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,4th of July Celebration,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Smith National Historic Site,northamerica/unitedstates/arkansas/fortsmith/fort_smith_national_historic_site,0.286,,,missing_coordinates; has_external_url,https://fortsmith.org/2023-4th-of-july-celebration,https://en.wikivoyage.org/wiki/Fort_Smith
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,do,Starlight Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Arabia Steamboat Museum,northamerica/unitedstates/kansas/kansascity/steamboat_arabia_museum,0.45,,,missing_coordinates; has_external_url,http://www.kcstarlight.com/,https://en.wikivoyage.org/wiki/Kansas_City
africa/southafrica/capetown,Cape Town,Cape Town,95,187,see,West Coast Fossil Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Houses of Parliament,africa/southafrica/capetown/houses_of_parliament,0.429,,,missing_coordinates; has_external_url,http://www.fossilpark.org.za/,https://en.wikivoyage.org/wiki/Cape_Town
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,do,Night Market & Autumn Moon Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chihuly Garden and Glass,northamerica/unitedstates/washington/seattle/chihuly_garden_and_glass,0.361,,,missing_coordinates; has_external_url,https://www.seattlechinatownid.com/experiences/c-id-night-market,https://en.wikivoyage.org/wiki/Seattle
northamerica/unitedstates/california/julian,Julian,Julian,6,57,see,Lake Cuyamaca Recreation & Park District,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cuyamaca Rancho State Park,northamerica/unitedstates/california/julian/cuyamaca_rancho_state_park,0.5,,,missing_coordinates; has_external_url,http://www.lakecuyamaca.org/,https://en.wikivoyage.org/wiki/Julian
northamerica/unitedstates/california/goldcountry/mariposa,Mariposa,Mariposa,5,8,see,Yosemite Area Regional Transit System,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Yosemite Climbing Museum,northamerica/unitedstates/california/goldcountry/mariposa/yosemite_climbing_museum,0.393,,,missing_coordinates; has_external_url,http://www.yarts.com,https://en.wikivoyage.org/wiki/Mariposa
northamerica/unitedstates/tennessee/johnson_city,Johnson City,Johnson City (Tennessee),7,25,see,Natural History Museum & Gray Fossil Site,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tipton-Haynes State Historic Site,northamerica/unitedstates/tennessee/johnson_city/tipton_haynes,0.421,,,missing_coordinates; has_external_url,https://etmnh.org/,https://en.wikivoyage.org/wiki/Johnson_City_%28Tennessee%29
europe/greece/larissa,Larissa,Larissa,11,21,see,Municipal Art Gallery - G I Katsigras Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Bazaar Tavernas,europe/greece/larissa/old_bazaar_tavernas,0.328,,,missing_coordinates; has_external_url,http://www.larissa-dimos.gr/larissa/npdd/pinako.shtm,https://en.wikivoyage.org/wiki/Larissa
northamerica/unitedstates/washington/ellensburg,Ellensburg,Ellensburg,8,31,do,Paul Rogers Wildlife Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Clymer Museum and Gallery,northamerica/unitedstates/washington/ellensburg/clymer_museum,0.32,,,missing_coordinates; has_external_url,https://www.ellensburgwa.gov/359/Paul-Rogers-Wildlife-Park,https://en.wikivoyage.org/wiki/Ellensburg
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Museum of the History of Lithuanian Medicine and Pharmacy,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kaunas Botanical Garden,europe/lithuania/kaunas/kauna_botanical_ga,0.342,,,missing_coordinates; has_external_url,https://lsmu.lt/en/about-lsmu/visit-lsmu/museum-of-the-history-of-lithuanian-medicine-and-pharmacy/,https://en.wikivoyage.org/wiki/Kaunas
northamerica/unitedstates/california/sandiego,San Diego,San Diego,58,25,see,Southern California CityPass,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sunset Cliffs Natural Park,northamerica/unitedstates/california/sandiego/sunset_cliffs,0.444,,,missing_coordinates; has_external_url,http://www.citypass.com/city/socal.html,https://en.wikivoyage.org/wiki/San_Diego
northamerica/unitedstates/georgia/helen,Helen,Helen,9,29,see,Anna Ruby Falls,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Raven Cliff Falls Trail,northamerica/unitedstates/georgia/helen/raven_cliff_falls,0.368,,,missing_coordinates; has_external_url,https://www.fs.usda.gov/recarea/conf/recarea/?recid=10517,https://en.wikivoyage.org/wiki/Helen
europe/georgia/batumi,Batumi,Batumi,39,45,do,Two Mountains Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Neptune Fountain,europe/georgia/batumi/neptune_fountain,0.514,,,missing_coordinates; has_external_url,https://www.openstreetmap.org/relation/14119538,https://en.wikivoyage.org/wiki/Batumi
europe/spain/northernspain/oviedo,Oviedo,Oviedo,13,18,see,Museum of Fine Arts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museo de Bellas Artes de Asturias,europe/spain/northernspain/oviedo/museo_de_bellas_artes,0.522,,,missing_coordinates; has_external_url,https://www.museobbaa.com/,https://en.wikivoyage.org/wiki/Oviedo
asia/thailand/phuket/patong,Patong,Patong,14,44,see,Phuket Connect Transfers,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Phuket Carnival Magic,asia/thailand/phuket/patong/karnival_magic,0.444,,,missing_coordinates; has_external_url,http://www.phuketconnecttransfers.com,https://en.wikivoyage.org/wiki/Patong
northamerica/canada/ontario/sarnia,Sarnia,Sarnia,7,24,do,Howard Watson Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Judith and Norman Alix Art Gallery,northamerica/canada/ontario/sarnia/judith_alix_gallery,0.34,,,missing_coordinates; has_external_url,http://www.ontariotrails.on.ca/trails/view/howard-watson-trail/,https://en.wikivoyage.org/wiki/Sarnia
northamerica/unitedstates/california/calistoga,Calistoga,Calistoga,7,27,see,The Sharpsteen Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chateau Montelena,northamerica/unitedstates/california/calistoga/chateau_montelena,0.412,,,missing_coordinates; has_external_url,http://www.sharpsteen-museum.org/,https://en.wikivoyage.org/wiki/Calistoga
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Euro-Scene,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Zum Arabischen Coffe Baum,europe/germany/saxony/leipzig/kafee_cantate,0.4,,,missing_coordinates; has_external_url,http://www.euro-scene.de,https://en.wikivoyage.org/wiki/Leipzig
europe/netherlands/scheveningen,Scheveningen,Scheveningen,10,42,do,Waterkant,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Circustheater,europe/netherlands/scheveningen/circustheater,0.364,,,missing_coordinates; has_external_url,http://www.waterkannt.nl,https://en.wikivoyage.org/wiki/Scheveningen
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,do,Gale Force Bikes,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.296,,,missing_coordinates; has_external_url,http://www.galeforcebikes.com,https://en.wikivoyage.org/wiki/Provincetown
europe/poland/czestochowa,Częstochowa,Częstochowa,5,20,see,Railway History Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Jasna Góra Treasury and Armoury,europe/poland/czestochowa/jasna_gora_treasury,0.34,,,missing_coordinates; has_external_url,https://tpkww.one.pl/,https://en.wikivoyage.org/wiki/Cz%C4%99stochowa
europe/italy/calabria/reggiocalabria,Reggio di Calabria,Reggio Calabria,5,20,see,Aspromonte National Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museo Nazionale della Magna Grecia,europe/italy/calabria/reggiocalabria/museo_nazionale_magna_grecia,0.448,,,missing_coordinates; has_external_url,http://www.parcoaspromonte.gov.it,https://en.wikivoyage.org/wiki/Reggio_Calabria
asia/turkey/van,Van,Van,12,21,see,Hoşap,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Van,asia/turkey/van/old_van,0.5,,,missing_coordinates; has_external_url,https://muze.gov.tr/muze-detay?SectionId=VHC01&DistId=MRK,https://en.wikivoyage.org/wiki/Van
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,do,First Fridays,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Shaker Heritage Society,northamerica/unitedstates/newyorkstate/albany/first_shaker_village,0.333,,,missing_coordinates; has_external_url,http://1stfridayalbany.org/,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
