world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/northernireland/cookstown,Cookstown,Cookstown,12,26,see,Springhill House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.6857,-6.6556,The Sperrin Mountains,europe/unitedkingdom/northernireland/cookstown/sperrins,0.545,20.215,7.241,has_external_url,https://www.nationaltrust.org.uk/visit/northern-ireland/springhill,https://en.wikivoyage.org/wiki/Cookstown
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,see,Drumlin Farm Educational Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.409722,-71.331667,Sleepy Hollow Cemetery (Author's Ridge),northamerica/unitedstates/massachusetts/concord/sleepy_hollow_cemetery,0.377,6.107,5.81,has_external_url,http://www.massaudubon.org/get-outdoors/wildlife-sanctuaries/drumlin-farm,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
northamerica/unitedstates/florida/westpalmbeach,West Palm Beach,West Palm Beach,10,21,do,McCarthys Wildlife Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.76766,-80.24595,Clematis Street,northamerica/unitedstates/florida/westpalmbeach/clematis_street,0.372,19.805,19.995,has_external_url,http://www.mccarthyswildlife.com,https://en.wikivoyage.org/wiki/West_Palm_Beach
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Crypt of San Vito Vecchio,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.812829,16.412692,Old Quarter,europe/italy/puglia/gravina_in_puglia/old_quarter_gravina,0.543,0.457,1.144,has_external_url,https://iatgravina.it/cripta-di-san-vito-vecchio/,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
europe/unitedkingdom/scotland/peterhead,Peterhead,Peterhead,1,30,see,Aberdeenshire Farming Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.5217,-2.0329,Things to do in Peterhead,europe/unitedkingdom/scotland/peterhead/things_to_do,0.226,,15.025,has_external_url,https://www.livelifeaberdeenshire.org.uk/museums/find-a-museum/aberdeenshire-farming-museum/,https://en.wikivoyage.org/wiki/Peterhead
australiaandpacific/australia/northernterritory/alicesprings,Alice Springs,Alice Springs,14,29,do,Pioneer Park Races,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.7541,133.8737,Olive Pink Botanic Garden,australiaandpacific/australia/northernterritory/alicesprings/olive_pink_botanic_garden,0.419,5.425,6.279,has_external_url,http://www.alicespringsturfclub.org.au/,https://en.wikivoyage.org/wiki/Alice_Springs
northamerica/unitedstates/westvirginia/fairmont,Fairmont,Fairmont (West Virginia),5,24,see,Mary Lou Retton Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.460278,-80.187222,Prickett's Fort State Park,northamerica/unitedstates/westvirginia/fairmont/pricketts_fort,0.435,10.173,4.704,has_external_url,https://www.mcparc.com/mary-lou-retton-youth-park.html,https://en.wikivoyage.org/wiki/Fairmont_%28West_Virginia%29
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Susquehanna Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.260833,-76.880833,Pennsylvania State Capitol,northamerica/unitedstates/pennsylvania/harrisburg/state_capitol,0.539,0.461,0.756,has_external_url,https://susquehannaartmuseum.org/,https://en.wikivoyage.org/wiki/Harrisburg
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Basilica of St. Cunibert,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.946681,6.962719,Great St. Martin's,europe/germany/northrhinewestphalia/cologne/greatstmartins,0.35,,0.945,has_external_url,https://www.cologne-tourism.com/arts-culture/sights/detail/st-kunibert,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,see,MK Nature Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.601239,-116.18586,Basque Museum and Cultural Center,northamerica/unitedstates/idaho/boise/basque_museum,0.449,1.927,2.094,has_external_url,http://fishandgame.idaho.gov/public/education/?getPage=234,https://en.wikivoyage.org/wiki/Boise
