world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,San Jose City Hall,0.85,candidate,has coordinates; has description; high-value type,37.3378,-121.886,La Victoria Taqueria,northamerica/unitedstates/california/sanjose/la_victoria_taquer,0.399,0.601,0.445,needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/montana/butte,Butte,Butte,14,42,see,Butte Trolley,0.85,candidate,has coordinates; has description; high-value type,45.9944,-112.53371,Matt's Place Drive-In,northamerica/unitedstates/montana/butte/matts_place,0.535,0.465,1.049,needs_external_source,,https://en.wikivoyage.org/wiki/Butte
asia/indonesia/bali/sanur,Sanur,Sanur,12,38,see,Mangrove Information Centre,0.85,candidate,has coordinates; has description; high-value type,-8.7237,115.192,Warung Mak Beng,asia/indonesia/bali/sanur/warung_mak_beng,0.429,9.344,8.397,needs_external_source,,https://en.wikivoyage.org/wiki/Sanur
asia/uzbekistan/termez,Termez,Termez,5,15,see,Fayaz-Tepe,0.85,candidate,has coordinates; has description; high-value type,37.298226,67.187576,Fayaz Tepe Buddhist Monastery,asia/uzbekistan/termez/fayaz_tepe,0.513,1.327,10.377,needs_external_source,,https://en.wikivoyage.org/wiki/Termez
asia/myanmar/yangon,Yangon,Yangon,21,140,do,Thein Byu Sport Ground,0.85,candidate,has coordinates; has description; high-value type,16.79183,96.16822,Shwedagon Pagoda,asia/myanmar/yangon/shwedagonpagoda,0.421,2.157,0.942,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Goskaj Towerhouse,0.85,candidate,has coordinates; has description; high-value type,42.661444,20.287247,Rugova Gorge,europe/serbia/kosovoprovince/peja/rugova_gorge,0.483,3.648,0.212,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
asia/india/maharashtra/lonavala,Lonavala,Lonavla,9,17,see,Lonavla Lake,0.85,candidate,has coordinates; has description; high-value type,18.741989,73.399991,Lohagad Fort,asia/india/maharashtra/lonavala/lohagad_fort,0.417,8.332,1.185,needs_external_source,,https://en.wikivoyage.org/wiki/Lonavla
asia/thailand/kohlanta,Koh Lanta,Ko Lanta,7,40,see,Sea Gypsy Village,0.85,candidate,has coordinates; has description; high-value type,7.4842,99.109,Ko Rok Islands,asia/thailand/kohlanta/ko_rok,0.323,28.411,12.331,needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Lanta
asia/myanmar/hpa_an,Hpa-an,Hpa-an,10,29,see,Mat Ka Na Bridge & Village,0.85,candidate,has coordinates; has description; high-value type,16.830351,97.71332,Kan Thar Yar Lake,asia/myanmar/hpa_an/kan_thar_yar_lake,0.4,10.068,10.346,needs_external_source,,https://en.wikivoyage.org/wiki/Hpa-an
northamerica/unitedstates/california/centralvalley/reedley,Reedley,Reedley,5,17,see,Reedley College Sculpture Wall,0.85,candidate,has coordinates; has description; high-value type,36.60657,-119.45898,Reedley Opera House,northamerica/unitedstates/california/centralvalley/reedley/reedley_opera_house,0.49,1.487,1.329,needs_external_source,,https://en.wikivoyage.org/wiki/Reedley
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,Lock structure,0.85,candidate,has coordinates; has description; high-value type,43.145167,-79.220645,Brock University,northamerica/canada/ontario/stcatharines/brock_university,0.4,3.87,2.377,needs_external_source,,https://en.wikivoyage.org/wiki/St._Catharines
europe/belgium/nieuwpoort,Nieuwpoort,Nieuwpoort,6,27,see,English military cemetery Ramskapelle,0.85,candidate,has coordinates; has description; high-value type,51.113889,2.764167,King Albert I Memorial,europe/belgium/nieuwpoort/king_albert_i_memorial,0.339,2.541,1.936,needs_external_source,,https://en.wikivoyage.org/wiki/Nieuwpoort
northamerica/canada/ontario/mattawa,Mattawa,Mattawa,2,13,do,Antoine Mountain,0.85,candidate,has coordinates; has description; high-value type,46.36827,-78.73494,Samuel de Champlain Provincial Park,northamerica/canada/ontario/mattawa/samuel_de_champlain_provincial_park,0.25,23.608,6.166,needs_external_source,,https://en.wikivoyage.org/wiki/Mattawa
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Nagy-Milic,0.85,candidate,has coordinates; has description; high-value type,48.57661,21.45806,Magas-hegy Chairlift,europe/hungary/satoraljaujhely/magas_hegy,0.467,23.264,24.82,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
