world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/midi/cotedazur/marseille,Marseille,Marseille,51,104,see,FRAC Provence-Alpes-Côte d’Azur,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.305815,5.367679,Vieille Charité,europe/france/midi/cotedazur/marseille/vieillecharit,0.415,0.585,1.086,has_external_url,https://www.frac-provence-alpes-cotedazur.org/The-Frac,https://en.wikivoyage.org/wiki/Marseille
europe/poland/szczecin,Szczecin,Szczecin,9,62,see,Cmentarz Centralny,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.4162,14.5177,St. James' Cathedral,europe/poland/szczecin/st_james_cathedral,0.444,2.925,2.697,has_external_url,http://www.cmentarzcentralny.szczecin.pl/,https://en.wikivoyage.org/wiki/Szczecin
asia/indonesia/java/semarang,Semarang,Semarang,8,164,do,Jateng Fair,0.89,candidate,has coordinates; has description; high-value type; has external URL,-6.961562,110.389813,Tugu Muda,asia/indonesia/java/semarang/tugu_muda,0.4,3.319,4.86,has_external_url,http://seputarsemarang.com/jateng-fair-2010-prpp-4687,https://en.wikivoyage.org/wiki/Semarang
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,TNT Express,0.89,candidate,has coordinates; has description; high-value type; has external URL,3.629,98.7022,Tjong A Fie Mansion,asia/indonesia/sumatra/medan/tjong_a_fie_mansion,0.357,5.413,5.389,has_external_url,https://www.tnt.com,https://en.wikivoyage.org/wiki/Medan
europe/norway/lofotenislands/vaeroy,Værøy,Værøy,4,12,see,Turistkontor Husfliden sentrum,0.89,candidate,has coordinates; has description; high-value type; has external URL,67.6639,12.6928,Bird Cliffs,europe/norway/lofotenislands/vaeroy/bird_cliffs,0.293,6.44,1.737,has_external_url,http://www.varoy.kommune.no,https://en.wikivoyage.org/wiki/V%C3%A6r%C3%B8y
northamerica/canada/alberta/jasper,Jasper,Jasper,25,20,do,Marmot Basin,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.80079,-118.083658,Miette Hot Springs,northamerica/canada/alberta/jasper/miette_hot_springs,0.467,23.456,11.884,has_external_url,https://www.skimarmot.com/,https://en.wikivoyage.org/wiki/Jasper
europe/unitedkingdom/northernireland/dungannon,Dungannon,Dungannon,7,10,see,The Argory,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.4648,-6.6576,Ranfurly House,europe/unitedkingdom/northernireland/dungannon/ranfurly_house,0.3,8.423,8.483,has_external_url,https://www.nationaltrust.org.uk/visit/northern-ireland/the-argory,https://en.wikivoyage.org/wiki/Dungannon
europe/italy/veneto/cortina_dampezzo,Cortina d'Ampezzo,Cortina d'Ampezzo,10,66,do,Ski Area Lagazuoi 5 Torri,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.52993,12.01024,Cinque Torri,europe/italy/veneto/cortina_dampezzo/cinque_torri,0.432,6.354,9.768,has_external_url,https://lagazuoi.it/Ita/page8-Ski-Area-Lagazuoi,https://en.wikivoyage.org/wiki/Cortina_d%27Ampezzo
northamerica/unitedstates/ohio/hudson,Hudson,Hudson (Ohio),4,19,see,Jo Ann Stores HQ,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.2137,-81.4363,Hudson Historic District,northamerica/unitedstates/ohio/hudson/hudson_historic_district,0.4,3.358,2.949,has_external_url,http://www.joann.com/,https://en.wikivoyage.org/wiki/Hudson_%28Ohio%29
northamerica/unitedstates/mississippi/jackson,Jackson,Jackson (Mississippi),20,54,do,Brilla Soccer Ministries,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.34917,-90.3236,Walker's Drive-In,northamerica/unitedstates/mississippi/jackson/walkers_drive_in,0.39,13.126,14.194,has_external_url,https://brillasoccer.org/,https://en.wikivoyage.org/wiki/Jackson_%28Mississippi%29
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Markkleeberger See,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.27,12.399,Alte Handelsbörse,europe/germany/saxony/leipzig/alte_boerse,0.343,8.025,8.033,has_external_url,http://www.markkleeberger-see.de/,https://en.wikivoyage.org/wiki/Leipzig
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,do,Waddell Apples,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.387,-76.325,Marine Museum of the Great Lakes,northamerica/canada/ontario/kingston/marine_museum,0.333,21.703,21.546,has_external_url,http://www.waddellapples.com,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
asia/laos/savannakhet,Savannakhet,Savannakhet,4,32,do,Savan Vegas Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,16.6131,104.7783,Savannakhet Colonial Quarter,asia/laos/savannakhet/colonialquarter,0.391,,6.976,has_external_url,https://www.savanresorts.com/,https://en.wikivoyage.org/wiki/Savannakhet
europe/finland/rauma,Rauma,Rauma,5,63,do,Theater,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.1269,21.50311,Old Rauma,europe/finland/rauma/old_rauma,0.549,0.451,0.226,has_external_url,http://www.raumanteatteri.fi/,https://en.wikivoyage.org/wiki/Rauma
northamerica/unitedstates/colorado/fortcollins,Fort Collins,Fort Collins,8,81,do,Rocky Mountain Adventures,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.625240702906474,-105.09614969041087,Fort Collins Museum of Discovery,northamerica/unitedstates/colorado/fortcollins/museum_of_discovery,0.316,4.87,4.53,has_external_url,https://www.shoprma.com/,https://en.wikivoyage.org/wiki/Fort_Collins
