world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/slovenia/savinja_and_alek,Savinja and Šalek Valley,Savinja and Šalek Valley,7,16,do,Raduha,0.85,candidate,has coordinates; has description; high-value type,46.4098558,14.7376839,Rinka Waterfall,europe/slovenia/savinja_and_alek/rinka_waterfall,0.286,10.06,9.687,needs_external_source,,https://en.wikivoyage.org/wiki/Savinja_and_%C5%A0alek_Valley
europe/italy/sicily/trapani,Trapani,Trapani,7,70,see,Triton's Fountain,0.85,candidate,has coordinates; has description; high-value type,38.0183803,12.5171432,Palazzo Senatorio,europe/italy/sicily/trapani/palazzo_senatorio,0.353,0.739,0.701,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
northamerica/unitedstates/arizona/williams,Williams,Williams (Arizona),4,17,do,Williams Labor Day Rodeo,0.85,candidate,has coordinates; has description; high-value type,35.258822,-112.184273,Kaibab National Forest,northamerica/unitedstates/arizona/williams/kaibab_national_forest,0.261,3.399,1.179,needs_external_source,,https://en.wikivoyage.org/wiki/Williams_%28Arizona%29
asia/philippines/quezon_province/lucena,Lucena,Lucena,7,25,see,Heroes' Lane,0.85,candidate,has coordinates; has description; high-value type,13.94024,121.60289,Saint Ferdinand Cathedral,asia/philippines/quezon_province/lucena/saint_ferdinand_cathedral,0.278,1.11,1.188,needs_external_source,,https://en.wikivoyage.org/wiki/Lucena
northamerica/thecaribbean/barbados/bridgetown,Bridgetown,Bridgetown,19,19,see,Ilaro Court,0.85,candidate,has coordinates; has description; high-value type,13.1036,-59.5858,Waterfront Café,northamerica/thecaribbean/barbados/bridgetown/waterfront_cafe,0.4,3.181,3.196,needs_external_source,,https://en.wikivoyage.org/wiki/Bridgetown
southamerica/venezuela/maracaibo,Maracaibo,Maracaibo,5,32,see,Calle Carabobo,0.85,candidate,has coordinates; has description; high-value type,10.64288,-71.60759,Sinamaica Lagoon,southamerica/venezuela/maracaibo/sinamaica,0.4,64.905,4.091,needs_external_source,,https://en.wikivoyage.org/wiki/Maracaibo
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,WXTS-FM,0.85,candidate,has coordinates; has description; high-value type,41.6686,-83.5542,Tony Packo's Cafe,northamerica/unitedstates/ohio/toledo/tony_packos,0.333,5.189,2.212,needs_external_source,,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
europe/france/midi/provence/nimes,Nîmes,Nîmes,11,29,do,Le Pont du Gard,0.85,candidate,has coordinates; has description; high-value type,43.947319,4.5352936,Maison Carrée,europe/france/midi/provence/nimes/maison_carree,0.455,18.789,18.614,needs_external_source,,https://en.wikivoyage.org/wiki/N%C3%AEmes
asia/palestinianauthority/jerico,Jericho,Jericho,4,18,see,Jesus' Baptismal site,0.85,candidate,has coordinates; has description; high-value type,31.837093,35.546497,Hisham's Palace,asia/palestinianauthority/jerico/hishams_palace,0.343,9.628,8.523,needs_external_source,,https://en.wikivoyage.org/wiki/Jericho
asia/oman/muscat,Muscat,Muscat,24,152,see,Churches,0.85,candidate,has coordinates; has description; high-value type,23.60671,58.536323,Shatti al-Qurum,asia/oman/muscat/shatti_al_qurum,0.511,0.489,5.891,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
