world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/east/champagne/provins,Provins,Provins,12,15,see,Provins Rose Garden,0.51,candidate,high-value type; strong travel term,,,Les Aigles des Remparts,europe/france/east/champagne/provins/eagles_of_the_ramparts,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Provins
europe/russia/staraya_ladoga,Staraya Ladoga,Staraya Ladoga,6,13,see,Church of Dmitry Solunsky,0.51,candidate,high-value type; strong travel term,,,Staraya Ladoga Fortress,europe/russia/staraya_ladoga/staraya_ladoga_fortress,0.292,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Staraya_Ladoga
asia/pakistan/khyberpass,Khyber Pass,Khyber Pass,0,6,see,Ali Masjid Fort,0.51,candidate,high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khyber_Pass
asia/china/yunnanprovince/lugu_lake,Lugu Lake,Lugu Lake,0,7,do,Hiking in the surrounding mountains,0.51,candidate,high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lugu_Lake
northamerica/unitedstates/colorado/idaho_springs,Idaho Springs,Idaho Springs,3,39,see,Historic Train#60,0.51,candidate,high-value type; strong travel term,,,Clear Creek Whitewater,northamerica/unitedstates/colorado/idaho_springs/clear_creek_whitewater,0.205,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Idaho_Springs
asia/india/haryana/kurukshetra,Kurukshetra,Kurukshetra,8,16,see,Harshwardhan Park,0.51,candidate,high-value type; strong travel term,,,Sthaneshwar Mahadev Temple,asia/india/haryana/kurukshetra/sthaneshwar_mahadev,0.512,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kurukshetra
europe/switzerland/vevey,Vevey,Vevey,17,24,see,Roman Catholic Church of Notre-Dame,0.51,candidate,high-value type; strong travel term,,,Swiss Museum of Games,europe/switzerland/vevey/swiss_museum_of_games,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vevey
northamerica/unitedstates/oregon/salem,Salem,Salem (Oregon),6,36,see,Downtown Salem Historic District,0.51,candidate,high-value type; strong travel term,,,Oregon State Capitol,northamerica/unitedstates/oregon/salem/oregon_state_capitol,0.423,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28Oregon%29
asia/turkey/ankara,Ankara,Ankara,13,116,see,Victory Monument,0.51,candidate,high-value type; strong travel term,,,Ethnography Museum,asia/turkey/ankara/ethnography_museum,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ankara
africa/tunisia/jerba,Jerba,Djerba,7,22,see,Mosque of the Turks,0.51,candidate,high-value type; strong travel term,,,Fadhloun Mosque,africa/tunisia/jerba/fadhloun_mosque,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Djerba
europe/italy/sicily/catania,Catania,Catania,54,63,see,Museo Emilio Greco,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museo Diocesano,europe/italy/sicily/catania/museo_diocesano,0.606,,,missing_coordinates; has_external_url,http://www.comune.catania.it/la-citta/culture/monumenti-e-siti-archeologici/musei/museo-emilio-greco/il-museo/,https://en.wikivoyage.org/wiki/Catania
northamerica/unitedstates/michigan/frankenmuth,Frankenmuth,Frankenmuth,9,12,do,Frankenmuth Auto Fest,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Frankenmuth Brewery,northamerica/unitedstates/michigan/frankenmuth/frankenmuth_brewery,0.65,,,missing_coordinates; has_external_url,http://www.frankenmuthautofest.com,https://en.wikivoyage.org/wiki/Frankenmuth
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Asheville Community Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Asheville Art Museum,northamerica/unitedstates/northcarolina/asheville/asheville_art_museum,0.553,,,missing_coordinates; has_external_url,http://www.ashevilletheatre.org/,https://en.wikivoyage.org/wiki/Asheville
northamerica/unitedstates/california/goldcountry/sacramento,Sacramento,Sacramento,60,75,do,Concerts in the Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Discovery Park,northamerica/unitedstates/california/goldcountry/sacramento/discovery_park,0.6,,,missing_coordinates; has_external_url,http://downtownsac.org/events/concerts-in-the-park/,https://en.wikivoyage.org/wiki/Sacramento
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,Volcano Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Dylan Thomas Centre,europe/unitedkingdom/wales/swansea/dylan_thomas_centre,0.588,,,missing_coordinates; has_external_url,https://volcanotheatre.wales/,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/utah/parkcity,Park City,Park City (Utah),7,16,see,Park City Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Park City Mountain Resort,northamerica/unitedstates/utah/parkcity/park_city_mountain_resort,0.634,,,missing_coordinates; has_external_url,http://parkcityhistory.org/,https://en.wikivoyage.org/wiki/Park_City_%28Utah%29
asia/turkey/bursa,Bursa,Bursa,13,44,see,Energy Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Karagöz Museum,asia/turkey/bursa/karagoz_museum,0.667,,,missing_coordinates; has_external_url,https://www.kulturportali.gov.tr/turkiye/bursa/gezilecekyer/bursa-enerji-muzesi,https://en.wikivoyage.org/wiki/Bursa
europe/unitedkingdom/england/south_east/brighton,Brighton,Brighton,15,141,do,Brighton Theatres,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Brighton Beach,europe/unitedkingdom/england/south_east/brighton/brighton_beach,0.71,,,missing_coordinates; has_external_url,https://www.brightontheatre.co.uk/,https://en.wikivoyage.org/wiki/Brighton
southamerica/peru/iquitos,Iquitos,Iquitos,8,28,see,Complejo Turístico de Quistococha,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Quistococha,southamerica/peru/iquitos/quistococha,0.609,,,missing_coordinates; has_external_url,https://iquitosperu.net/lugares-turisticos/quistococha/,https://en.wikivoyage.org/wiki/Iquitos
europe/france/corsica/corte,Corte,Corte,7,8,see,Corte citadel,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,The Citadel,europe/france/corsica/corte/citadel,0.7,,,missing_coordinates; has_external_url,https://www.museudiacorsica.corsica/en/the-citadel/,https://en.wikivoyage.org/wiki/Corte
europe/belarus/brest,Brest,Brest (Belarus),5,14,see,Museum of Rescued Art Treasures,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Confiscated Art,europe/belarus/brest/museum_of_confiscated_art,0.643,,,missing_coordinates; has_external_url,http://values.brest.museum.by,https://en.wikivoyage.org/wiki/Brest_%28Belarus%29
northamerica/unitedstates/maine/bar_harbor,Bar Harbor,Bar Harbor,17,78,see,The Bar Harbor Whale Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Abbe Museum,northamerica/unitedstates/maine/bar_harbor/abbe_museum,0.588,,,missing_coordinates; has_external_url,https://downeastacadia.com/story/whale-museum,https://en.wikivoyage.org/wiki/Bar_Harbor
northamerica/unitedstates/florida/fortlauderdale,Fort Lauderdale,Fort Lauderdale,17,67,see,Tri-Rail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Riverwalk,northamerica/unitedstates/florida/fortlauderdale/riverwalk,0.588,,,missing_coordinates; has_external_url,http://www.tri-rail.com,https://en.wikivoyage.org/wiki/Fort_Lauderdale
europe/italy/abruzzo/chieti,Chieti,Chieti,7,22,see,National Archaeological Museum of Abruzzo La Civitella,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museo Archeologico Nazionale d'Abruzzo,europe/italy/abruzzo/chieti/museo_archeologico,0.562,,,missing_coordinates; has_external_url,http://www.archeoabruzzo.beniculturali.it/lacivitella1ENG.html,https://en.wikivoyage.org/wiki/Chieti
europe/ireland/cork,Cork,Cork,26,66,see,Barryscourt Castle,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Blarney Castle (Day Trip),europe/ireland/cork/blarney_castle,0.688,,,missing_coordinates; has_external_url,https://heritageireland.ie/visit/places-to-visit/barryscourt-castle/,https://en.wikivoyage.org/wiki/Cork
northamerica/unitedstates/pennsylvania/scranton,Scranton,Scranton,15,41,do,Scranton Ghost Walk,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Scranton Iron Furnaces,northamerica/unitedstates/pennsylvania/scranton/scranton_iron_furnaces,0.585,,,missing_coordinates; has_external_url,https://www.visitnepa.org/things-to-do/self-guided-tours/haunted-trail/,https://en.wikivoyage.org/wiki/Scranton
northamerica/unitedstates/oklahoma/broken_arrow,Broken Arrow,Broken Arrow,3,22,do,Broken Arrow Farmer's Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Broken Arrow Performing Arts Center,northamerica/unitedstates/oklahoma/broken_arrow/performing_arts_center,0.603,,,missing_coordinates; has_external_url,https://www.brokenarrowok.gov/government/community-development/farmers-market-1469,https://en.wikivoyage.org/wiki/Broken_Arrow
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,Archaeology Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Trabzon Museum,asia/turkey/trabzon/trabzon_museum,0.625,,,missing_coordinates; has_external_url,https://www.kulturportali.gov.tr/turkiye/trabzon/gezilecekyer/trabzon-muzesi,https://en.wikivoyage.org/wiki/Trabzon
europe/bulgaria/burgas,Burgas,Burgas,5,25,do,Burgas Yachting Week,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Burgas Art Gallery,europe/bulgaria/burgas/burgas_art_gallery,0.579,,,missing_coordinates; has_external_url,http://www.yachtclubportbourgas.org/,https://en.wikivoyage.org/wiki/Burgas
northamerica/unitedstates/louisiana/shreveport,Shreveport,Shreveport,21,43,see,artspace,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Marilynn's Place,northamerica/unitedstates/louisiana/shreveport/marilynns_place,0.583,,,missing_coordinates; has_external_url,http://artspaceshreveport.com/,https://en.wikivoyage.org/wiki/Shreveport
asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,13,35,do,Qingyuan Mountain,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Qingjing Mosque,asia/china/fujianprovince/quanzhou/qingjing_mosque,0.562,,,missing_coordinates; has_external_url,https://www.qysfjq.com/english/,https://en.wikivoyage.org/wiki/Quanzhou
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Belfast Zoo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Belfast City Hall,europe/unitedkingdom/northernireland/belfast/belfast_city_hall,0.571,,,missing_coordinates; has_external_url,https://www.belfastcity.gov.uk/zoo/home,https://en.wikivoyage.org/wiki/Belfast
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,see,Missouri Veterinary Medical Foundation Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Missouri Governor's Mansion,northamerica/unitedstates/missouri/jeffersoncity/governor_mansion,0.583,,,missing_coordinates; has_external_url,https://www.movma.org/page/Museum,https://en.wikivoyage.org/wiki/Jefferson_City
europe/spain/basque_country_euskadi/vitoria,Vitoria-Gasteiz,Vitoria-Gasteiz,51,24,see,Museum of Natural History,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Bibat — Museum of Archaeology,europe/spain/basque_country_euskadi/vitoria/bibat_archaeology,0.577,,,missing_coordinates; has_external_url,https://naturazientzienmuseoa.eus/,https://en.wikivoyage.org/wiki/Vitoria-Gasteiz
asia/cambodia/sihanoukville,Sihanoukville,Sihanoukville,15,27,see,Koh Rong and Koh Rung Sanloem,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Koh Rong Sanloem,asia/cambodia/sihanoukville/koh_rong_sanloem,0.711,,,missing_coordinates; has_external_url,https://www.visitkohrong.com/samloem/,https://en.wikivoyage.org/wiki/Sihanoukville
europe/germany/saxony/dresden,Dresden,Dresden,31,149,do,Striezelmarkt,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Neumarkt,europe/germany/saxony/dresden/neumarkt,0.571,,,missing_coordinates; has_external_url,https://striezelmarkt.dresden.de/en/,https://en.wikivoyage.org/wiki/Dresden
europe/finland/vantaa,Vantaa,Vantaa,4,103,do,Tikkurila festivaali,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Tikkurila,europe/finland/vantaa/tikkurila,0.621,,,missing_coordinates; has_external_url,http://tikkurilafestivaali.fi/,https://en.wikivoyage.org/wiki/Vantaa
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bolton,Bolton,Bolton,14,32,see,"Museum, Art Gallery and Aquarium",0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Bolton Museum and Art Gallery,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bolton/bolton_museum,0.6,,,missing_coordinates; has_external_url,http://www.boltonlams.co.uk/museum,https://en.wikivoyage.org/wiki/Bolton
