world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/canaryislands/lagomera/vallegranrey,Valle Gran Rey,Valle Gran Rey,4,13,see,Los Santos Reyes church,0.81,candidate,has coordinates; high-value type; strong travel term,28.10625,-17.32364,Puerto de Vueltas,europe/spain/canaryislands/lagomera/vallegranrey/vueltas_harbour,0.242,2.844,1.841,needs_external_source,,https://en.wikivoyage.org/wiki/Valle_Gran_Rey
europe/finland/turku,Turku,Turku,5,262,do,Maaria beach,0.81,candidate,has coordinates; high-value type; strong travel term,60.5307,22.354,Aura River,europe/finland/turku/aura_river,0.455,10.298,10.004,needs_external_source,,https://en.wikivoyage.org/wiki/Turku
asia/indonesia/irianjaya/manokwari,Manokwari,Manokwari,4,7,see,Pasir Putih Beach,0.81,candidate,has coordinates; high-value type; strong travel term,-0.870437,134.107312,Amban Beach,asia/indonesia/irianjaya/manokwari/amban_beach,0.5,3.793,5.131,needs_external_source,,https://en.wikivoyage.org/wiki/Manokwari
asia/china/anhui/huang_shan,Huang Shan,Huangshan,0,13,do,"Ciguang Pavilion (慈光阁, Mercy Light Temple)",0.81,candidate,has coordinates; high-value type; strong travel term,30.1080917,118.1677722,,,0.0,,2.446,needs_external_source,,https://en.wikivoyage.org/wiki/Huangshan
asia/india/uttaranchal/dehradun,Dehradun,Dehradun,13,50,see,The Gurkha Fort,0.81,candidate,has coordinates; high-value type; strong travel term,30.322,78.0771,Kumar Sweet Shop,asia/india/uttaranchal/dehradun/kumar_sweet_shop,0.296,3.315,4.353,needs_external_source,,https://en.wikivoyage.org/wiki/Dehradun
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Castle of János Observation Tower,0.81,candidate,has coordinates; high-value type; strong travel term,48.45076,21.52257,Széphalom — Kazinczy Memorial House,europe/hungary/satoraljaujhely/szephalom,0.273,12.281,11.58,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
asia/iran/persepolis,Persepolis,Persepolis,0,17,see,Apadana Palace,0.81,candidate,has coordinates; high-value type; strong travel term,29.93514,52.8895,,,0.0,,0.087,needs_external_source,,https://en.wikivoyage.org/wiki/Persepolis
northamerica/unitedstates/westvirginia/charleston,Charleston,Charleston (West Virginia),22,67,do,Magic Island,0.81,candidate,has coordinates; high-value type; strong travel term,38.3573626,-81.7228346,East End,northamerica/unitedstates/westvirginia/charleston/east_end,0.4,10.309,7.913,needs_external_source,,https://en.wikivoyage.org/wiki/Charleston_%28West_Virginia%29
europe/russia/novgorod,Novgorod,Novgorod,11,58,see,The Roman Catholic Church of the Holy Apostles Peter and Paul,0.81,candidate,has coordinates; high-value type; strong travel term,58.528333,31.2725,"Museum of History, Architecture and Art",europe/russia/novgorod/museum_of_history,0.44,0.712,0.835,needs_external_source,,https://en.wikivoyage.org/wiki/Novgorod
europe/ireland/galway,Galway,Galway,11,67,see,Mutton Island,0.81,candidate,has coordinates; high-value type; strong travel term,53.254,-9.055,Aran Islands Day Trip,europe/ireland/galway/aran_islands,0.471,49.65,2.304,needs_external_source,,https://en.wikivoyage.org/wiki/Galway
europe/finland/turku,Turku,Turku,5,262,do,Moikoinen beach,0.81,candidate,has coordinates; high-value type; strong travel term,60.4167,22.2506,Turku Cathedral,europe/finland/turku/turku_cathedral,0.267,4.11,3.983,needs_external_source,,https://en.wikivoyage.org/wiki/Turku
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Seruni Island,0.81,candidate,has coordinates; high-value type; strong travel term,-5.862563,110.583062,Karimunjawa Village,asia/indonesia/java/karimunjawa/karimunjawa_village,0.438,15.996,16.717,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
europe/unitedkingdom/scotland/fraserburgh,Fraserburgh,Fraserburgh,4,14,see,Cairnbulg Castle,0.81,candidate,has coordinates; high-value type; strong travel term,57.665,-1.975,Eating Out in Fraserburgh,europe/unitedkingdom/scotland/fraserburgh/eating_out,0.39,,3.702,needs_external_source,,https://en.wikivoyage.org/wiki/Fraserburgh
southamerica/chile/valdivia,Valdivia,Valdivia,11,20,do,Oncol National Park and Cerro Oncol,0.81,candidate,has coordinates; high-value type; strong travel term,-39.702618,-73.3092356,Colonial Forts at Niebla and Corral,southamerica/chile/valdivia/forts_niebla_corral,0.514,21.188,13.527,needs_external_source,,https://en.wikivoyage.org/wiki/Valdivia
europe/armenia/ani,Ani,Ani,8,14,see,Church of Saint Gregory of Tigran Honents,0.81,candidate,has coordinates; high-value type; strong travel term,40.5059,43.5787,Central Bank of Armenia,europe/armenia/central_bank_of_ar,0.312,87.07,0.53,needs_external_source,,https://en.wikivoyage.org/wiki/Ani
northamerica/canada/britishcolumbia/courtenay,Courtenay,Courtenay,5,30,do,Courtenay Riverway Heritage Walk.,0.81,candidate,has coordinates; high-value type; strong travel term,49.68247,-124.9839,Filberg Heritage Lodge and Park,northamerica/canada/britishcolumbia/courtenay/filberg_park,0.476,3.516,1.136,needs_external_source,,https://en.wikivoyage.org/wiki/Courtenay
europe/belarus/minsk,Minsk,Minsk,27,78,do,Republican Theatre of Belarusian Drama,0.81,candidate,has coordinates; high-value type; strong travel term,53.9224,27.5603,National Library of Belarus,europe/belarus/minsk/national_library,0.462,6.51,2.218,needs_external_source,,https://en.wikivoyage.org/wiki/Minsk
europe/hungary/eger,Eger,Eger,12,49,see,Firefighter Museum,0.81,candidate,has coordinates; high-value type; strong travel term,47.90704,20.37289,Eger Castle,europe/hungary/eger/eger_castle,0.483,0.598,0.902,needs_external_source,,https://en.wikivoyage.org/wiki/Eger
europe/armenia/vanadzor,Vanadzor,Vanadzor,7,26,do,Sayat Nova park,0.81,candidate,has coordinates; high-value type; strong travel term,40.8042,44.4919,Vanadzor Fine Arts Museum,europe/armenia/vanadzor/vanadzor_fine_arts_museum,0.509,0.491,1.334,needs_external_source,,https://en.wikivoyage.org/wiki/Vanadzor
asia/mongolia/erdenet,Erdenet,Erdenet,0,6,see,Orkhon Provincial Museum,0.81,candidate,has coordinates; high-value type; strong travel term,49.032264,104.058528,,,0.0,,1.123,needs_external_source,,https://en.wikivoyage.org/wiki/Erdenet
northamerica/unitedstates/louisiana/bossiercity,Bossier City,Bossier City,14,12,see,Mardi Gras Museum,0.81,candidate,has coordinates; high-value type; strong travel term,32.5270693,-93.7215583,Eighth Air Force Museum,northamerica/unitedstates/louisiana/bossiercity/eighth_air_force_museum,0.5,6.215,1.683,needs_external_source,,https://en.wikivoyage.org/wiki/Bossier_City
europe/unitedkingdom/scotland/standrews,St Andrews,St Andrews,11,28,do,Craigtoun Country Park,0.81,candidate,has coordinates; high-value type; strong travel term,56.5167,-2.8426,Old Course at St Andrews,europe/unitedkingdom/scotland/standrews/old_course,0.391,19.467,19.872,needs_external_source,,https://en.wikivoyage.org/wiki/St_Andrews
europe/unitedkingdom/manisleof/douglas,Douglas,Douglas (Isle of Man),10,30,do,Nobles Park,0.81,candidate,has coordinates; high-value type; strong travel term,54.1678,-4.4779,Douglas War Memorial,europe/unitedkingdom/manisleof/douglas/douglas_war_memorial,0.387,1.334,1.887,needs_external_source,,https://en.wikivoyage.org/wiki/Douglas_%28Isle_of_Man%29
asia/iran/khoram_abad,Khorramabad,Khorramabad,4,9,see,Kaldar Cave,0.81,candidate,has coordinates; high-value type; strong travel term,33.557317,48.292636,Falak-ol-Aflak Castle,asia/iran/khoram_abad/falak_ol_aflak,0.438,9.937,9.697,needs_external_source,,https://en.wikivoyage.org/wiki/Khorramabad
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,do,Berg Park,0.81,candidate,has coordinates; high-value type; strong travel term,36.7337,-108.1818,Navajo Lake State Park,northamerica/unitedstates/newmexico/farmington/navajo_lake_state_park,0.387,51.562,3.347,needs_external_source,,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
europe/ireland/waterford,Waterford,Waterford,6,48,see,Kilmeadan Castle,0.81,candidate,has coordinates; high-value type; strong travel term,52.2476,-7.2319,The Viking Triangle,europe/ireland/waterford/viking_triangle,0.387,8.647,8.303,needs_external_source,,https://en.wikivoyage.org/wiki/Waterford
