world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/albania/elbasan,Elbasan,Elbasan,8,29,do,Rafting in Shkumbin river,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.0986,20.2588,Shkumbin River Valley,europe/albania/elbasan/shkumbin_river,0.609,14.162,14.879,has_external_url,https://astalbania.com/tour/rafting/,https://en.wikivoyage.org/wiki/Elbasan
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Suseongmot Lake Festival,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.827909,128.617637,Suseong Lake,asia/southkorea/dae_gu/suseong_lake,0.667,2.634,5.053,has_external_url,http://www.ssfestival.net/,https://en.wikivoyage.org/wiki/Daegu
northamerica/unitedstates/washington/leavenworth,Leavenworth,Leavenworth (Washington),5,51,see,Leavenworth Reindeer Farm,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.60587,-120.64955,Leavenworth Ranger Station,northamerica/unitedstates/washington/leavenworth/leavenworth_ranger_station,0.706,1.0,1.391,has_external_url,https://www.leavenworthreindeer.com/,https://en.wikivoyage.org/wiki/Leavenworth_%28Washington%29
europe/switzerland/montreux,Montreux,Montreux,5,27,do,Marmots' Paradise,0.74,candidate,has coordinates; has description; high-value type; has external URL,46.43635,6.91116,Lakefront Promenade,europe/switzerland/montreux/lakefront_promenade,0.571,0.601,0.601,has_external_url,http://www.goldenpass.ch/default.asp?OrgID=7,https://en.wikivoyage.org/wiki/Montreux
asia/india/sikkim/gangtok,Gangtok,Gangtok,8,29,see,Rumtek Monastery,0.74,candidate,has coordinates; has description; high-value type; has external URL,27.288611,88.561389,Enchey Monastery,asia/india/sikkim/gangtok/enchey_monastery,0.688,7.756,6.743,has_external_url,http://www.rumtek.org,https://en.wikivoyage.org/wiki/Gangtok
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,Skylon Tower,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.085278,-79.079722,Nikola Tesla Monument,northamerica/canada/ontario/niagrafalls/nikola_tesla_monument,0.681,0.319,2.693,has_external_url,http://www.skylon.com/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
southamerica/bolivia/cochabamba,Cochabamba,Cochabamba,5,48,see,Museo Convento Santa Teresa,0.74,candidate,has coordinates; has description; high-value type; has external URL,-17.38984,-66.15782,Palacio Portales,southamerica/bolivia/cochabamba/palacio_portales,0.577,0.423,0.115,has_external_url,https://www.facebook.com/conventomuseosantateresacbba,https://en.wikivoyage.org/wiki/Cochabamba
asia/japan/kyushu/beppu,Beppu,Beppu,9,41,do,Horita Onsen,0.74,candidate,has coordinates; has description; high-value type; has external URL,33.28848,131.46108,Takegawara Onsen,asia/japan/kyushu/beppu/takegawara_onsen,0.571,3.432,2.843,has_external_url,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail16.html,https://en.wikivoyage.org/wiki/Beppu
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,do,Fashion Tech Hackathon,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.15255,-81.34992,Portage Hike and Bike Trail,northamerica/unitedstates/ohio/kent/portage_hike_bike_trail,0.565,0.435,0.68,has_external_url,https://www.kent.edu/fashion/fashiontech-hackathon,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29
africa/southafrica/oudtshoorn,Oudtshoorn,Oudtshoorn,7,12,do,Safari Ostrich Farm,0.74,candidate,has coordinates; has description; high-value type; has external URL,-33.6314,22.162,Highgate Ostrich Farm,africa/southafrica/oudtshoorn/highgate_ostrich_farm,0.7,6.068,6.014,has_external_url,http://www.safariostrich.co.za/,https://en.wikivoyage.org/wiki/Oudtshoorn
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,see,Historische Kelders,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.981397,5.903596,Korenmarkt,europe/netherlands/arnhem/korenmarkt,0.653,0.347,0.531,has_external_url,https://www.wandeleninarnhem.nl/nl/wandeling/historische-kelders-e-o,https://en.wikivoyage.org/wiki/Arnhem
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Lviv philharmonic Society Concert hall,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.83755,24.03043,Latin Cathedral,europe/ukraine/lviv/latin_cathedral,0.638,0.362,0.502,has_external_url,http://www.philharmonia.lviv.ua/,https://en.wikivoyage.org/wiki/Lviv
northamerica/unitedstates/colorado/buenavista,Buena Vista,Buena Vista (Colorado),8,7,do,Browns Canyon Rafting,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.82946,-106.12247,Brown's Canyon National Monument,northamerica/unitedstates/colorado/buenavista/browns_canyon_national_monument,0.679,8.278,1.602,has_external_url,https://raftbrownscanyon.com/,https://en.wikivoyage.org/wiki/Buena_Vista_%28Colorado%29
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Center for Contemporary Arts,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.67367,-105.93796,IAIA Museum of Contemporary Native Arts,northamerica/unitedstates/newmexico/santafe/iaia_museum,0.597,1.529,1.55,has_external_url,https://ccasantafe.org/,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Homerton College,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.1855,0.1381,Pembroke College,europe/unitedkingdom/england/eastern_england/cambridge/pembroke_college,0.688,2.25,2.592,has_external_url,http://www.homerton.cam.ac.uk/,https://en.wikivoyage.org/wiki/Cambridge
