world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,do,Poley Mountain,0.79,candidate,has coordinates; has description; high-value type; has external URL,45.67985,-65.38132,Downtown Moncton,northamerica/canada/newbrunswick/moncton/downtown_moncton,0.467,64.979,64.727,has_external_url; day_trip_review,https://www.poleymountain.com/,https://en.wikivoyage.org/wiki/Moncton
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,do,EGV Lotus,0.79,candidate,has coordinates; has description; high-value type; has external URL,9.104281,99.306706,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.133,,66.083,has_external_url; day_trip_review,http://www.majorcineplex.com/cinema/lotus-suratthani,https://en.wikivoyage.org/wiki/Surat_Thani
europe/denmark/aalborg,Aalborg,Aalborg,5,49,see,Lille Vildmose,0.79,candidate,has coordinates; has description; high-value type; has external URL,56.8875,10.220556,Lindholm Høje,europe/denmark/aalborg/lindholm_hoje,0.37,28.023,25.302,has_external_url; day_trip_review,http://lillevildmose.dk/en/,https://en.wikivoyage.org/wiki/Aalborg
northamerica/netherlandsantilles/saba,Saba,Saba,7,25,see,The Edge,0.79,candidate,has coordinates; has description; high-value type; has external URL,18.030975,-63.094292,Ladder Bay,northamerica/netherlandsantilles/saba/ladder_bay,0.286,47.349,46.404,has_external_url; day_trip_review,http://www.stmaarten-activities.com/en/edge-saba,https://en.wikivoyage.org/wiki/Saba
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,do,Airplay Hang Gliding,0.79,candidate,has coordinates; has description; high-value type; has external URL,-16.64643,145.56563,Cairns Art Gallery,australiaandpacific/australia/queensland/cairns/cairns_art_gallery,0.368,37.998,37.783,has_external_url; day_trip_review,http://airplayhanggliding.com.au/,https://en.wikivoyage.org/wiki/Cairns
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,do,Nakwaree Shooting Association,0.79,candidate,has coordinates; has description; high-value type; has external URL,9.10052,99.31079,Tapee River Waterfront,asia/thailand/surat_thani/tapee_river_waterfront,0.392,,66.694,has_external_url; day_trip_review,http://www.nakwaree.com/,https://en.wikivoyage.org/wiki/Surat_Thani
australiaandpacific/newzealand/south_island/otago/wanaka,Wanaka,Wanaka,8,27,do,Deep Canyon,0.79,candidate,has coordinates; has description; high-value type; has external URL,-44.42,169.09,Treble Cone,australiaandpacific/newzealand/south_island/otago/wanaka/treble_cone,0.545,26.937,30.711,has_external_url; day_trip_review,http://www.deepcanyon.co.nz,https://en.wikivoyage.org/wiki/Wanaka
australiaandpacific/australia/rockhampton,Rockhampton,Rockhampton,15,19,do,Koorona Crocodile Farm,0.79,candidate,has coordinates; has description; high-value type; has external URL,-23.3156,150.7588,Tropic of Capricorn Marker,australiaandpacific/australia/rockhampton/tropic_of_capricorn_marker,0.417,26.002,26.002,has_external_url; day_trip_review,https://koorana.com.au/,https://en.wikivoyage.org/wiki/Rockhampton
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,see,Cedar Grove Cheese,0.79,candidate,has coordinates; has description; high-value type; has external URL,43.28123,-90.02406,Dane County Farmers' Market,northamerica/unitedstates/wisconsin/madison/dane_county_farmers_market,0.364,56.591,56.742,has_external_url; day_trip_review,https://cedargrovecheese.com/,https://en.wikivoyage.org/wiki/Madison
europe/azerbaijan/nagornokarabakh/stepanakert,Khankendi (Stepanakert),Khankendi,3,18,see,Tigranakert,0.79,candidate,has coordinates; has description; high-value type; has external URL,40.065278,46.905833,Holy Mother of God Cathedral,europe/azerbaijan/nagornokarabakh/stepanakert/holy_mother_cathedral,0.205,31.099,30.476,has_external_url; day_trip_review,http://www.tigranakert.com,https://en.wikivoyage.org/wiki/Khankendi
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,do,San Andrés,0.79,candidate,has coordinates; has description; high-value type; has external URL,13.7978,-89.3902,Santa Ana Volcano (Ilamatepec),northamerica/elsalvador/santaana/santa_ana_volcano,0.519,25.914,28.49,has_external_url; day_trip_review,http://www.cultura.gob.sv/parque-arqueologico-san-andres/,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
australiaandpacific/australia/queensland/port_douglas,Port Douglas,Port Douglas,6,9,do,Australian Muster Experience,0.79,candidate,has coordinates; has description; high-value type; has external URL,-16.0,145.0,Salsa Bar and Grill,australiaandpacific/australia/queensland/port_douglas/salsa_bar_grill,0.34,73.202,73.167,has_external_url; day_trip_review,http://www.australianmusterexperience.com,https://en.wikivoyage.org/wiki/Port_Douglas
northamerica/unitedstates/nevada/reno,Reno,Reno,15,64,do,Heavenly,0.79,candidate,has coordinates; has description; high-value type; has external URL,38.9353,-119.94,Espresso Country,northamerica/unitedstates/nevada/reno/espressocountry,0.333,64.713,66.612,has_external_url; day_trip_review,http://www.skiheavenly.com/,https://en.wikivoyage.org/wiki/Reno
asia/indonesia/rajaampat,Raja Ampat,Raja Ampat,5,15,do,Scuba Republic Indonesia,0.79,candidate,has coordinates; has description; high-value type; has external URL,-0.4418811,130.7446448,Wayag Islands,asia/indonesia/rajaampat/wayag,0.324,103.942,35.084,has_external_url; day_trip_review,https://scuba-republic.com/,https://en.wikivoyage.org/wiki/Raja_Ampat
northamerica/canada/quebec/mont_tremblant_que,Mont-Tremblant,Mont-Tremblant,6,7,see,Buddhist Monastery Đại Tòng Lâm Tam Bảo Sơn,0.79,candidate,has coordinates; has description; high-value type; has external URL,45.910147,-74.649502,Circuit Mont-Tremblant,northamerica/canada/quebec/mont_tremblant_que/circuit_mont_tremblant,0.381,31.014,34.4,has_external_url; day_trip_review,https://www.tambaoson.com/,https://en.wikivoyage.org/wiki/Mont-Tremblant
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,do,Klitsgras Drumming Circle,0.79,candidate,has coordinates; has description; high-value type; has external URL,-25.89002,28.38613,Loftus Versfeld Stadium,africa/southafrica/pretoria/loftus_versfeld,0.292,22.44,25.503,has_external_url; day_trip_review,http://www.klitsgras.co.za,https://en.wikivoyage.org/wiki/Pretoria
europe/italy/emiliaromagna/ferrara,Ferrara,Ferrara,14,36,see,Comacchio,0.79,candidate,has coordinates; has description; high-value type; has external URL,44.7,12.183333,Palazzo Schifanoia,europe/italy/emiliaromagna/ferrara/palazzo_schifanoia,0.37,46.47,46.97,has_external_url; day_trip_review,http://www.comune.comacchio.fe.it,https://en.wikivoyage.org/wiki/Ferrara
