world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,South Wales Evening Post Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Swansea Grand Theatre,europe/unitedkingdom/wales/swansea/grand_theatre,0.491,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/southdakota/sturgis,“Sturgis”,Sturgis,5,17,do,Cavalry Days,0.59,candidate,has description; high-value type; strong travel term,,,Fort Meade Cavalry Museum,northamerica/unitedstates/southdakota/sturgis/fort_meade,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sturgis
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Laodaowai,0.59,candidate,has description; high-value type; strong travel term,,,Daoli District,asia/china/heilongjiang/harbin/daoli_district,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin
africa/tunisia/dougga,Dougga,Dougga,9,14,see,Dar Lacheb.,0.59,candidate,has description; high-value type; strong travel term,,,Arch of Alexander Severus,africa/tunisia/dougga/arch_of_alexander_severus,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dougga
northamerica/unitedstates/texas/san_angelo,San Angelo,San Angelo,5,50,see,Old Town – Orient St,0.59,candidate,has description; high-value type; strong travel term,,,Concho River Walk,northamerica/unitedstates/texas/san_angelo/concho_river_walk,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Angelo
europe/croatia/dubrovnik,Dubrovnik,Dubrovnik,21,80,see,The Ethnographic Museum,0.59,candidate,has description; high-value type; strong travel term,,,Red History Museum,europe/croatia/dubrovnik/red_history_museum,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dubrovnik
asia/china/yunnanprovince/lugu_lake,Lugu Lake,Lugu Lake,0,7,do,Gemu Mountain Cable Car,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lugu_Lake
northamerica/thecaribbean/martinique/fortdefrance,Fort-de-France,Fort-de-France,7,13,see,Cascade Absalon,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Saint-Louis,northamerica/thecaribbean/martinique/fortdefrance/cathedral_saint_louis,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fort-de-France
europe/france/centre/limousin/limoges,Limoges,Limoges,5,11,see,Châlucet Castle,0.59,candidate,has description; high-value type; strong travel term,,,Rue de la Boucherie,europe/france/centre/limousin/limoges/rue_de_la_boucherie,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Limoges
southamerica/ecuador/loja,Loja,Loja,7,8,see,Madres Conceptas Museum,0.59,candidate,has description; high-value type; strong travel term,,,Ñaño Casa Museo,southamerica/ecuador/loja/nano_casa_museo,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Loja
northamerica/unitedstates/oklahoma/norman,Norman,Norman (Oklahoma),11,47,do,The Performing Arts Studio,0.59,candidate,has description; high-value type; strong travel term,,,Oklahoma Memorial Union,northamerica/unitedstates/oklahoma/norman/memorial_union,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Norman_%28Oklahoma%29
