world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/kamploops,Kamloops,Kamloops,13,31,do,Peterson Creek Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.65904,-120.33306,Riverside Park,northamerica/canada/britishcolumbia/kamploops/riverside_park,0.45,2.149,1.761,has_external_url,https://www.kamloops.ca/recreation-culture/parks-sports-fields/peterson-creek-nature-park,https://en.wikivoyage.org/wiki/Kamloops
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,Església de Sant Jaume i Santa Anna,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.53437,-0.1311,Balcón del Mediterráneo,europe/spain/spanishcostas/benidorm/balcon_del_mediterraneo,0.392,0.702,0.717,has_external_url,https://www.facebook.com/ParroquiaSanJaimeBenidorm/,https://en.wikivoyage.org/wiki/Benidorm
europe/germany/lowersaxony/east_frisian_islands/spiekeroog,Spiekeroog,Spiekeroog,3,14,see,St. Peter church Spiekeroog,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.77195,7.68643,Alte Inselkirche,europe/germany/lowersaxony/east_frisian_islands/spiekeroog/alte_inselkirche,0.513,0.487,0.55,has_external_url,http://seelsorge-am-meer.de,https://en.wikivoyage.org/wiki/Spiekeroog
asia/india/uttarpradesh/gorakhpur,Gorakhpur,Gorakhpur,15,29,see,St. John's Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.78535,83.38434,Station Road Dhabas,asia/india/uttarpradesh/gorakhpur/station_road_dhabas,0.4,3.165,13.223,has_external_url,https://stjohnschurchgkp.org/,https://en.wikivoyage.org/wiki/Gorakhpur
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Museum of Holocaust,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.00446,36.24536,Barabashovo Market,europe/ukraine/kharkiv/barabashovo_market,0.324,3.063,1.695,has_external_url,http://holocaustmuseum.pochta.org,https://en.wikivoyage.org/wiki/Kharkiv
europe/france/east/alsace/mulhouse,Mulhouse,Mulhouse,7,27,see,Écomusée d'Alsace,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.853675,7.287216,Musée des Beaux-Arts de Mulhouse,europe/france/east/alsace/mulhouse/musee_des_beaux_arts,0.488,12.592,12.508,has_external_url,http://www.ecomusee.alsace/en/,https://en.wikivoyage.org/wiki/Mulhouse
europe/ireland/glendalough,Glendalough,Glendalough,7,8,do,Clara Lara Funpark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.9744,-6.2737,Upper Lake,europe/ireland/glendalough/upper_lake,0.357,6.927,5.391,has_external_url,https://www.claralara.ie,https://en.wikivoyage.org/wiki/Glendalough
northamerica/unitedstates/texas/amarillo,Amarillo,Amarillo,8,26,see,Kwahadi Museum of the American Indian,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.19374,-101.73399,Panhandle-Plains Historical Museum,northamerica/unitedstates/texas/amarillo/panhandle_plains_museum,0.358,29.577,8.969,has_external_url,https://www.kwahadi.com/,https://en.wikivoyage.org/wiki/Amarillo
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,Gower Heritage Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.5835,-4.1035,Swansea Grand Theatre,europe/unitedkingdom/wales/swansea/grand_theatre,0.429,11.418,11.6,has_external_url,http://www.gowerheritagecentre.co.uk/,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/southcarolina/charleston,Charleston,Charleston (South Carolina),9,61,see,City Gallery at Joe Riley Waterfront Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.7781,-79.9258,Old Slave Mart Museum,northamerica/unitedstates/southcarolina/charleston/old_slave_mart,0.508,0.492,1.751,has_external_url,http://citygalleryatwaterfrontpark.com/,https://en.wikivoyage.org/wiki/Charleston_%28South_Carolina%29
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,see,Living Water Wayside Chapel,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.226809,-79.058928,Reif Estate Winery,northamerica/canada/ontario/niagara_on_the_lake/reif_estate_winery,0.4,1.048,3.382,has_external_url,https://www.toniagara.com/blog/smallest-chapel-world/,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake
