world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/queensland/gladstone,Gladstone,Gladstone (Queensland),3,13,see,Auckland Point,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-23.8348,151.254,Lady Musgrave Island,australiaandpacific/australia/queensland/gladstone/lady_musgrave_island,0.353,116.284,0.958,needs_external_source,,https://en.wikivoyage.org/wiki/Gladstone_%28Queensland%29
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,see,Children's Museum (Kindermuseum),0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.4428,11.0523,Kirche St. Sebaldus,europe/germany/bavaria/nuremberg/kirche_st_sebaldu,0.514,2.355,2.187,needs_external_source,,https://en.wikivoyage.org/wiki/Nuremberg
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Setia Tropika Town Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,1.545172,103.720435,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.311,9.641,10.861,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/belgium/bruges,Bruges,Bruges,16,55,see,Gentpoort,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.203009,3.234613,Belfort,europe/belgium/bruges/belfort,0.5,0.898,0.824,needs_external_source,,https://en.wikivoyage.org/wiki/Bruges
asia/india/madhyapradesh/ujjain,Ujjain,Ujjain,8,25,see,Gopal Mandir,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.18805,75.77135,Kal Bhairav Temple,asia/india/madhyapradesh/ujjain/kal_bhairav_temple,0.4,3.364,0.062,needs_external_source,,https://en.wikivoyage.org/wiki/Ujjain
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,United Nations Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,22.3608766,91.8331497,Firingi Bazar,asia/bangladesh/chittagong/firingi_bazar,0.375,2.878,3.016,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Church of St. John the Baptist,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.0079,36.2486,Mirror Stream Fountain,europe/ukraine/kharkiv/mirror_stream,0.34,1.434,2.141,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.7005,24.6456,Giola Natural Pool,europe/greece/thassos_island/giola_lagoon,0.444,20.44,1.846,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,see,Southchurch Hall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.53679,0.72956,The Kursaal,europe/unitedkingdom/england/eastern_england/southendonsea/the_kursaal,0.456,0.544,1.18,needs_external_source,,https://en.wikivoyage.org/wiki/Southend-on-Sea
asia/india/alibaug,Alibag,Alibag,0,6,see,Kolaba Fort,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.634281,72.864169,,,0.0,,1.159,needs_external_source,,https://en.wikivoyage.org/wiki/Alibag
asia/indonesia/sulawesi/makassar,Makassar,Makassar,7,45,see,Pulau Khayangan,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-5.114,119.400389,Paotere Harbour,asia/indonesia/sulawesi/makassar/paotere_harbour,0.333,1.152,2.668,needs_external_source,,https://en.wikivoyage.org/wiki/Makassar
southamerica/colombia/neiva,Neiva,Neiva,6,13,see,Iglesia Colonial,0.89,candidate,has coordinates; has description; high-value type; strong travel term,2.92697,-75.28856,San Agustín Archaeological Park,southamerica/colombia/neiva/parque_arqueologico_san_agustin,0.426,159.089,11.862,needs_external_source,,https://en.wikivoyage.org/wiki/Neiva
northamerica/canada/ontario/burlington,Burlington,Burlington (Ontario),16,45,do,Mount Nemo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.3129,-79.877,Mount Nemo Conservation Area,northamerica/canada/ontario/burlington/mount_nemo,0.526,12.416,6.632,needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Ontario%29
asia/iraq/mosul,Mosul,Mosul,11,34,see,Kuyunjik Mound,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.3582,43.1524,Al-Nabi Jirjis Mosque,asia/iraq/mosul/al_nabi_jirjis_mosque,0.4,2.511,4.986,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
australiaandpacific/guam/dededo,Dededo,Dededo,3,11,do,Pagat Cave Trail,0.89,candidate,has coordinates; has description; high-value type; strong travel term,13.499902,144.877118,Tarza Water Park,australiaandpacific/guam/dededo/tarza_water_park,0.375,5.448,4.751,needs_external_source,,https://en.wikivoyage.org/wiki/Dededo
europe/netherlands/deventer,Deventer,Deventer,13,32,see,Rijsterborgherpark,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.258049,6.155031,IJssel Riverfront and Welle,europe/netherlands/deventer/ijssel_riverfront,0.486,0.514,0.786,needs_external_source,,https://en.wikivoyage.org/wiki/Deventer
europe/slovakia/kosice,Košice,Košice,7,153,see,Holy Spirit Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.71501,21.26165,St. Michael Chapel,europe/slovakia/kosice/st_michael_chapel,0.406,0.594,0.742,needs_external_source,,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
