world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/papuanewguinea/portmoresby,Port Moresby,Port Moresby,10,39,see,National Parliament of Papua New Guinea,0.7,candidate,has coordinates; has description; high-value type,-9.428064,147.191906,National Parliament House,asia/papuanewguinea/portmoresby/parliament_house,0.719,1.771,6.225,needs_external_source,,https://en.wikivoyage.org/wiki/Port_Moresby
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,Monolith Bull,0.7,candidate,has coordinates; has description; high-value type,15.3337,76.4672,Hazara Rama Temple,asia/india/karnataka/hampi/hazara_rama_temple,0.554,0.446,0.703,needs_external_source,,https://en.wikivoyage.org/wiki/Hampi
asia/saudiarabia/medina,Medina,Medina,6,12,see,Masjid Al Ghamamah,0.7,candidate,has coordinates; has description; high-value type,24.484086,39.578908,Mosque of Al-Ghamama,asia/saudiarabia/medina/al_ghamama_mosque,0.684,3.495,3.563,needs_external_source,,https://en.wikivoyage.org/wiki/Medina
africa/ethiopia/axum,Axum,Axum,8,13,see,Ezana's tri-lingual tablet,0.7,candidate,has coordinates; has description; high-value type,14.1379,38.723,Tombs of Kings Kaleb and Gebre Meskel,africa/ethiopia/axum/tombs_of_kaleb,0.619,0.381,2.016,needs_external_source,,https://en.wikivoyage.org/wiki/Axum
southamerica/uruguay/salto,Salto,Salto,6,17,see,Costanera,0.7,candidate,has coordinates; has description; high-value type,-31.385566,-57.974629,Costanera Promenade,southamerica/uruguay/salto/costanera,0.643,1.184,1.355,needs_external_source,,https://en.wikivoyage.org/wiki/Salto
asia/india/maharashtra/mahabaleshwar,Mahabaleshwar,Mahabaleshwar,7,30,see,Kate's Point,0.7,candidate,has coordinates; has description; high-value type,17.94183,73.70813,Wilson Point (Sunrise Point),asia/india/maharashtra/mahabaleshwar/wilson_point,0.583,5.16,5.663,needs_external_source,,https://en.wikivoyage.org/wiki/Mahabaleshwar
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Dhammayazika Pagoda,0.7,candidate,has coordinates; has description; high-value type,21.145086,94.883423,Mingalazedi Pagoda,asia/myanmar/bagan/mingalazedi_pagoda,0.649,2.56,3.929,needs_external_source,,https://en.wikivoyage.org/wiki/Bagan
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Wat Kon Laeng,0.7,candidate,has coordinates; has description; high-value type,17.007152,99.706135,Wat Phra Phai Luang,asia/thailand/sukhothai/wat_phra_phai_luang,0.562,2.599,1.384,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai
northamerica/unitedstates/california/highsierra/laketahoe,Lake Tahoe,Lake Tahoe,6,21,do,Tahoe City,0.7,candidate,has coordinates; has description; high-value type,39.17025,-120.14108,Tahoe Rim Trail,northamerica/unitedstates/california/highsierra/laketahoe/tahoe_rim_trail,0.64,11.984,11.991,needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Tahoe
asia/india/karnataka/hubli,Hubli,Hubli,4,18,see,Nrupatunga Betta,0.7,candidate,has coordinates; has description; high-value type,15.376191,75.129383,Nrupatunga Hill,asia/india/karnataka/hubli/nrupatunga_hill,0.71,2.111,2.861,needs_external_source,,https://en.wikivoyage.org/wiki/Hubli
europe/italy/sardinia/olbia,Olbia,Olbia,18,31,see,Cabu Abbas,0.7,candidate,has coordinates; has description; high-value type,40.955579,9.520898,Pittulongu Beach,europe/italy/sardinia/olbia/pittulongu_beach,0.574,0.426,3.901,needs_external_source,,https://en.wikivoyage.org/wiki/Olbia
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,see,Shankhadhar Bridge,0.7,candidate,has coordinates; has description; high-value type,27.70392,85.30192,Kasthamandap,asia/nepal/kathmandu/kasthamandap,0.62,0.38,1.901,needs_external_source,,https://en.wikivoyage.org/wiki/Kathmandu
asia/myanmar/kalaw,Kalaw,Kalaw,5,5,see,Thein Taung Monastery,0.7,candidate,has coordinates; has description; high-value type,20.638637,96.566585,Kalaw Market,asia/myanmar/kalaw/kalaw_market,0.672,0.328,0.328,needs_external_source,,https://en.wikivoyage.org/wiki/Kalaw
europe/portugal/bragana,Bragança,Bragança,5,10,see,Mosteiro de Castro de Avelãs,0.7,candidate,has coordinates; has description; high-value type,41.799,-6.8045,Montesinho Natural Park,europe/portugal/bragana/montesinho_natural_park,0.578,13.46,3.983,needs_external_source,,https://en.wikivoyage.org/wiki/Bragan%C3%A7a
asia/china/zhejiang/shaoxing,Shaoxing,Shaoxing,11,48,see,Bazi Bridge,0.7,candidate,has coordinates; has description; high-value type,30.002867395759676,120.58744401126026,Ancient Canal Bridges,asia/china/zhejiang/shaoxing/ancient_canal_bridges,0.562,1.107,1.25,needs_external_source,,https://en.wikivoyage.org/wiki/Shaoxing
asia/thailand/chantaburi/chanta_buri,Chantaburi,Chanthaburi,14,20,see,Wat Phlup,0.7,candidate,has coordinates; has description; high-value type,12.5845,102.0553,Wat Phai Lom,asia/thailand/chantaburi/chanta_buri/wat_pak_nam_khaem_nu,0.667,6.554,6.005,needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi
asia/philippines/siquijor,Siquijor,Siquijor,10,24,see,Century Old Balete Tree,0.7,candidate,has coordinates; has description; high-value type,9.1208852,123.5734392,Balete Tree,asia/philippines/siquijor/balete_tree,0.647,14.412,6.613,needs_external_source,,https://en.wikivoyage.org/wiki/Siquijor
europe/russia/samara,Samara,Samara,7,48,see,Klodt Manor,0.7,candidate,has coordinates; has description; high-value type,53.1933684,50.0933218,Strukovsky Garden,europe/russia/samara/strukovsky_garden,0.551,0.449,0.599,needs_external_source,,https://en.wikivoyage.org/wiki/Samara
