world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/palo_alto,Palo Alto,Palo Alto,8,45,see,The Anderson Collection,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.43378,-122.1708,Cantor Arts Center,northamerica/unitedstates/california/palo_alto/cantor_arts_center,0.378,0.705,1.52,has_external_url,https://anderson.stanford.edu,https://en.wikivoyage.org/wiki/Palo_Alto
southamerica/peru/iquitos,Iquitos,Iquitos,8,28,see,Amazon Rescue Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.8836,-73.3511,Pacaya-Samiria National Reserve,southamerica/peru/iquitos/pacaya_samiria,0.431,231.867,19.05,has_external_url,https://www.centroderescateamazonico.com/,https://en.wikivoyage.org/wiki/Iquitos
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,see,Skä•noñh - Great Law of Peace Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.093493,-76.196837,Green Lakes State Park,northamerica/unitedstates/newyorkstate/syracuse/green_lakes,0.4,18.782,6.447,has_external_url,http://www.skanonhcenter.org,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
europe/germany/mecklenburgwesternpomerania/rostock,Rostock,Rostock,10,36,see,Gespensterwald,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.1755,12.015,St Peter's Church (St-Petri-Kirche),europe/germany/mecklenburgwesternpomerania/rostock/st_petri_church,0.387,12.82,12.632,has_external_url,https://www.ostsee.de/schon-gewusst/gespensterwald.php,https://en.wikivoyage.org/wiki/Rostock
europe/italy/molise/termoli,Termoli,Termoli,7,23,see,Termoli Museum of Contemporary Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.99526,14.98756,Termoli Cathedral,europe/italy/molise/termoli/termoli_cathedral,0.51,1.386,0.628,has_external_url,https://www.fondazionemacte.com/,https://en.wikivoyage.org/wiki/Termoli
europe/unitedkingdom/scotland/lochgilphead,Lochgilphead,Lochgilphead,3,10,see,Carnasserie Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.1515,-5.4809,Crinan Canal,europe/unitedkingdom/scotland/lochgilphead/crinan_canal,0.467,7.501,13.018,has_external_url,https://www.historicenvironment.scot/visit-a-place/places/carnasserie-castle/,https://en.wikivoyage.org/wiki/Lochgilphead
europe/unitedkingdom/scotland/fort_william,Fort William,Fort William,13,16,see,Treasures of the Earth,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.8442,-5.1257,Nevis Range Mountain Resort,europe/unitedkingdom/scotland/fort_william/nevis_range,0.4,10.58,2.986,has_external_url,https://treasuresoftheearth.co.uk/,https://en.wikivoyage.org/wiki/Fort_William
asia/malaysia/ipoh,Ipoh,Ipoh,20,78,see,Tanjung Tualang Tin Dredge Ship,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,4.3965,101.0535,Gunung Lang Recreational Park,asia/malaysia/ipoh/gunung_lang_recreational_park,0.5,26.608,22.843,has_external_url,http://www.ipoh-city.com/attraction/Tanjung_Tualang_Tin_Dredge_Ship/,https://en.wikivoyage.org/wiki/Ipoh
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough,Scarborough,Scarborough,7,25,do,Sea Life,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.3012,-0.4098,Scarborough Castle,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough/scarborough_castle,0.385,2.339,2.207,has_external_url,https://www.visitsealife.com/scarborough/,https://en.wikivoyage.org/wiki/Scarborough
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,do,SUMICA,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.857,-81.375433,Spook Hill,northamerica/unitedstates/florida/lake_wales/spook_hill,0.25,21.203,21.269,has_external_url,http://www.polknature.com/explore/sumica/?section=Default&path=sumica,https://en.wikivoyage.org/wiki/Lake_Wales
