world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,Euphoria Sailing Ltd,0.59,candidate,has description; high-value type; has external URL,,,Sail Bridge,europe/unitedkingdom/wales/swansea/sail_bridge,0.387,,,missing_coordinates; has_external_url,http://www.euphoriasailing.com/,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/southdakota/siouxfalls,Sioux Falls,Sioux Falls,9,54,see,Strawbale Winery,0.59,candidate,has description; high-value type; has external URL,,,SculptureWalk,northamerica/unitedstates/southdakota/siouxfalls/sculpture_walk,0.414,,,missing_coordinates; has_external_url,http://www.strawbalewinery.com/,https://en.wikivoyage.org/wiki/Sioux_Falls
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,ExtraBall,0.59,candidate,has description; high-value type; has external URL,,,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.286,,,missing_coordinates; has_external_url,http://www.extra-ball.ch/,https://en.wikivoyage.org/wiki/Solothurn
europe/netherlands/rotterdam,Rotterdam,Rotterdam,42,24,do,Poetry International,0.59,candidate,has description; high-value type; has external URL,,,Rotterdam Centraal Station,europe/netherlands/rotterdam/centraal_station,0.435,,,missing_coordinates; has_external_url,http://www.poetry.nl/,https://en.wikivoyage.org/wiki/Rotterdam
northamerica/unitedstates/oklahoma/shawnee,Shawnee,Shawnee,3,39,do,Shawnee Little Theater,0.59,candidate,has description; high-value type; has external URL,,,Citizen Potawatomi Nation Cultural Heritage Center,northamerica/unitedstates/oklahoma/shawnee/citizen_potawatomi_nation_heritage,0.306,,,missing_coordinates; has_external_url,http://www.shawneelittletheater.com,https://en.wikivoyage.org/wiki/Shawnee
northamerica/unitedstates/maine/bangor,Bangor,Bangor (Maine),12,26,see,West Bus,0.59,candidate,has description; high-value type; has external URL,,,Stephen King's House,northamerica/unitedstates/maine/bangor/stephen_kings_house,0.357,,,missing_coordinates; has_external_url,https://westbusservice.com/,https://en.wikivoyage.org/wiki/Bangor_%28Maine%29
southamerica/guyana/georgetown,Georgetown,Georgetown (Guyana),49,57,see,Gum Air,0.59,candidate,has description; high-value type; has external URL,,,Duke Lodge Bar,southamerica/guyana/georgetown/duke_lodge_bar,0.381,,,missing_coordinates; has_external_url,https://gumair.com/services/international/guyana,https://en.wikivoyage.org/wiki/Georgetown_%28Guyana%29
europe/italy/sicily/catania,Catania,Catania,54,63,see,AMTS,0.59,candidate,has description; high-value type; has external URL,,,Via Etnea,europe/italy/sicily/catania/via_etnea,0.308,,,missing_coordinates; has_external_url,http://www.amts.ct.it,https://en.wikivoyage.org/wiki/Catania
europe/france/normandybrittany/lesandelys,Les Andelys,Les Andelys,4,9,see,Sainte Clotilde Miraculous Spring,0.59,candidate,has description; high-value type; has external URL,,,Seine Riverbank and Cliffs,europe/france/normandybrittany/lesandelys/seine_riverside,0.305,,,missing_coordinates; has_external_url,http://lesandelys.com/sightseeing/,https://en.wikivoyage.org/wiki/Les_Andelys
northamerica/canada/britishcolumbia/vancouver,Vancouver,Vancouver,21,83,see,VIA Rail Canada,0.59,candidate,has description; high-value type; has external URL,,,Granville Island,northamerica/canada/britishcolumbia/vancouver/granville_island,0.516,,,missing_coordinates; has_external_url,https://www.viarail.ca/,https://en.wikivoyage.org/wiki/Vancouver
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Romania,0.59,candidate,has description; high-value type; has external URL,,,Maison des Canuts,europe/france/alpes/lyon/maison_des_canuts,0.4,,,missing_coordinates; has_external_url,http://lyon.mae.ro/en,https://en.wikivoyage.org/wiki/Lyon
southamerica/brazil/iguacufalls,Iguaçu Falls,Iguaçu Falls,1,14,see,Parque Nacional do Iguaçu,0.59,candidate,has description; high-value type; has external URL,,,Itaipu Dam,southamerica/brazil/iguacufalls/itaipu_dam,0.286,,,missing_coordinates; has_external_url,http://www.icmbio.gov.br/parnaiguacu/,https://en.wikivoyage.org/wiki/Igua%C3%A7u_Falls
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Goombay! Festival,0.59,candidate,has description; high-value type; has external URL,,,Thomas Wolfe Memorial,northamerica/unitedstates/northcarolina/asheville/thomas_wolfe_memorial,0.486,,,missing_coordinates; has_external_url,http://www.ashevillegoombayfestival.com/,https://en.wikivoyage.org/wiki/Asheville
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,see,Folio Weekly,0.59,candidate,has description; high-value type; has external URL,,,Florida Theatre,northamerica/unitedstates/florida/northeastflorida/jacksonville/florida_theatre,0.444,,,missing_coordinates; has_external_url,http://www.folioweekly.com/,https://en.wikivoyage.org/wiki/Jacksonville
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Servicedepån - Cykelstallet,0.59,candidate,has description; high-value type; has external URL,,,Gripsholm Castle,europe/sweden/stockholm/gripsholmcastle,0.439,,,missing_coordinates; has_external_url,http://cykelstallet.se/,https://en.wikivoyage.org/wiki/Stockholm
northamerica/unitedstates/ohio/cuyahoga_falls,Cuyahoga Falls,Cuyahoga Falls,5,32,see,Islamic Society of Akron & Kent,0.59,candidate,has description; high-value type; has external URL,,,Cuyahoga Valley National Park,northamerica/unitedstates/ohio/cuyahoga_falls/cuyahoga_valley_national_park_access,0.355,,,missing_coordinates; has_external_url,http://www.isak.org/,https://en.wikivoyage.org/wiki/Cuyahoga_Falls
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Kulturnatten,0.59,candidate,has description; high-value type; has external URL,,,Katalin,europe/sweden/uppsala/katalin,0.421,,,missing_coordinates; has_external_url,http://www.kulturnattenuppsala.se/en/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,see,Atlanta Journal-Constitution,0.59,candidate,has description; high-value type; has external URL,,,Atlanta BeltLine,northamerica/unitedstates/georgia/atlanta/beltline,0.545,,,missing_coordinates; has_external_url,https://www.ajc.com/,https://en.wikivoyage.org/wiki/Atlanta
europe/hungary/budapest,Budapest,Budapest,57,94,see,Denmark,0.59,candidate,has description; high-value type; has external URL,,,Memento Park,europe/hungary/budapest/memento_park,0.526,,,missing_coordinates; has_external_url,http://ungarn.um.dk/,https://en.wikivoyage.org/wiki/Budapest
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,Heroes Convention,0.59,candidate,has description; high-value type; has external URL,,,Historic Latta Plantation,northamerica/unitedstates/northcarolina/charlotte/historic_latta_plantation,0.381,,,missing_coordinates; has_external_url,http://www.heroesonline.com/heroescon/,https://en.wikivoyage.org/wiki/Charlotte
northamerica/unitedstates/montana/kalispell,Kalispell,Kalispell,5,23,see,Northern Transit Interlocal,0.59,candidate,has description; high-value type; has external URL,,,Northwest Montana History Museum,northamerica/unitedstates/montana/kalispell/northwest_montana_history_museum,0.407,,,missing_coordinates; has_external_url,https://northern.rural-transit.com/,https://en.wikivoyage.org/wiki/Kalispell
australiaandpacific/australia/queensland/cairns,Cairns,Cairns,10,45,see,Air Niugini,0.59,candidate,has description; high-value type; has external URL,,,Cairns Aquarium,australiaandpacific/australia/queensland/cairns/cairns_aquarium,0.462,,,missing_coordinates; has_external_url,http://www.airniugini.com.pg/,https://en.wikivoyage.org/wiki/Cairns
northamerica/unitedstates/washingtondc,Washington D.C.,"Washington, D.C.",48,211,do,Otakon,0.59,candidate,has description; high-value type; has external URL,,,Georgetown,northamerica/unitedstates/washingtondc/georgetown,0.5,,,missing_coordinates; has_external_url,https://www.otakon.com/,https://en.wikivoyage.org/wiki/Washington%2C_D.C.
europe/germany/badenwrttemberg/badenbaden,Baden-Baden,Baden-Baden,15,27,do,Merkur Bergbahn,0.59,candidate,has description; high-value type; has external URL,,,Museum Frieder Burda,europe/germany/badenwrttemberg/badenbaden/frieder_burda,0.4,,,missing_coordinates; has_external_url,https://www.stadtwerke-baden-baden.de/de/mobilitaet-freizeit/merkurbahn/,https://en.wikivoyage.org/wiki/Baden-Baden
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,see,Modern Languages ​​and Media Approach centre (CAVILAM),0.59,candidate,has description; high-value type; has external URL,,,Musée Municipal de Vichy,europe/france/centre/auvergne/vichy/musee_de_vichy,0.349,,,missing_coordinates; has_external_url,https://www.cavilam.com,https://en.wikivoyage.org/wiki/Vichy
northamerica/mexico/cozumel,Cozumel,Cozumel,15,49,do,Cozumel Divers,0.59,candidate,has description; high-value type; has external URL,,,Columbia Reef,northamerica/mexico/cozumel/columbia_reef,0.444,,,missing_coordinates; has_external_url,https://cozumeldivers.org,https://en.wikivoyage.org/wiki/Cozumel
northamerica/unitedstates/southcarolina/greenville,Greenville,Greenville (South Carolina),10,71,do,Craft Axe Throwing,0.59,candidate,has description; high-value type; has external URL,,,Falls Park on the Reedy,northamerica/unitedstates/southcarolina/greenville/falls_park_on_the_reedy,0.324,,,missing_coordinates; has_external_url,https://craftaxethrowing.com/us/sc/greenville,https://en.wikivoyage.org/wiki/Greenville_%28South_Carolina%29
australiaandpacific/australia/queensland/brisbane,Brisbane,Brisbane,21,164,see,Sciencentre,0.59,candidate,has description; high-value type; has external URL,,,West End Markets,australiaandpacific/australia/queensland/brisbane/west_end_markets,0.37,,,missing_coordinates; has_external_url,http://www.sciencentre.qm.qld.gov.au/,https://en.wikivoyage.org/wiki/Brisbane
europe/italy/abruzzo/chieti,Chieti,Chieti,7,22,do,Good Friday Procession,0.59,candidate,has description; high-value type; has external URL,,,Giardino dei Semplici,europe/italy/abruzzo/chieti/giardino_dei_semplici,0.279,,,missing_coordinates; has_external_url,http://www.sacromontemortichieti.it/history.htm,https://en.wikivoyage.org/wiki/Chieti
northamerica/unitedstates/washingtondc,Washington D.C.,"Washington, D.C.",48,211,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Eastern Market,northamerica/unitedstates/washingtondc/eastern_market,0.5,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Washington%2C_D.C.
asia/cyprus/limassol,Limassol,Limassol,13,35,see,Ygia Polyclinic,0.59,candidate,has description; high-value type; has external URL,,,Kolossi Castle,asia/cyprus/limassol/kolossi_castle,0.276,,,missing_coordinates; has_external_url,https://www.ygiapolyclinic.com/en,https://en.wikivoyage.org/wiki/Limassol
