world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/gujarat/vadodara,Vadodara,Vadodara,15,63,see,Kirti Stambh,0.62,candidate,has coordinates; high-value type,22.29575,73.19766,Khanderao Market,asia/india/gujarat/vadodara/khanderao_market,0.594,0.406,0.391,needs_external_source,,https://en.wikivoyage.org/wiki/Vadodara
northamerica/unitedstates/colorado/mesaverde,Mesa Verde National Park,Mesa Verde National Park,12,29,see,Long House Overlook,0.62,candidate,has coordinates; high-value type,37.1851,-108.5348,Long House,northamerica/unitedstates/colorado/mesaverde/long_house,0.69,1.013,8.23,needs_external_source,,https://en.wikivoyage.org/wiki/Mesa_Verde_National_Park
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Kaunas reservoir,0.62,candidate,has coordinates; high-value type,54.892,24.057,Kaunas Castle,europe/lithuania/kaunas/kaunas_castle,0.621,10.924,9.836,needs_external_source,,https://en.wikivoyage.org/wiki/Kaunas
europe/italy/emiliaromagna/modena,Modena,Modena,12,47,see,Cimitero San Cataldo,0.62,candidate,has coordinates; high-value type,44.65958,10.908158,San Cataldo Cemetery,europe/italy/emiliaromagna/modena/san_cataldo_cemetery,0.55,2.866,1.935,needs_external_source,,https://en.wikivoyage.org/wiki/Modena
europe/france/midi/basqueregion/bayonne,Bayonne,Bayonne (France),9,26,see,Porte de Mousserolles,0.62,candidate,has coordinates; high-value type,43.4905,-1.4686,Musée Bonnat-Helleu,europe/france/midi/basqueregion/bayonne/musee_bonnat_helleu,0.653,0.347,0.605,needs_external_source,,https://en.wikivoyage.org/wiki/Bayonne_%28France%29
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Viale Te,0.62,candidate,has coordinates; high-value type,45.145732,10.792065,Palazzo Te,europe/italy/lombardia/mantua/palazzo_te,0.556,0.708,9.859,needs_external_source,,https://en.wikivoyage.org/wiki/Mantua
northamerica/unitedstates/alabama/tuscaloosa,Tuscaloosa,Tuscaloosa,7,19,see,President's Mansion,0.62,candidate,has coordinates; high-value type,33.208611,-87.546389,Bryant-Denny Stadium,northamerica/unitedstates/alabama/tuscaloosa/bryant_denny_stadium,0.652,0.348,1.969,needs_external_source,,https://en.wikivoyage.org/wiki/Tuscaloosa
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Deutzer Drehbrücke,0.62,candidate,has coordinates; high-value type,50.92768,6.97299,Hohenzollernbrücke (Love Locks Bridge),europe/germany/northrhinewestphalia/cologne/hohenzollern_bridge,0.556,1.513,1.498,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
europe/croatia/rijeka,Rijeka,Rijeka,6,40,see,Petar Kružić staircase,0.62,candidate,has coordinates; high-value type,45.3278616,14.4489999,Rijeka Tunnel,europe/croatia/rijeka/rijeka_tunnel,0.609,0.391,0.545,needs_external_source,,https://en.wikivoyage.org/wiki/Rijeka
europe/italy/piemonte/turin,Turin,Turin,55,105,see,Piazza Giambattista Bodoni,0.62,candidate,has coordinates; high-value type,45.0632,7.684,Museum of Criminal Anthropology,europe/italy/piemonte/turin/lombroso_museum,0.602,0.398,0.525,needs_external_source,,https://en.wikivoyage.org/wiki/Turin
europe/germany/bavaria/rothenburg,Rothenburg ob der Tauber,Rothenburg ob der Tauber,7,21,see,Town Hall Tower,0.62,candidate,has coordinates; high-value type,49.37724,10.17861,The Old Town Walls,europe/germany/bavaria/rothenburg/old_town_walls,0.552,,0.175,needs_external_source,,https://en.wikivoyage.org/wiki/Rothenburg_ob_der_Tauber
asia/mongolia/darkhan,Darkhan,Darkhan,3,33,see,I Love Darkhan Sculpture,0.62,candidate,has coordinates; high-value type,49.465765,105.958816,Museum of Darkhan-Uul Province,asia/mongolia/darkhan/museum_of_darkhan_uul_province,0.556,0.854,3.369,needs_external_source,,https://en.wikivoyage.org/wiki/Darkhan
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,see,Malecon del Salado,0.62,candidate,has coordinates; high-value type,-2.18691,-79.89819,Presley Norton Museum,southamerica/ecuador/guayaquil/presley_norton_museum,0.681,0.319,1.306,needs_external_source,,https://en.wikivoyage.org/wiki/Guayaquil
europe/france/normandybrittany/carnac,Carnac,Carnac,5,10,see,Kerloquet alignment,0.62,candidate,has coordinates; high-value type,47.5977,-3.0563,Carnac Alignments,europe/france/normandybrittany/carnac/carnac_alignments,0.611,0.573,2.334,needs_external_source,,https://en.wikivoyage.org/wiki/Carnac
northamerica/mexico/yucatan/valladolid_1,Valladolid,Valladolid (Mexico),11,30,do,Cenote Palomitas,0.62,candidate,has coordinates; high-value type,20.8193289,-88.0556603,Cenote Zací,northamerica/mexico/yucatan/valladolid_1/cenote_zaci,0.615,20.46,20.895,needs_external_source,,https://en.wikivoyage.org/wiki/Valladolid_%28Mexico%29
europe/isleofman/peel,Peel,Peel (Isle of Man),4,17,see,Peel Lighthouse,0.62,candidate,has coordinates; high-value type,54.2279,-4.6948,Peel Castle,europe/isleofman/peel/peel_castle,0.669,0.331,0.567,needs_external_source,,https://en.wikivoyage.org/wiki/Peel_%28Isle_of_Man%29
africa/morocco/tetouan,Tétouan,Tétouan,13,30,see,Bab Jiaf,0.62,candidate,has coordinates; high-value type,35.573799,-5.365233,Bab el-Okla,africa/morocco/tetouan/bab_el_okla,0.625,0.395,0.912,needs_external_source,,https://en.wikivoyage.org/wiki/T%C3%A9touan
europe/spain/canaryislands/lapalma,La Palma,La Palma,6,14,see,Roque de Los Muchachos,0.62,candidate,has coordinates; high-value type,28.754167,-17.884722,Roque de los Muchachos Observatory,europe/spain/canaryislands/lapalma/roque_de_los_muchachos,0.714,0.65,11.335,needs_external_source,,https://en.wikivoyage.org/wiki/La_Palma
asia/indonesia/java/tangerang,Tangerang,Tangerang,5,19,see,RS Umum Daerah Kabupaten Tangerang,0.62,candidate,has coordinates; high-value type,-6.169603,106.635611,Al-Azhom Grand Mosque,asia/indonesia/java/tangerang/al_azhom_grand_mosque,0.636,0.364,0.787,needs_external_source,,https://en.wikivoyage.org/wiki/Tangerang
europe/italy/lombardia/cremona,Cremona,Cremona,8,11,see,Chiesa di Sant' Agostino,0.62,candidate,has coordinates; high-value type,45.135,10.0191,Teatro Amilcare Ponchielli,europe/italy/lombardia/cremona/teatro_ponchielli,0.688,0.312,0.416,needs_external_source,,https://en.wikivoyage.org/wiki/Cremona
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Rosensteinpark,0.62,candidate,has coordinates; high-value type,48.80357517640873,9.196606037386315,Rosenau,europe/germany/badenwrttemberg/stuttgart/rosenau,0.571,3.98,3.047,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
southamerica/chile/easterisland,Easter Island,Easter Island,20,55,see,Ahu Tepeu,0.62,candidate,has coordinates; high-value type,-27.10092,-109.41202,Ahu Vinapu,southamerica/chile/easterisland/ahu_vinapu,0.632,8.41,6.306,needs_external_source,,https://en.wikivoyage.org/wiki/Easter_Island
