world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/iowa/bettendorf,Bettendorf,Bettendorf,2,11,see,Family Museum of Arts and Science,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Family Museum,northamerica/unitedstates/iowa/bettendorf/family_museum,0.565,,,missing_coordinates; has_external_url,http://www.familymuseum.org/,https://en.wikivoyage.org/wiki/Bettendorf,candidate score 0.48 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,see,Parque Dois Irmãos,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Parque das Esculturas,southamerica/brazil/recife/parque_das_esculturas,0.564,,,missing_coordinates; has_external_url,http://www.parquedoisirmaos.pe.gov.br/,https://en.wikivoyage.org/wiki/Recife,candidate score 0.48 is below the 6.0 POI threshold
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Reformed Church,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Great Church (Kecskemét Cathedral),europe/hungary/kecskemet/great_church,0.667,,,missing_coordinates; has_external_url,http://www.muemlekem.hu/muemlek?id=2250,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t,candidate score 0.48 is below the 6.0 POI threshold
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Museum of Applied Art,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Contemporary Art,europe/serbia/belgrade/museum_of_contemporary_art,0.638,,,missing_coordinates; has_external_url,https://mpu.rs/,https://en.wikivoyage.org/wiki/Belgrade,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/idaho_springs,Idaho Springs,Idaho Springs,3,39,see,Idaho Springs Heritage Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Indian Springs Resort,northamerica/unitedstates/colorado/idaho_springs/indian_springs_resort,0.6,,,missing_coordinates; has_external_url,https://historicidahosprings.com/history/heritage-museum/,https://en.wikivoyage.org/wiki/Idaho_Springs,candidate score 0.48 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Bochum's Christmas,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,VfL Bochum Ruhrstadion,europe/germany/northrhinewestphalia/bochum/vfl_bochum_ruhrstadion,0.6,,,missing_coordinates; has_external_url,http://www.bochumer-weihnacht.de,https://en.wikivoyage.org/wiki/Bochum,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/newzealand/north_island/hawkes_bay/wairoa,Wairoa,Wairoa,5,13,do,Tramp Waikaremoana,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Waikaremoana and Te Urewera,australiaandpacific/newzealand/north_island/hawkes_bay/wairoa/lake_waikaremoana,0.56,,,missing_coordinates; has_external_url,https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/te-urewera/things-to-do/tracks/lake-waikaremoana-great-walk/,https://en.wikivoyage.org/wiki/Wairoa,candidate score 0.48 is below the 6.0 POI threshold
europe/belarus/brest,Brest,Brest (Belarus),5,14,see,Brest Homeland Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Brest Railway Museum,europe/belarus/brest/brest_railway_museum,0.683,,,missing_coordinates; has_external_url,https://brokm.by,https://en.wikivoyage.org/wiki/Brest_%28Belarus%29,candidate score 0.48 is below the 6.0 POI threshold
asia/china/zhejiang/zhoushan,Zhoushan,Zhoushan,4,13,see,Taohua Island,0.48,candidate,has coordinates; high-value type; has external URL; strong travel term,29.5,112.15,Zhujiajian Island,asia/china/zhejiang/zhoushan/zhujiajian_island,0.667,977.842,975.031,has_external_url; far_from_parent,http://www.shediaocheng.com,https://en.wikivoyage.org/wiki/Zhoushan,candidate score 0.48 is below the 6.0 POI threshold
northamerica/canada/ontario/sarnia,Sarnia,Sarnia,7,24,see,Canatara Choo Choo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Canatara Park,northamerica/canada/ontario/sarnia/canatara_park,0.581,,,missing_coordinates; has_external_url,https://www.seawaykiwanis.ca/kiwanis-train-train-station,https://en.wikivoyage.org/wiki/Sarnia,candidate score 0.48 is below the 6.0 POI threshold
