world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/punjab/chandigarh,Chandigarh,Chandigarh,21,37,see,War Memorial,0.59,candidate,has description; high-value type; strong travel term,,,Garden of Silence,asia/india/punjab/chandigarh/garden_of_silence,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chandigarh,candidate score 0.59 is below the 6.0 POI threshold
africa/nigeria/portharcourt,Port Harcourt,Port Harcourt,23,55,do,Carniriv Festival',0.59,candidate,has description; high-value type; strong travel term,,,Port Harcourt Book Festival,africa/nigeria/portharcourt/port_harcourt_book_festival,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Harcourt,candidate score 0.59 is below the 6.0 POI threshold
asia/china/guangdong/zhaoqing,Zhaoqing,Zhaoqing,4,13,see,Ling Hill Fort,0.59,candidate,has description; high-value type; strong travel term,,,Dinghu Mountain,asia/china/guangdong/zhaoqing/dinghu_mountain,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhaoqing,candidate score 0.59 is below the 6.0 POI threshold
asia/lebanon/tripoli,Tripoli,Tripoli (Lebanon),9,15,see,Mosque of Sayedi Abel El Wahid,0.59,candidate,has description; high-value type; strong travel term,,,Hammam Abd al-Wahid,asia/lebanon/tripoli/hammam_abd_al_wahid,0.478,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tripoli_%28Lebanon%29,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/calabria/catanzaro,Catanzaro,Catanzaro,4,9,see,Chiesa del Rosario,0.59,candidate,has description; high-value type; strong travel term,,,Museo Provinciale,europe/italy/calabria/catanzaro/museo_provinciale,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Catanzaro,candidate score 0.59 is below the 6.0 POI threshold
southamerica/argentina/laplata,La Plata,La Plata,5,17,see,The Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Catedral de la Inmaculada Concepción,southamerica/argentina/laplata/catedral_de_la_plata,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/La_Plata,candidate score 0.59 is below the 6.0 POI threshold
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Former Residence of Hu Xueyan,0.59,candidate,has description; high-value type; strong travel term,,,Bao Chu Pagoda,asia/china/zhejiang/hangzhou/bao_chu_pagoda,0.326,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou,candidate score 0.59 is below the 6.0 POI threshold
asia/china/hebei/handan,Handan,Handan,7,28,do,Handan Lantern Festival,0.59,candidate,has description; high-value type; strong travel term,,,Handan Museum,asia/china/hebei/handan/handan_museum,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Handan,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,see,Louis and Clark Trail Head Plaza,0.59,candidate,has description; high-value type; strong travel term,,,Central Dairy,northamerica/unitedstates/missouri/jeffersoncity/central_dairy,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jefferson_City,candidate score 0.59 is below the 6.0 POI threshold
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Perkūnas House,0.59,candidate,has description; high-value type; strong travel term,,,Kaunas Castle,europe/lithuania/kaunas/kaunas_castle,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaunas,candidate score 0.59 is below the 6.0 POI threshold
europe/france/cannes,Cannes,Cannes,20,19,do,Notre-Dame d'Esperance,0.59,candidate,has description; high-value type; strong travel term,,,Rue d'Antibes,europe/france/cannes/rue_dantibes,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cannes,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,do,Qi Culture Festival,0.59,candidate,has description; high-value type; strong travel term,,,Zibo Barbecue,asia/china/shandong_province/zibo/zibo_barbecue,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zibo,candidate score 0.59 is below the 6.0 POI threshold
northamerica/belize/sanignacio,San Ignacio,San Ignacio (Belize),12,44,see,El Pilar,0.59,candidate,has description; high-value type; strong travel term,,,Caracol,northamerica/belize/sanignacio/caracol,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Ignacio_%28Belize%29,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shaanxi/yan_an,Yan'an,Yan'an,4,20,see,Yan'an Nursery,0.59,candidate,has description; high-value type; strong travel term,,,Zaoyuan (Date Garden) Revolutionary Site,asia/china/shaanxi/yan_an/zaoyuan_revolutionary_site,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yan%27an,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,see,Gray Line of Seattle,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park,candidate score 0.59 is below the 6.0 POI threshold
africa/egypt/portsaid,Port Said,Port Said,12,24,see,Corniche,0.59,candidate,has description; high-value type; strong travel term,,,Port Said Lighthouse,africa/egypt/portsaid/port_said_lighthouse,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Said,candidate score 0.59 is below the 6.0 POI threshold
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Shared pickups,0.59,candidate,has description; high-value type; strong travel term,,,Shwesandaw Pagoda,asia/myanmar/bagan/shwesandaw_pagoda,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bagan,candidate score 0.59 is below the 6.0 POI threshold
europe/norway/moss,Moss,Moss,5,13,see,Alby gård,0.59,candidate,has description; high-value type; strong travel term,,,Gallery F15,europe/norway/moss/gallery_f15,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moss,candidate score 0.59 is below the 6.0 POI threshold
asia/nepal/gorkha_gurkha,Gorkha,Gorkha,7,6,see,Liglig Kot,0.59,candidate,has description; high-value type; strong travel term,,,Upallokot,asia/nepal/gorkha_gurkha/upallokot,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gorkha,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/andalucia/nerja,Nerja,Nerja,13,35,see,Nuestra Señora de las Angustias Hermitage,0.59,candidate,has description; high-value type; strong travel term,,,Caves of Nerja,europe/spain/andalucia/nerja/caves_of_nerja,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nerja,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/puglia/tremitiislands,Tremiti Islands,Tremiti Islands,4,14,see,Capraia,0.59,candidate,has description; high-value type; strong travel term,,,Cala delle Arene,europe/italy/puglia/tremitiislands/cala_delle_arene,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tremiti_Islands,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/tuscany/cortona,Cortona,Cortona,18,30,see,San Michele Arcangelo,0.59,candidate,has description; high-value type; strong travel term,,,San Francesco,europe/italy/tuscany/cortona/san_francesco,0.529,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cortona,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/ceuta,Ceuta,Ceuta,11,29,see,Fort of El Sarchal,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Ceuta (Santa María de la Asunción),europe/spain/ceuta/cathedral_ceuta,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta,candidate score 0.59 is below the 6.0 POI threshold
asia/palestinianauthority/ramallah,Ramallah,Ramallah,5,44,see,Al Tireh,0.59,candidate,has description; high-value type; strong travel term,,,Al-Manara Square,asia/palestinianauthority/ramallah/al_manara_square,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ramallah,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,4th Blok gallery,0.59,candidate,has description; high-value type; strong travel term,,,Kharkiv Land Bank Building,europe/ukraine/kharkiv/kharkiv_land_bank_building,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv,candidate score 0.59 is below the 6.0 POI threshold
asia/india/kerala/kochi,Kochi,Kochi,11,29,see,Vypeen to Ernakulam via Willingdon Island,0.59,candidate,has description; high-value type; strong travel term,,,Kathakali Performances,asia/india/kerala/kochi/kathakali,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kochi,candidate score 0.59 is below the 6.0 POI threshold
africa/seychelles/praslin,Praslin,Praslin,8,10,do,Praslin Museum,0.59,candidate,has description; high-value type; strong travel term,,,Grand Anse Praslin,africa/seychelles/praslin/grand_anse_praslin,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Praslin,candidate score 0.59 is below the 6.0 POI threshold
asia/turkey/bodrum,Bodrum,Bodrum,9,29,do,Dolphin Park Bodrum,0.59,candidate,has description; high-value type; strong travel term,,,Bodrum Bazaar,asia/turkey/bodrum/bodrum_bazaar,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bodrum,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Vietnam,0.59,candidate,has description; high-value type; strong travel term,,,Vladimir,europe/russia/moscow/vladimir,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.59 is below the 6.0 POI threshold
europe/armenia/tavush_marz/dilijan,Dilijan,Dilijan,8,42,do,Dilijan – Natural mineral spring Ttu Jur – Parz Lich Lake,0.59,candidate,has description; high-value type; strong travel term,,,Dilijan National Park,europe/armenia/tavush_marz/dilijan/dilijan_national_park,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dilijan,candidate score 0.59 is below the 6.0 POI threshold
