world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/slovenia/koper,Koper,Koper,6,95,see,Armoury and Foresteria Palace,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Praetorian Palace,europe/slovenia/koper/praetorian_palace,0.609,,,missing_coordinates; has_external_url,https://visitkoper.si/en/sight/armoury-and-foresteria-palace-tito-square/,https://en.wikivoyage.org/wiki/Koper,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/newzealand/north_island/waikato/hamilton,Hamilton,Hamilton (New Zealand),13,18,do,Hamilton Garden Arts Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hamilton Gardens,australiaandpacific/newzealand/north_island/waikato/hamilton/hamilton_gardens,0.711,,,missing_coordinates; has_external_url,http://www.hamiltongardensartsfestival.co.nz,https://en.wikivoyage.org/wiki/Hamilton_%28New_Zealand%29,candidate score 0.48 is below the 6.0 POI threshold
asia/china/guangxi/guilin,Guilin,Guilin,9,57,do,Butterfly Cave,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Reed Flute Cave,asia/china/guangxi/guilin/reed_flute_cave,0.552,,,missing_coordinates; has_external_url,http://www.glhdq.com,https://en.wikivoyage.org/wiki/Guilin,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Phoenix Festival of the Arts,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Phoenix Art Museum,northamerica/unitedstates/arizona/phoenix/phoenix_art_museum,0.571,,,missing_coordinates; has_external_url,https://phoenixfestivalofthearts.org/,https://en.wikivoyage.org/wiki/Phoenix,candidate score 0.48 is below the 6.0 POI threshold
europe/spain/extremadura/badajoz,Badajoz,Badajoz,16,11,see,Catedral de San Juan Bautista,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Cathedral of Saint John,europe/spain/extremadura/badajoz/cathedral_of_saint_john,0.612,,,missing_coordinates; has_external_url,http://turismo.badajoz.es/es/recursoturistico/san_juan_bautista,https://en.wikivoyage.org/wiki/Badajoz,candidate score 0.48 is below the 6.0 POI threshold
europe/croatia/rijeka,Rijeka,Rijeka,6,40,do,Rijeka’s beaches,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Rijeka Tunnel,europe/croatia/rijeka/rijeka_tunnel,0.552,,,missing_coordinates; has_external_url,https://visitrijeka.hr/en/beaches/,https://en.wikivoyage.org/wiki/Rijeka,candidate score 0.48 is below the 6.0 POI threshold
europe/norway/geilo,Geilo,Geilo,7,10,see,Geilolia National Park View,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hardangervidda National Park,europe/norway/geilo/hardangervidda,0.655,,,missing_coordinates; has_external_url,http://www.geilolia.no,https://en.wikivoyage.org/wiki/Geilo,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,see,Museum of Missouri Military History,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Veterinary Museum of Missouri,northamerica/unitedstates/missouri/jeffersoncity/veterinary_museum,0.562,,,missing_coordinates; has_external_url,https://www.visitjeffersoncity.com/museum-of-missouri-military-history,https://en.wikivoyage.org/wiki/Jefferson_City,candidate score 0.48 is below the 6.0 POI threshold
northamerica/mexico/sanjosedelcabo,San Jose del Cabo,San José del Cabo,6,14,see,San Jose del Cabo Art Walk,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Misión San José del Cabo,northamerica/mexico/sanjosedelcabo/mision_san_jose,0.585,,,missing_coordinates; has_external_url,https://www.artcabo.com/san-jose-del-cabo-art-walk.html,https://en.wikivoyage.org/wiki/San_Jos%C3%A9_del_Cabo,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/kailua,Kailua-Kona,Kailua-Kona,17,40,see,Mokuaikaua,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Moku'aikaua Church,northamerica/unitedstates/hawaii/kailua/mokuaikaua_church,0.714,,,missing_coordinates; has_external_url,https://mokuaikaua.com/,https://en.wikivoyage.org/wiki/Kailua-Kona,candidate score 0.48 is below the 6.0 POI threshold
