world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/thailand/ayutthaya,Ayutthaya,Ayutthaya,15,60,see,Wat Suwannawas,0.62,candidate,has coordinates; high-value type,14.362216,100.567995,Wat Ratchaburana,asia/thailand/ayutthaya/wat_ratchaburana,0.631,0.369,0.686,needs_external_source,,https://en.wikivoyage.org/wiki/Ayutthaya,minor local temple below the POI threshold for Ayutthaya
europe/spain/andalucia/jerezdelafrontera,Jerez de la Frontera,Jerez de la Frontera,6,74,do,Plaza del Progreso,0.62,candidate,has coordinates; high-value type,36.6834,-6.13755,Jerez Cathedral,europe/spain/andalucia/jerezdelafrontera/jerez_cathedral,0.647,0.353,0.19,needs_external_source,,https://en.wikivoyage.org/wiki/Jerez_de_la_Frontera,ordinary local square with weak independent travel value
europe/belgium/kortrijk,Kortrijk,Kortrijk,9,32,see,Sint-Elooiskerk,0.62,candidate,has coordinates; high-value type,50.833339,3.259497,Sint-Maartenskerk,europe/belgium/kortrijk/sint_maartenskerk,0.688,0.889,0.785,needs_external_source,,https://en.wikivoyage.org/wiki/Kortrijk,local parish church below Kortrijk POI threshold
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Wat Asokaram,0.62,candidate,has coordinates; high-value type,17.005956,99.713268,Wat Sa Si,asia/thailand/sukhothai/wat_sa_si,0.571,2.001,1.698,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai,minor Sukhothai ruin below the local POI threshold
europe/netherlands/alkmaar,Alkmaar,Alkmaar,10,54,see,Wildemanshofje,0.62,candidate,has coordinates; high-value type,52.62756,4.75131,Waag and Cheese Museum,europe/netherlands/alkmaar/waag,0.568,0.432,0.573,needs_external_source,,https://en.wikivoyage.org/wiki/Alkmaar,covered by existing Alkmaar Hofjes POI
europe/ireland/waterford,Waterford,Waterford,6,48,do,Regional Sports Centre,0.62,candidate,has coordinates; high-value type,52.246,-7.125,Reginald's Tower,europe/ireland/waterford/reginalds_tower,0.632,2.084,1.891,needs_external_source,,https://en.wikivoyage.org/wiki/Waterford,"ordinary sports facility, not a travel POI"
europe/switzerland/sion,Sion,Sion,11,10,do,Stade Tourbillon,0.62,candidate,has coordinates; high-value type,46.23336,7.37589,Tourbillon Castle,europe/switzerland/sion/tourbillon_castle,0.606,0.77,1.331,needs_external_source,,https://en.wikivoyage.org/wiki/Sion,sports stadium with weak general-traveller value
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,do,New Negros Coliseum,0.62,candidate,has coordinates; high-value type,10.6072,122.9341,Negros Museum,asia/philippines/negrosisland/bacolod/negros_museum,0.688,8.493,7.91,needs_external_source,,https://en.wikivoyage.org/wiki/Bacolod,local sports arena below travel-worthy threshold
northamerica/trinidadandtobago/port_of_spain,Port of Spain,Port of Spain,9,42,see,Nicholas Tower,0.62,candidate,has coordinates; high-value type,10.6492,-61.5133749,Fort San Andres,northamerica/trinidadandtobago/port_of_spain/fort_san_andres,0.659,0.341,1.405,needs_external_source,,https://en.wikivoyage.org/wiki/Port_of_Spain,office tower/local commercial building below POI threshold
asia/turkey/bursa,Bursa,Bursa,13,44,see,Heykel,0.62,candidate,has coordinates; high-value type,40.183,29.067,Green Mosque (Yeşil Cami),asia/turkey/bursa/green_mosque,0.697,0.303,0.064,needs_external_source,,https://en.wikivoyage.org/wiki/Bursa,"vague central statue/square area, not distinct enough as a POI"
europe/russia/ekaterinoburg,Yekaterinburg,Yekaterinburg,26,72,see,Yekaterinburg-Sortirovochnyy,0.62,candidate,has coordinates; high-value type,56.88237,60.4717,Yekaterinburg Museum of Fine Arts,europe/russia/ekaterinoburg/fine_arts_museum,0.59,9.567,9.099,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg,transport-only railway yard/station lead
europe/unitedkingdom/northernireland/cookstown,Cookstown,Cookstown,12,26,see,Lough Fea,0.62,candidate,has coordinates; high-value type,54.723,-6.827,Lough Neagh Shore,europe/unitedkingdom/northernireland/cookstown/lough_neagh,0.615,21.454,10.389,needs_external_source,,https://en.wikivoyage.org/wiki/Cookstown,separate rural lake/day-trip lead too far from Cookstown for this batch
africa/ethiopia/lalibela,Lalibela,Lalibela,20,14,see,Ashetan Maryam,0.62,candidate,has coordinates; high-value type,12.0168,39.0718,Biete Maryam,africa/ethiopia/lalibela/biete_maryam,0.692,3.622,3.565,needs_external_source,,https://en.wikivoyage.org/wiki/Lalibela,duplicate of existing Asheten Mariam Monastery POI
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Tamwe Muslim Cemetery,0.62,candidate,has coordinates; high-value type,16.8105,96.17017,Taukkyan War Cemetery,asia/myanmar/yangon/taukkyan_war_cemetery,0.571,29.67,1.818,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,local cemetery with weak visitor value for Yangon
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,see,Parque Histórico,0.62,candidate,has coordinates; high-value type,-2.14413,-79.86929,Guayaquil Historic Park,southamerica/ecuador/guayaquil/guayaquil_historic,0.564,7.058,5.468,needs_external_source,,https://en.wikivoyage.org/wiki/Guayaquil,duplicate of existing Guayaquil Historic Park POI
europe/france/midi/basqueregion/bayonne,Bayonne,Bayonne (France),9,26,see,Bastion Royal,0.62,candidate,has coordinates; high-value type,43.4874,-1.4741,Bayonne Cathedral,europe/france/midi/basqueregion/bayonne/bayonne_cathedral,0.565,0.435,0.792,needs_external_source,,https://en.wikivoyage.org/wiki/Bayonne_%28France%29,minor fortification fragment below Bayonne POI threshold
europe/macedonia/bitola,Bitola,Bitola,6,65,do,Culture House,0.62,candidate,has coordinates; high-value type,41.02785,21.33482,New Mosque (Yeni Dzhamija),europe/macedonia/bitola/new_mosque,0.672,0.328,0.566,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola,local cultural venue with weak travel value
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Wat Ton Makham,0.62,candidate,has coordinates; high-value type,17.018151,99.718275,Wat Mahathat,asia/thailand/sukhothai/wat_mahathat,0.615,1.561,1.305,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai,minor Sukhothai ruin below local POI threshold
southamerica/bolivia/tupiza,Tupiza,Tupiza,10,17,see,El Cañon,0.62,candidate,has coordinates; high-value type,-21.44521,-65.73999,Cañón del Inca,southamerica/bolivia/tupiza/canon_del_inca,0.571,6.048,1.989,needs_external_source,,https://en.wikivoyage.org/wiki/Tupiza,vague canyon lead and likely overlapping existing Tupiza canyon coverage
southamerica/ecuador/guayaquil,Guayaquil,Guayaquil,15,26,see,Malecon Simón Bolivar,0.62,candidate,has coordinates; high-value type,-2.19036,-79.87854,Malecón 2000 Museums and IMAX,southamerica/ecuador/guayaquil/museums__imax_the,0.558,0.442,0.926,needs_external_source,,https://en.wikivoyage.org/wiki/Guayaquil,duplicate/alias of existing Malecón 2000 coverage
northamerica/mexico/playadelcarmen,Playa del Carmen,Playa del Carmen,9,56,see,Playa del Carmen Lighthouse,0.62,candidate,has coordinates; high-value type,20.625874,-87.071165,Playa del Carmen Beach,northamerica/mexico/playadelcarmen/playa_del_carmen_beach,0.683,0.917,2.454,needs_external_source,,https://en.wikivoyage.org/wiki/Playa_del_Carmen,minor local landmark below Playa del Carmen POI threshold
asia/turkey/edirne,Edirne,Edirne,15,40,see,Old quarter,0.62,candidate,has coordinates; high-value type,41.6742,26.5503,Grand Synagogue of Edirne,asia/turkey/edirne/grand_synagogue,0.691,0.309,0.726,needs_external_source,,https://en.wikivoyage.org/wiki/Edirne,"vague area lead, not a specific locatable POI"
europe/spain/northernspain/oviedo,Oviedo,Oviedo,13,18,see,Jardines del Campillín,0.62,candidate,has coordinates; high-value type,43.3587,-5.8436,La Fabada at Casa Gerardo,europe/spain/northernspain/oviedo/casa_gerardo,0.676,0.324,2.964,needs_external_source,,https://en.wikivoyage.org/wiki/Oviedo,local park below Oviedo POI threshold
europe/ireland/killarney,Killarney,Killarney,11,45,do,Muckross Riding Stables,0.62,candidate,has coordinates; high-value type,52.0218,-9.47903,Muckross Abbey,europe/ireland/killarney/muckross_abbey,0.649,1.23,4.569,needs_external_source,,https://en.wikivoyage.org/wiki/Killarney,ordinary commercial riding operator
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,see,Yueyang East Station,0.62,candidate,has coordinates; high-value type,29.3686419,113.2031411,Yueyang Tower,asia/china/hunan/yueyang/yueyang_tower,0.606,11.27,7.014,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang,transport-only railway station
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Oman,0.62,candidate,has coordinates; high-value type,56.186045,10.2401389,Pan,europe/denmark/aarhus/pan,0.571,4.928,4.378,needs_external_source,,https://en.wikivoyage.org/wiki/Aarhus,vague/unlocatable listing name
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Shayhantaur,0.62,candidate,has coordinates; high-value type,41.323,69.2589,Ankhor Park,asia/uzbekistan/tashkent/ankhor_park,0.699,0.301,2.037,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent,vague district/ensemble lead overlapping central Tashkent coverage
europe/unitedkingdom/scotland/lochgilphead,Lochgilphead,Lochgilphead,3,10,see,Crinan,0.62,candidate,has coordinates; high-value type,56.09,-5.556,Crinan Canal,europe/unitedkingdom/scotland/lochgilphead/crinan_canal,0.667,1.386,9.607,needs_external_source,,https://en.wikivoyage.org/wiki/Lochgilphead,"settlement/area lead, not a POI under Lochgilphead"
europe/ireland/sligo,Sligo,Sligo,17,38,see,Famine Graveyard,0.62,candidate,has coordinates; high-value type,54.2808,-8.4676,Hamilton Gallery,europe/ireland/sligo/hamilton_gallery,0.562,1.196,1.087,needs_external_source,,https://en.wikivoyage.org/wiki/Sligo,minor local memorial/graveyard below Sligo POI threshold
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,do,Center Court tennis courts,0.62,candidate,has coordinates; high-value type,10.653,122.9412,Golden Fields Commercial Complex,asia/philippines/negrosisland/bacolod/golden_commercial,0.638,0.362,2.818,needs_external_source,,https://en.wikivoyage.org/wiki/Bacolod,ordinary sports facility
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,do,Negros Super Lanes,0.62,candidate,has coordinates; high-value type,10.6495,122.938,Negros Museum,asia/philippines/negrosisland/bacolod/negros_museum,0.581,3.975,3.318,needs_external_source,,https://en.wikivoyage.org/wiki/Bacolod,ordinary commercial bowling venue
northamerica/mexico/torreon,Torreón,Torreón,10,10,see,Venustiano Carranza Forest,0.62,candidate,has coordinates; high-value type,25.54099,-103.4328,Estadio de la Revolución,northamerica/mexico/torreon/estadio_de_la_revolucion,0.607,0.393,2.236,needs_external_source,,https://en.wikivoyage.org/wiki/Torre%C3%B3n,local park below Torreón POI threshold
europe/france/midi/basqueregion/bayonne,Bayonne,Bayonne (France),9,26,see,Porte d'Espagne,0.62,candidate,has coordinates; high-value type,43.4881,-1.4786,Bayonne Cathedral,europe/france/midi/basqueregion/bayonne/bayonne_cathedral,0.7,0.3,0.817,needs_external_source,,https://en.wikivoyage.org/wiki/Bayonne_%28France%29,minor gate/streetscape fragment below Bayonne POI threshold
europe/spain/balearicislands/mallorca/magaluf,Magaluf,Magaluf,6,12,see,Platja de Palmanova,0.62,candidate,has coordinates; high-value type,39.5235,2.5393,Palma Nova,europe/spain/balearicislands/mallorca/magaluf/palma_nova,0.692,0.346,1.579,needs_external_source,,https://en.wikivoyage.org/wiki/Magaluf,duplicate/alias of existing Palma Nova coverage
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,Université de Nancy 2,0.62,candidate,has coordinates; high-value type,48.692846,6.168337,Marché Couvert de Nancy,europe/france/east/lorraine/nancy/covered_market,0.611,1.116,1.111,needs_external_source,,https://en.wikivoyage.org/wiki/Nancy,"ordinary university campus, not a visitor POI"
asia/indonesia/sumatra/padang,Padang,Padang,6,22,see,Taman Budaya,0.62,candidate,has coordinates; high-value type,-0.95461,100.35439,Taman Budaya Cultural Centre,asia/indonesia/sumatra/padang/taman_budaya,0.6,1.069,3.46,needs_external_source,,https://en.wikivoyage.org/wiki/Padang,duplicate of existing Taman Budaya Cultural Centre POI
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Birmingham City Jobcentre Plus,0.62,candidate,has coordinates; high-value type,52.4819,-1.9089,Library of Birmingham,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/library_of_birmingham,0.626,0.374,0.486,needs_external_source,,https://en.wikivoyage.org/wiki/Birmingham,"ordinary government office, not a travel POI"
asia/pakistan/lahore,Lahore,Lahore,68,87,do,Shah Jamal Tomb,0.62,candidate,has coordinates; high-value type,31.52822,74.329,Shahi Hammam,asia/pakistan/lahore/shahi_hammam,0.593,6.101,4.396,needs_external_source,,https://en.wikivoyage.org/wiki/Lahore,weakly documented local tomb lead below Lahore POI threshold
