world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,see,Childline,0.47,candidate,high-value type,,,Chattar Manzil,asia/india/uttarpradesh/lucknow/chattar_manzil,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow,candidate score 0.47 is below the 6.0 POI threshold
asia/india/kolkata,Kolkata,Kolkata,2,57,see,Medical,0.47,candidate,high-value type,,,Practical Information in Kolkata,asia/india/kolkata/practical_information,0.205,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kolkata,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/cleveland,Cleveland,Cleveland,59,29,see,Luxembourg (Honorary),0.47,candidate,high-value type,,,Tremont,northamerica/unitedstates/ohio/cleveland/tremont,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cleveland,candidate score 0.47 is below the 6.0 POI threshold
asia/india/kolkata,Kolkata,Kolkata,2,57,see,Fire,0.47,candidate,high-value type,,,Shopping,asia/india/kolkata/shopping,0.167,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kolkata,candidate score 0.47 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Great canyon,0.47,candidate,high-value type,,,Sheremet Tower,europe/serbia/kosovoprovince/peja/sheremet_tower,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Peja,candidate score 0.47 is below the 6.0 POI threshold
asia/vietnam/hochiminhcity,Ho Chi Minh City,Ho Chi Minh City,56,178,see,Panama,0.47,candidate,high-value type,,,Enigma,asia/vietnam/hochiminhcity/enigma,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/campania/naples,Naples,Naples,50,160,see,Cyprus,0.47,candidate,high-value type,,,Campi Flegrei (Phlegraean Fields),europe/italy/campania/naples/the_phlaegrean_fie,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Naples,candidate score 0.47 is below the 6.0 POI threshold
europe/netherlands/edam,Edam,Edam,5,13,see,Carillion Tower,0.47,candidate,high-value type,,,Grote Kerk,europe/netherlands/edam/grote_kerk,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Edam,candidate score 0.47 is below the 6.0 POI threshold
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Palacio de los Momos,0.47,candidate,high-value type,,,Puente Romano (Medieval Bridge),europe/spain/centralspain/zamora/puente_romano,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29,candidate score 0.47 is below the 6.0 POI threshold
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Cyprus,0.47,candidate,high-value type,,,Bus,asia/pakistan/karachi/bus,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karachi,candidate score 0.47 is below the 6.0 POI threshold
asia/china/jiangsu_province/suqian,Suqian,Suqian,5,23,see,Emergency hotline,0.47,candidate,high-value type,,,Xiang Yu's Ancestral Home,asia/china/jiangsu_province/suqian/xiang_yu_hometown,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Suqian,candidate score 0.47 is below the 6.0 POI threshold
asia/turkey/kusadasi,Kuşadası,Kuşadası,9,15,see,Ephesus,0.47,candidate,high-value type,,,Kale Mosque (Öküz Mehmet Pasha Mosque),asia/turkey/kusadasi/kale_mosque,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ku%C5%9Fadas%C4%B1,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/liguria/laspezia,La Spezia,La Spezia,10,10,see,Centre of Modern and Contemporary Art,0.47,candidate,high-value type,,,Cinque Terre Access,europe/italy/liguria/laspezia/cinque_terre_access,0.321,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/La_Spezia,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/detroit,Detroit,Detroit,74,35,see,Ukraine,0.47,candidate,high-value type,,,Frankenmuth,northamerica/unitedstates/michigan/detroit/frankenmuth_day_trip,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Detroit,candidate score 0.47 is below the 6.0 POI threshold
europe/austria/vienna,Vienna,Vienna,67,134,see,Democratic People's Republic of Korea,0.47,candidate,high-value type,,,Austrian National Library (Prunksaal),europe/austria/vienna/austrian_national_library,0.355,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vienna,candidate score 0.47 is below the 6.0 POI threshold
asia/china/hunan/huaihua,Huaihua,Huaihua,3,22,do,Wanfu Mountain,0.47,candidate,high-value type,,,Qianyang Ancient City,asia/china/hunan/huaihua/qianyang_ancient_city,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huaihua,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Atafonova Estate,0.47,candidate,high-value type,,,Angara Embankment,europe/russia/irkutsk/angara_embankment,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk,candidate score 0.47 is below the 6.0 POI threshold
asia/china/liaoning/anshan,Anshan,Anshan,4,37,see,Baiyun Mountain Scenic Area,0.47,candidate,high-value type,,,Qianshan National Park,asia/china/liaoning/anshan/qianshan_national_park,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshan,candidate score 0.47 is below the 6.0 POI threshold
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,see,Gustavo Carballo,0.47,candidate,high-value type,,,El Golfo Valley,europe/spain/canaryislands/elhierro/el_golfo_valley,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/El_Hierro,candidate score 0.47 is below the 6.0 POI threshold
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,do,Mountainbike Route,0.47,candidate,high-value type,,,Molenberg Mining Colony,europe/netherlands/heerlen/molenberg,0.341,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Heerlen,candidate score 0.47 is below the 6.0 POI threshold
asia/china/hongkong,Hong Kong,Hong Kong,64,81,see,Luxembourg,0.47,candidate,high-value type,,,Harbour City,asia/china/hongkong/harbourcity,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hong_Kong,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/utah/kanab,Kanab,Kanab,7,30,do,Greyhound Gathering,0.47,candidate,high-value type,,,Grand Staircase-Escalante National Monument,northamerica/unitedstates/utah/kanab/grand_staircase,0.29,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kanab,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,Barbados,0.47,candidate,high-value type,,,The Beaches,northamerica/canada/ontario/toronto/the_beaches,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Toronto,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/bellowsfalls,Bellows Falls,Bellows Falls,7,10,do,Green Mountain Railroad,0.47,candidate,high-value type,,,Great Falls,northamerica/unitedstates/vermont/bellowsfalls/great_falls,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bellows_Falls,candidate score 0.47 is below the 6.0 POI threshold
asia/israel/telaviv,Tel Aviv,Tel Aviv,57,55,see,Consular Section,0.47,candidate,high-value type,,,Florentin,asia/israel/telaviv/florentin,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tel_Aviv,candidate score 0.47 is below the 6.0 POI threshold
europe/sweden/gvle,Gävle,Gävle,5,44,see,Oslättfors,0.47,candidate,high-value type,,,Monitor ERP Arena,europe/sweden/gvle/brynas_arena,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%A4vle,candidate score 0.47 is below the 6.0 POI threshold
asia/china/guangdong/qingyuan,Qingyuan,Qingyuan,5,20,see,Yao Ethnic Minority of Liannan,0.47,candidate,high-value type,,,Gulongxia Scenic Area,asia/china/guangdong/qingyuan/gulongxia,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingyuan,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,North Semarang,0.47,candidate,high-value type,,,Kota Lama,asia/indonesia/java/semarang/kota_lama,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Semarang,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Uzbekistan,0.47,candidate,high-value type,,,Bukit Bintang,asia/malaysia/kualalumpur/bukit_bintang,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
europe/austria/vienna,Vienna,Vienna,67,134,see,Republic of Korea,0.47,candidate,high-value type,,,Karmelitermarkt,europe/austria/vienna/karmelitermarkt,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vienna,candidate score 0.47 is below the 6.0 POI threshold
