world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua,Rotorua,Rotorua,10,32,do,"The Bridge, aka Hot and Cold, aka Twin Streams",0.55,candidate,has description; high-value type,,,Redwoods Treewalk,australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua/redwoods_treewalk,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rotorua,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/diamantina,Diamantina,Diamantina,9,12,see,Igreja São Francisco,0.55,candidate,has description; high-value type,,,Igreja Nossa Senhora do Carmo,southamerica/brazil/diamantina/igreja_nosso_senhor_bonfim,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Diamantina,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/elche,Elche,Elche,8,42,do,LGTBI Diversa Festival,0.55,candidate,has description; high-value type,,,Misteri d'Elx,europe/spain/spanishcostas/elche/misteri_delx,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Elche,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Mansion,0.55,candidate,has description; high-value type,,,Annunciation Cathedral,europe/ukraine/kharkiv/annunciation_cathedral,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv,candidate score 0.55 is below the 6.0 POI threshold
europe/france/normandybrittany/deauville,Deauville,Deauville,13,5,do,Horse Racing,0.55,candidate,has description; high-value type,,,Port de Deauville,europe/france/normandybrittany/deauville/port_deauville,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deauville,candidate score 0.55 is below the 6.0 POI threshold
asia/china/heilongjiang/jiamusi,Jiamusi,Jiamusi,2,21,do,Jiamusi Music Fountain Square,0.55,candidate,has description; high-value type,46.8257,,Sanjiangkou Wetland Park,asia/china/heilongjiang/jiamusi/sanjiangkou_wetland_park,0.302,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jiamusi,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/diamantina,Diamantina,Diamantina,9,12,see,Igreja do Bonfim,0.55,candidate,has description; high-value type,,,Igreja Nossa Senhora do Carmo,southamerica/brazil/diamantina/igreja_nosso_senhor_bonfim,0.489,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Diamantina,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/vladimir,Vladimir,Vladimir,4,75,see,At Gagarina street,0.55,candidate,has description; high-value type,,,Cathedral of Saint Demetrius,europe/russia/vladimir/cathedral_saint_demetrius,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladimir,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/dienbienphu,Dien Bien Phu,Dien Bien Phu,4,8,see,Seater,0.55,candidate,has description; high-value type,,,De Castries Bunker,asia/vietnam/dienbienphu/de_castries_bunker,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dien_Bien_Phu,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,American Royal BBQ Contest,0.55,candidate,has description; high-value type,,,American Jazz Museum,northamerica/unitedstates/missouri/kansascity/american_jazz_museum,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kansas_City,candidate score 0.55 is below the 6.0 POI threshold
africa/southafrica/durban,Durban,Durban,55,54,do,Watersports,0.55,candidate,has description; high-value type,,,Oyster Box,africa/southafrica/durban/oysters_co,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Durban,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/szekesfehervar,Székesfehérvár,Székesfehérvár,15,93,see,Country Flag,0.55,candidate,has description; high-value type,,,Bory Castle,europe/hungary/szekesfehervar/bory_castle,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r,candidate score 0.55 is below the 6.0 POI threshold
