world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/washington/bellevue,Bellevue,Bellevue,12,38,do,Meydenbauer Bay Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Meydenbauer Center,northamerica/unitedstates/washington/bellevue/meydenbauer_center,0.684,,,missing_coordinates; has_external_url,https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/meydenbauer-beach-park,https://en.wikivoyage.org/wiki/Bellevue,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/tennessee/memphis,Memphis,Memphis,49,101,do,Memphis 901 FC,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Memphis in May,northamerica/unitedstates/tennessee/memphis/memphis_in_may,0.643,,,missing_coordinates; has_external_url,https://www.memphis901fc.com,https://en.wikivoyage.org/wiki/Memphis,candidate score 0.48 is below the 6.0 POI threshold
europe/netherlands/amsterdam,Amsterdam,Amsterdam,153,66,see,I amsterdam City Card,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Amsterdam Noord,europe/netherlands/amsterdam/amsterdam_noord,0.667,,,missing_coordinates; has_external_url,https://www.iamsterdam.com/en/tickets/i-amsterdam-city-card,https://en.wikivoyage.org/wiki/Amsterdam,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Citizens Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,City Centre,europe/unitedkingdom/scotland/glasgow/city_centre,0.593,,,missing_coordinates; has_external_url,https://citz.co.uk/,https://en.wikivoyage.org/wiki/Glasgow,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,see,Long Beach Transit,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Long Beach Museum of Art,northamerica/unitedstates/california/long_beach/long_beach_museum_of_art,0.619,,,missing_coordinates; has_external_url,https://ridelbt.com/,https://en.wikivoyage.org/wiki/Long_Beach,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Genesee Riverway Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Genesee Brew House,northamerica/unitedstates/newyorkstate/rochester/genesee_brew_house,0.6,,,missing_coordinates; has_external_url,http://www.cityofrochester.gov/article.aspx?id=8589936619,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29,candidate score 0.48 is below the 6.0 POI threshold
africa/morocco/meknes,Meknes,Meknes,11,31,see,Borj Belkari Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Dar Jamai Museum,africa/morocco/meknes/dar_jamai_museum,0.571,,,missing_coordinates; has_external_url,https://fnm.ma/musees-en-cours-de-restauration/musee-borj-belkari-meknes/,https://en.wikivoyage.org/wiki/Meknes,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/england/eastern_england/harwich,Harwich,Harwich (England),12,24,do,Harwich Maritime Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Harwich Mayflower Heritage Centre,europe/unitedkingdom/england/eastern_england/harwich/mayflower_heritage_centre,0.618,,,missing_coordinates; has_external_url,http://harwich-society.co.uk/heritage-trail/#xl_xr_page_maps,https://en.wikivoyage.org/wiki/Harwich_%28England%29,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,Asheville Gallery of Art,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Asheville Art Museum,northamerica/unitedstates/northcarolina/asheville/asheville_art_museum,0.591,,,missing_coordinates; has_external_url,http://www.ashevillegallery-of-art.com,https://en.wikivoyage.org/wiki/Asheville,candidate score 0.48 is below the 6.0 POI threshold
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,do,Kaunas Chamber Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kaunas Cathedral,europe/lithuania/kaunas/kaunas_cathedral,0.684,,,missing_coordinates; has_external_url,https://www.kamerinisteatras.lt/,https://en.wikivoyage.org/wiki/Kaunas,candidate score 0.48 is below the 6.0 POI threshold
europe/spain/centralspain/salamanca,Salamanca,Salamanca,7,26,see,Museum of Salamanca,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,University of Salamanca,europe/spain/centralspain/salamanca/university_of_salamanca,0.714,,,missing_coordinates; has_external_url,https://museoscastillayleon.jcyl.es/web/es/museosalamanca/museo-salamanca.html,https://en.wikivoyage.org/wiki/Salamanca,candidate score 0.48 is below the 6.0 POI threshold
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,see,Green Lake Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Zheng He Park,asia/china/yunnanprovince/kunming/zhenghepark,0.643,,,missing_coordinates; has_external_url,http://www.cuihugongyuan.com/,https://en.wikivoyage.org/wiki/Kunming,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/westvirginia/wheeling,Wheeling,Wheeling,6,34,do,Wheeling Heritage Port Sternwheel Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Wheeling Heritage Port,northamerica/unitedstates/westvirginia/wheeling/wheeling_heritage_port,0.688,,,missing_coordinates; has_external_url,http://www.sternwheeling.org/,https://en.wikivoyage.org/wiki/Wheeling,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,Buffalo Pride Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Buffalo City Hall,northamerica/unitedstates/newyorkstate/buffalo/buffalo_city_hall,0.615,,,missing_coordinates; has_external_url,http://www.buffalopridefestival.com/,https://en.wikivoyage.org/wiki/Buffalo,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Daytona Beach News-Journal,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Daytona Beach Pier and Boardwalk,northamerica/unitedstates/florida/daytona_beach/daytona_beach_main_street_pier,0.655,,,missing_coordinates; has_external_url,https://news-journalonline.com,https://en.wikivoyage.org/wiki/Daytona_Beach,candidate score 0.48 is below the 6.0 POI threshold
europe/ireland/tralee,Tralee,Tralee,4,21,do,Tralee Equestrian Centre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Tralee Town Park,europe/ireland/tralee/town_park,0.55,,,missing_coordinates; has_external_url,https://www.ballyseedecastle.com/attractions/horse-riding,https://en.wikivoyage.org/wiki/Tralee,candidate score 0.48 is below the 6.0 POI threshold
europe/ireland/dublin,Dublin,Dublin,132,173,see,Irish Whiskey Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Natural History Museum,europe/ireland/dublin/natural_history_museum,0.619,,,missing_coordinates; has_external_url,https://irishwhiskeymuseum.ie/,https://en.wikivoyage.org/wiki/Dublin,candidate score 0.48 is below the 6.0 POI threshold
europe/romania/cluj,Cluj-Napoca,Cluj-Napoca,43,87,do,Cluj-Napoca Botanical Garden,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Alexandru Borza Botanical Garden,europe/romania/cluj/botanical_garden,0.667,,,missing_coordinates; has_external_url,https://www.ubbcluj.ro/ro/structura/sport/gradina_botanica,https://en.wikivoyage.org/wiki/Cluj-Napoca,candidate score 0.48 is below the 6.0 POI threshold
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,Historic Calgary Week,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Calgary Tower,northamerica/canada/alberta/calgary/calgarytower,0.588,,,missing_coordinates; has_external_url,https://chinookhistory.ca/historic-calgary-week,https://en.wikivoyage.org/wiki/Calgary,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/australia/newsouthwales/sydney,Sydney,Sydney,47,43,see,Sydney Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Sydney Fish Market,australiaandpacific/australia/newsouthwales/sydney/fish_market,0.606,,,missing_coordinates; has_external_url,http://www.sydneyfestival.org.au/,https://en.wikivoyage.org/wiki/Sydney,candidate score 0.48 is below the 6.0 POI threshold
