world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,see,Harvest Station,0.47,candidate,high-value type,,,Irvine Spectrum Center,northamerica/unitedstates/california/orangecounty/irvine/irvine_spectrum,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Irvine,candidate score 0.47 is below the 6.0 POI threshold
asia/india/kerala/kochi,Kochi,Kochi,11,29,see,Kochi Police Medical Assistance,0.47,candidate,high-value type,,,Kochi-Muziris Biennale,asia/india/kerala/kochi/kochi_biennale,0.415,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kochi,candidate score 0.47 is below the 6.0 POI threshold
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Medical Emergency,0.47,candidate,high-value type,,,Hat Yai Municipal Park,asia/thailand/hatyai/hat_yai_municipal_park,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hat_Yai,candidate score 0.47 is below the 6.0 POI threshold
europe/switzerland/geneva,Geneva,Geneva,44,99,do,International Geneva Motor Show,0.47,candidate,high-value type,,,International Red Cross and Red Crescent Museum,europe/switzerland/geneva/red_cross_museum,0.487,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Geneva,candidate score 0.47 is below the 6.0 POI threshold
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Autogara IDM Barasab Kennedy,0.47,candidate,high-value type,,,Stavropoleos Monastery,europe/romania/bucharest/stavropoleos_monastery,0.36,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Lesotho,0.47,candidate,high-value type,,,Westboro,northamerica/canada/ontario/ottawa/westboro,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.47 is below the 6.0 POI threshold
asia/china/heilongjiang/jiamusi,Jiamusi,Jiamusi,2,21,see,Wusu,0.47,candidate,high-value type,,,Sanjiangkou Wetland Park,asia/china/heilongjiang/jiamusi/sanjiangkou_wetland_park,0.143,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jiamusi,candidate score 0.47 is below the 6.0 POI threshold
asia/taiwan/taipei,Taipei,Taipei,105,91,see,Peru: PromPerú in Taiwan,0.47,candidate,high-value type,,,Puppetry Art Center of Taipei,asia/taiwan/taipei/puppetry_art_center_taipei,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taipei,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Blue Bird,0.47,candidate,high-value type,,,Blenduk Church,asia/indonesia/java/semarang/blenduk_church,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Semarang,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Iran,0.47,candidate,high-value type,,,Mont Kiara,asia/malaysia/kualalumpur/mont_kiara,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
