world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/italy/sardinia/cagliari,Cagliari,Cagliari,14,49,see,Palazzata della via Roma,0.55,candidate,has description; high-value type,,,Bastione di Saint Remy,europe/italy/sardinia/cagliari/bastione_di_saint_remy,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cagliari,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/alberta/banff,Banff,Banff,45,93,do,Tubing and sledding,0.55,candidate,has description; high-value type,,,Fuze Finer Dining,northamerica/canada/alberta/banff/fuze_finer_dining,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Banff,candidate score 0.55 is below the 6.0 POI threshold
northamerica/thecaribbean/puertorico/vieques,Vieques,Vieques,14,19,do,Travesías Isleñas,0.55,candidate,has description; high-value type,,,Punta Mulas Lighthouse,northamerica/thecaribbean/puertorico/vieques/punta_mulas_light,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vieques,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/phuket/patong,Patong,Patong,14,44,do,Bali Hai,0.55,candidate,has description; high-value type,,,Kalim Viewpoint,asia/thailand/phuket/patong/kalim_viewpoint,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Patong,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Equatorial Guinea,0.55,candidate,has description; high-value type,,,Red Square (Krasnaya Ploshchad),europe/russia/moscow/red_square_krasna,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Tokyo Donuts,0.55,candidate,has description; high-value type,,,Colonial Downtown,asia/myanmar/yangon/colonial_downtown,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/yarkand,Yarkand,Yarkand,5,5,do,Two or more days Taklamakan Desert Camel trekking in Yarkend,0.55,candidate,has description; high-value type,,,Golden Graveyard (Altun Mazar),asia/china/xinjiangprovince/yarkand/golden_graveyard,0.263,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yarkand,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/connecticut/new_london,New London,New London (Connecticut),6,18,do,Thames River Greenery,0.55,candidate,has description; high-value type,,,Garde Arts Center,northamerica/unitedstates/connecticut/new_london/garde_arts_center,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/New_London_%28Connecticut%29,candidate score 0.55 is below the 6.0 POI threshold
europe/albania/gjirokaster,Gjirokaster,Gjirokastër,9,28,see,"Ioannina, Greece",0.55,candidate,has description; high-value type,,,Cold War Tunnel,europe/albania/gjirokaster/cold_war_tunnel,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gjirokast%C3%ABr,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/passau,Passau,Passau,7,37,see,Altötting,0.55,candidate,has description; high-value type,,,Passau Town Hall,europe/germany/bavaria/passau/town_hall,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Passau,candidate score 0.55 is below the 6.0 POI threshold
africa/namibia/sossusvlei,Sossusvlei,Sossusvlei,0,7,see,Sesriem Canyon,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sossusvlei,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/sant_feliu_de_guixols,Sant Feliu de Guíxols,Sant Feliu de Guíxols,10,40,see,Casino la Constància,0.55,candidate,has description; high-value type,,,Carmen Thyssen Space,europe/spain/catalonia/sant_feliu_de_guixols/carmen_thyssen_space,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sant_Feliu_de_Gu%C3%ADxols,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Iraq,0.55,candidate,has description; high-value type,,,Vladimir,europe/russia/moscow/vladimir,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/phitsanulok,Phitsanulok,Phitsanulok,7,22,do,Wat Prathat Phasornkaew,0.55,candidate,has coordinates; high-value type,16.78926,101.05085,Wat Nang Phaya,asia/thailand/phitsanulok/wat_nang_phaya,0.541,84.04,83.853,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Phitsanulok,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,see,"Miaogang Village, Siduping Township, Yongding District",0.55,candidate,has description; high-value type,,,Zhangjiajie Glass Bridge,asia/china/hunan/zhangjiajie/zhangjiajie_glass_bridge,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhangjiajie,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/fairbanks,Fairbanks,Fairbanks,17,56,do,Dog Sledding,0.55,candidate,has description; high-value type,,,HooDoo Brewing Company,northamerica/unitedstates/alaska/fairbanks/hoodoo_brewing,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fairbanks,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/uzhgorod,Uzhhorod,Uzhhorod,5,33,see,Lake Synevyr,0.55,candidate,has description; high-value type,,,Nevytske Castle (Day Trip),europe/ukraine/uzhgorod/nevytske_castle,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Uzhhorod,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralcoast/sanluisobispo,San Luis Obispo,San Luis Obispo,11,33,see,Downtown Area,0.55,candidate,has description; high-value type,,,Madonna Inn,northamerica/unitedstates/california/centralcoast/sanluisobispo/madonna_inn,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Luis_Obispo,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Pattaya Festival,0.55,candidate,has description; high-value type,,,Phra Tamnak Hill,asia/thailand/pattaya/phra_tamnak_hill,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.55 is below the 6.0 POI threshold
europe/france/centre/limousin/limoges,Limoges,Limoges,5,11,see,Chapel of St. Aurelianus,0.55,candidate,has description; high-value type,,,Cathédrale Saint-Étienne,europe/france/centre/limousin/limoges/cathedrale_saint_etienne,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Limoges,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/hotan,Hotan,Khotan,9,15,see,Khotan Winery,0.55,candidate,has description; high-value type,,,Hotan Cultural Museum,asia/china/xinjiangprovince/hotan/hotan_cultural_museum,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khotan,candidate score 0.55 is below the 6.0 POI threshold
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Laos,0.55,candidate,has description; high-value type,,,Zaisan Memorial,asia/mongolia/ulaanbaatar/zaisan_memorial,0.211,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar,candidate score 0.55 is below the 6.0 POI threshold
