world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/macedonia/skopje,Skopje,Skopje,11,58,see,Iran,0.47,candidate,high-value type,,,Porta Macedonia,europe/macedonia/skopje/porta_macedonia,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/newjersey/freehold,Freehold,Freehold,6,32,see,Jersey Shore Medical Center,0.47,candidate,high-value type,,,St. Peter's Episcopal Church,northamerica/unitedstates/newjersey/freehold/st_peters_episcopal_church,0.481,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Freehold,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Namibia,0.47,candidate,high-value type,,,Masjid India,asia/malaysia/kualalumpur/masjid_india,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/vladivostok,Vladivostok,Vladivostok,14,56,see,South Korea,0.47,candidate,high-value type,,,Vladivostok Fortress,europe/russia/vladivostok/vladivostok_fortress,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladivostok,candidate score 0.47 is below the 6.0 POI threshold
africa/southafrica/capetown,Cape Town,Cape Town,95,187,do,Daytrippers,0.47,candidate,high-value type,,,De Waterkant,africa/southafrica/capetown/de_waterkant,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cape_Town,candidate score 0.47 is below the 6.0 POI threshold
europe/france/centre/loirevalley/saumur,Saumur,Saumur,12,10,see,Monsoreau Chateau,0.47,candidate,high-value type,,,Les Forges de Saint-Pierre,europe/france/centre/loirevalley/saumur/les_forges_de_saint_pierre,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saumur,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/pskov,Pskov,Pskov,13,11,see,France and Slovenia,0.47,candidate,high-value type,,,Alexander Nevsky Monument,europe/russia/pskov/alexander_nevsky_monument,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pskov,candidate score 0.47 is below the 6.0 POI threshold
asia/unitedarabemirates/abudhabi,Abu Dhabi,Abu Dhabi,53,106,see,Bangladesh,0.47,candidate,high-value type,,,Aldar Headquarters,asia/unitedarabemirates/abudhabi/aldar_hq,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Abu_Dhabi,candidate score 0.47 is below the 6.0 POI threshold
europe/unitedkingdom/england/birmingham_and_west_midlands/worcester,Worcester,Worcester (England),11,49,see,South Quay,0.47,candidate,high-value type,,,Worcester Guildhall,europe/unitedkingdom/england/birmingham_and_west_midlands/worcester/worcester_guildhall,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Worcester_%28England%29,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,United Arab Emirates,0.47,candidate,high-value type,,,Bunker-42 Cold War Museum,europe/russia/moscow/bunker_42,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
