world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,do,Nightlife,0.55,candidate,has description; high-value type,,,Time Nightclub,australiaandpacific/australia/northernterritory/darwin/timenightclub,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Darwin,candidate score 0.55 is below the 6.0 POI threshold
northamerica/jamaica/montegobay,Montego Bay,Montego Bay,13,22,do,Montego Bay Sea Trek Adventure,0.55,candidate,has description; high-value type,,,Doctor's Cave Beach,northamerica/jamaica/montegobay/doctors_cave_beach,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Montego_Bay,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chaam,Cha-am,Cha-am,9,8,see,Phrarachanivet Mrigadayavan,0.55,candidate,has description; high-value type,,,Mrigadayavan Palace,asia/thailand/chaam/mrigadayavan_palace,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cha-am,candidate score 0.55 is below the 6.0 POI threshold
asia/laos/phonesavanh,Phonsavan,Phonsavan,7,31,see,War Memorials,0.55,candidate,has description; high-value type,,,Tham Piu Cave,asia/laos/phonesavanh/tham_piu_cave,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phonsavan,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/arizona/kingman,Kingman,Kingman,13,39,see,Mohave Valley Economic Development Journal,0.55,candidate,has description; high-value type,,,Mohave County Courthouse and Jail,northamerica/unitedstates/arizona/kingman/mohave_county_courthouse,0.453,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kingman,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/sopron,Sopron,Sopron,9,234,see,Domestic Győr–Sopron–Ebenfurth Railway,0.55,candidate,has description; high-value type,,,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.291,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sopron,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/miami,Miami,Miami (Oklahoma),8,10,do,High Winds Casino,0.55,candidate,has description; high-value type,,,Narcissa D-X Gas Station,northamerica/unitedstates/oklahoma/miami/narcissa_dx_station,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Miami_%28Oklahoma%29,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,see,Floating gardens,0.55,candidate,has description; high-value type,,,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.2,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake,candidate score 0.55 is below the 6.0 POI threshold
southamerica/bolivia/salar_of_uyuni,Salar de Uyuni,Salar de Uyuni,0,24,see,Tupiza,0.55,candidate,has coordinates; high-value type,-21.437,-65.72,,,0.0,,231.497,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Salar_de_Uyuni,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Polizeirevier Mitte,0.55,candidate,has description; high-value type,,,Nikolaikirche,europe/germany/saxony/leipzig/nikolaikirche,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig,candidate score 0.55 is below the 6.0 POI threshold
