world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/unitedkingdom/england/london,London,London,76,205,see,Eritrea,0.47,candidate,high-value type,,,Tower Bridge,europe/unitedkingdom/england/london/tower_bridge,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/London,candidate score 0.47 is below the 6.0 POI threshold
europe/unitedkingdom/england/newcastle_and_north_east/durham,Durham,Durham (England),7,40,see,Elvet Bridge,0.47,candidate,high-value type,,,Palace Green Library,europe/unitedkingdom/england/newcastle_and_north_east/durham/palace_green_library,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Durham_%28England%29,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Lebanon,0.47,candidate,high-value type,,,Tsar Cannon,europe/russia/moscow/tsarcannon,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/solo,Solo,Solo,20,80,see,Ambulance,0.47,candidate,high-value type,,,Kampung Batik Laweyan,asia/indonesia/java/solo/kampung_batik_laweyan,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Solo,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/lakeconstance,Lake Constance,Lake Constance,0,11,see,Konstanz,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Constance,candidate score 0.47 is below the 6.0 POI threshold
europe/france/nord/le_touquet,Le Touquet,Le Touquet,7,25,see,La Poste,0.47,candidate,high-value type,,,The Pine Forest,europe/france/nord/le_touquet/pine_forest,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Le_Touquet,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Printing & Book Arts,0.47,candidate,high-value type,,,Highland Park,northamerica/unitedstates/newyorkstate/rochester/highland_park,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/emiliaromagna/parma,Parma,Parma,15,41,see,Piazza Duomo,0.47,candidate,high-value type,,,Palazzo della Pilotta,europe/italy/emiliaromagna/parma/palazzo_della_pilotta,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Parma,candidate score 0.47 is below the 6.0 POI threshold
asia/yemen/aden,Aden,Aden,14,14,see,Tourist Port,0.47,candidate,high-value type,,,Sira Fortress,asia/yemen/aden/sira_fortress,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aden,candidate score 0.47 is below the 6.0 POI threshold
europe/spain/catalonia/banyoles,Banyoles,Banyoles,5,14,see,Carrer de la Paraireria,0.47,candidate,high-value type,,,Parc de la Draga,europe/spain/catalonia/banyoles/parc_de_la_draga,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Banyoles,candidate score 0.47 is below the 6.0 POI threshold
europe/ireland/kildare,Kildare,Kildare,8,18,see,Grey Abbey,0.47,candidate,high-value type,,,Kildare Round Tower,europe/ireland/kildare/kildare_round_tower,0.276,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kildare,candidate score 0.47 is below the 6.0 POI threshold
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,see,Republic of Korea,0.47,candidate,high-value type,,,Jinli and Wuhou Area,asia/china/sichuanprovince/chengdu/wuhou_neighbourhood,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chengdu,candidate score 0.47 is below the 6.0 POI threshold
