world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/france/around_paris/fontainebleau,Fontainebleau,Fontainebleau,11,10,see,Musée d'art figuratif contemporain,0.77,candidate,has coordinates; high-value type,48.404798647077776,2.687632884027811,Chinese Museum at Fontainebleau,europe/france/around_paris/fontainebleau/chinese_museum,0.462,1.122,1.03,needs_external_source,,https://en.wikivoyage.org/wiki/Fontainebleau,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
asia/india/westbengal/nabadwip,Nabadwip,Nabadwip,11,34,see,Birthplace of Mahaprabhu,0.77,candidate,has coordinates; high-value type,23.426424,88.370685,Dhameshwar Mahaprabhu Mandir,asia/india/westbengal/nabadwip/dhameshwar_mandir,0.538,2.045,2.036,needs_external_source,,https://en.wikivoyage.org/wiki/Nabadwip,duplicate/alias of existing Yogapitha birthplace shrine POI
southamerica/colombia/palmira,Palmira,Palmira,3,5,see,Municipal Forest,0.77,candidate,has coordinates; high-value type,3.5266,-76.2872,Jardín Botánico de Cali,southamerica/colombia/palmira/botanical_garden,0.278,2.394,1.371,needs_external_source,,https://en.wikivoyage.org/wiki/Palmira,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/spain/catalonia/sant_feliu_de_guixols,Sant Feliu de Guíxols,Sant Feliu de Guíxols,10,40,see,Mirador de les Mestresses,0.77,candidate,has coordinates; high-value type,41.7827198,3.0465547,Maritime Rescue Museum,europe/spain/catalonia/sant_feliu_de_guixols/maritime_rescue_museum,0.5,0.973,1.518,needs_external_source,,https://en.wikivoyage.org/wiki/Sant_Feliu_de_Gu%C3%ADxols,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
africa/ethiopia/addisababa,Addis Ababa,Addis Ababa,29,99,see,Somaliland,0.77,candidate,has coordinates; high-value type,9.001,38.8088,Bole Road,africa/ethiopia/addisababa/bole_road,0.421,3.317,7.303,needs_external_source,,https://en.wikivoyage.org/wiki/Addis_Ababa,"embassy/diplomatic mission, not a travel POI for the destination"
europe/serbia/kosovoprovince/pristina,Pristina,Pristina,20,107,see,Hungary,0.77,candidate,has coordinates; high-value type,42.6648,21.1522,Zanzibar,europe/serbia/kosovoprovince/pristina/zanzibar_bar,0.4,0.833,1.108,needs_external_source,,https://en.wikivoyage.org/wiki/Pristina,"embassy/diplomatic mission, not a travel POI for the destination"
asia/china/fujianprovince/taining,Taining,Taining,4,5,see,Taining National Scenic Area,0.77,candidate,has coordinates; high-value type,26.897581,117.085231,Ganlu Cliff Temple,asia/china/fujianprovince/taining/ganlu_cliff_temple,0.391,7.46,8.837,needs_external_source,,https://en.wikivoyage.org/wiki/Taining,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/finland/turku,Turku,Turku,5,262,do,Turku Fair and Congress Center,0.77,candidate,has coordinates; high-value type,60.454,22.1845,Turku Castle,europe/finland/turku/turku_castle,0.476,3.253,4.532,needs_external_source,,https://en.wikivoyage.org/wiki/Turku,"ordinary commercial, transport, event, or local facility without enough independent travel value"
europe/bosniaandherzegovina/sarajevo,Sarajevo,Sarajevo,42,173,see,top of the hill,0.77,candidate,has coordinates; high-value type,43.85409,18.44804,Bosnian Coffee,europe/bosniaandherzegovina/sarajevo/bosnian_coffee_culture,0.32,1.444,2.812,needs_external_source,,https://en.wikivoyage.org/wiki/Sarajevo,"vague, service-only, or non-POI listing"
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,North Korea,0.77,candidate,has coordinates; high-value type,13.733304,100.617897,Nonthaburi,asia/thailand/bangkok/nonthaburi,0.476,18.059,12.798,needs_external_source,,https://en.wikivoyage.org/wiki/Bangkok,"embassy/diplomatic mission, not a travel POI for the destination"
asia/india/delhi,Delhi,Delhi,105,20,see,Cambodia,0.77,candidate,has coordinates; high-value type,28.54368,77.21826,Cafe Lota,asia/india/delhi/defence_colony_cafe,0.471,8.733,7.86,needs_external_source,,https://en.wikivoyage.org/wiki/Delhi,"embassy/diplomatic mission, not a travel POI for the destination"
europe/spain/canaryislands/lanzarote/teguise,Teguise,Teguise,8,23,see,Caleras de Teguise,0.77,candidate,has coordinates; high-value type,29.0681,-13.5672,Teguise Sunday Market,europe/spain/canaryislands/lanzarote/teguise/sunday_market,0.389,1.162,1.192,needs_external_source,,https://en.wikivoyage.org/wiki/Teguise,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/netherlands/groningen,Groningen,Groningen,27,133,do,Zuidwesthoek Marina,0.77,candidate,has coordinates; high-value type,53.159776,6.565608,Grote Markt,europe/netherlands/groningen/grotemarkt,0.4,6.564,6.595,needs_external_source,,https://en.wikivoyage.org/wiki/Groningen,"ordinary commercial, transport, event, or local facility without enough independent travel value"
southamerica/chile/easterisland,Easter Island,Easter Island,20,55,see,Motu Iti,0.77,candidate,has coordinates; high-value type,-27.19944,-109.45243,Ahu Tahai,southamerica/chile/easterisland/ahu_tahai,0.471,7.048,14.012,needs_external_source,,https://en.wikivoyage.org/wiki/Easter_Island,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Studenternas Idrottsplats,0.77,candidate,has coordinates; high-value type,59.8489,17.6456,University Hall,europe/sweden/uppsala/universitetshuset,0.4,1.269,1.145,needs_external_source,,https://en.wikivoyage.org/wiki/Uppsala,"ordinary commercial, transport, event, or local facility without enough independent travel value"
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,École nationale supérieure d'arts (ENSA),0.77,candidate,has coordinates; high-value type,48.681661,6.173019,Opéra national de Lorraine,europe/france/east/lorraine/nancy/opera_national_de_lorraine,0.509,1.45,1.543,needs_external_source,,https://en.wikivoyage.org/wiki/Nancy,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/unitedkingdom/scotland/northberwick,North Berwick,North Berwick,15,21,see,Whitekirk,0.77,candidate,has coordinates; high-value type,56.026,-2.649,St Andrew's Kirk Ports,europe/unitedkingdom/scotland/northberwick/st_andrews_kirk_ports,0.387,5.617,5.717,needs_external_source,,https://en.wikivoyage.org/wiki/North_Berwick,separate village or day-trip lead rather than a flat POI in the parent destination
europe/france/normandybrittany/montsaintmichel,Mont-Saint-Michel,Mont Saint-Michel,0,10,see,ramparts,0.77,candidate,has coordinates; high-value type,48.635232,-1.509864,,,0.0,,0.142,needs_external_source,,https://en.wikivoyage.org/wiki/Mont_Saint-Michel,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Lviv State Circus,0.77,candidate,has coordinates; high-value type,49.83999,24.01385,Lviv Opera House,europe/ukraine/lviv/opera_house,0.545,0.915,1.292,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/belgium/arlon,Arlon,Arlon,0,21,see,Town Hall,0.77,candidate,has coordinates; high-value type,49.683651,5.816895,,,0.0,,0.023,needs_external_source,,https://en.wikivoyage.org/wiki/Arlon,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
northamerica/thecaribbean/grenada/stgeorges,St. George's,St. George's,8,15,see,Moliniere Point,0.77,candidate,has coordinates; high-value type,12.0843,-61.7633,MV Bianca C. Dive Site,northamerica/thecaribbean/grenada/stgeorges/mv_bianca_c,0.444,3.512,3.821,needs_external_source,,https://en.wikivoyage.org/wiki/St._George%27s,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/spain/canaryislands/tenerife/puertodelacruz,Puerto de la Cruz,Puerto de la Cruz,8,31,see,parking spots,0.77,candidate,has coordinates; high-value type,28.41694,-16.51862,Jardín Botánico (Jardín de Aclimatación de La Orotava),europe/spain/canaryislands/tenerife/puertodelacruz/jardin_botanico,0.357,2.583,3.394,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_de_la_Cruz,"vague, service-only, or non-POI listing"
europe/spain/spanishcostas/losgigantes,Los Gigantes,Los Gigantes,5,22,do,Sauces Canyon,0.77,candidate,has coordinates; high-value type,28.28312,-16.84629,Los Gigantes Marina,europe/spain/spanishcostas/losgigantes/los_gigantes_marina,0.429,4.4,4.4,needs_external_source,,https://en.wikivoyage.org/wiki/Los_Gigantes,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/italy/liguria/italianriviera/finaleligure,Finale Ligure,Finale Ligure,7,21,see,Santuario di S. Maria Pia,0.77,candidate,has coordinates; high-value type,44.172793,8.356431,Mountain Biking Trails,europe/italy/liguria/italianriviera/finaleligure/mountain_biking,0.391,0.951,1.065,needs_external_source,,https://en.wikivoyage.org/wiki/Finale_Ligure,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/spain/galicia/baiona,Baiona,Baiona,5,11,see,Hermitage of Santa Marta,0.77,candidate,has coordinates; high-value type,42.1149,-8.8363,Replica of La Pinta,europe/spain/galicia/baiona/pinta_replica,0.45,1.183,1.254,needs_external_source,,https://en.wikivoyage.org/wiki/Baiona,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
asia/iran/persepolis,Persepolis,Persepolis,0,17,see,Military areas,0.77,candidate,has coordinates; high-value type,29.9358,52.8916,,,0.0,,0.133,needs_external_source,,https://en.wikivoyage.org/wiki/Persepolis,"vague, service-only, or non-POI listing"
europe/finland/turku,Turku,Turku,5,262,do,Ruissalo camping beaches,0.77,candidate,has coordinates; high-value type,60.42144,22.09492,Turku Cathedral,europe/finland/turku/turku_cathedral,0.308,10.203,10.018,needs_external_source,,https://en.wikivoyage.org/wiki/Turku,did not clear score >= 6.0 for this parent destination after duplicate/source/travel-value review
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Monarch Launderette,0.77,candidate,has coordinates; high-value type,52.19783,0.14439,St Radegund's Restaurant,europe/unitedkingdom/england/eastern_england/cambridge/rhadegunds,0.419,1.59,1.951,needs_external_source,,https://en.wikivoyage.org/wiki/Cambridge,"ordinary commercial, transport, event, or local facility without enough independent travel value"
