world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/china/anhui/huainan,Huainan,Huainan,3,17,see,Laishan Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Shou County Museum,asia/china/anhui/huainan/shou_county_museum,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huainan,candidate score 0.59 is below the 6.0 POI threshold
asia/laos/houeixay,Huay Xai,Huay Xai,3,11,do,Morning Market,0.59,candidate,has description; high-value type; strong travel term,,,Vat Chom Khao Manilat,asia/laos/houeixay/vat_chom_khao,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huay_Xai,candidate score 0.59 is below the 6.0 POI threshold
australiaandpacific/australia/westernaustralia/bussleton,Busselton,Busselton,8,9,see,St Mary's (Church of England),0.59,candidate,has description; high-value type; strong travel term,,,St Mary's Anglican Church,australiaandpacific/australia/westernaustralia/bussleton/st_marys_church,0.529,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Busselton,candidate score 0.59 is below the 6.0 POI threshold
asia/iran/rasht,Rasht,Rasht,4,6,see,Hajj Samad Khan Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Municipality Square,asia/iran/rasht/municipality_square,0.341,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rasht,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ao Pa Long,0.59,candidate,has description; high-value type; strong travel term,,,Pi Leh Lagoon,asia/thailand/kohphiphi/pi_leh_lagoon,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi,candidate score 0.59 is below the 6.0 POI threshold
africa/namibia/outjo,Outjo,Outjo,5,6,see,Franke Haus Museum,0.59,candidate,has description; high-value type; strong travel term,,,Outjo Museum,africa/namibia/outjo/outjo_museum,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Outjo,candidate score 0.59 is below the 6.0 POI threshold
europe/austria/bludenz,Bludenz,Bludenz,4,34,do,Brandnertal,0.59,candidate,has description; high-value type; strong travel term,,,Convent of St. Peter,europe/austria/bludenz/convent_of_st_peter,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bludenz,candidate score 0.59 is below the 6.0 POI threshold
asia/cambodia/kratie,Kratie,Kratie,4,22,see,Sambor,0.59,candidate,has description; high-value type; strong travel term,,,Wat Roka Kandal,asia/cambodia/kratie/wat_roka_kandal,0.19,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kratie,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/kalamata,Kalamata,Kalamata,9,13,see,Nunnery of Saints Constantine and Helen,0.59,candidate,has description; high-value type; strong travel term,,,Church of Agioi Apostoloi,europe/greece/kalamata/church_agioi_apostoloi,0.406,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kalamata,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/tuscany/cortona,Cortona,Cortona,18,30,see,Palazzo Mancini Sernini,0.59,candidate,has description; high-value type; strong travel term,,,Piazza Signorelli,europe/italy/tuscany/cortona/piazza_signorelli,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cortona,candidate score 0.59 is below the 6.0 POI threshold
asia/laos/phonesavanh,Phonsavan,Phonsavan,7,31,see,Tad Ka Waterfall (Nong Het),0.59,candidate,has description; high-value type; strong travel term,,,Tham Piu Cave,asia/laos/phonesavanh/tham_piu_cave,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phonsavan,candidate score 0.59 is below the 6.0 POI threshold
europe/switzerland/lucerne,Lucerne,Lucerne,13,66,do,Entlebuch Biosphere,0.59,candidate,has description; high-value type; strong travel term,,,Church of St. Leodegar,europe/switzerland/lucerne/church_of_st_leodegar,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucerne,candidate score 0.59 is below the 6.0 POI threshold
africa/capeverde/fogo,Fogo,Fogo,5,7,see,Mosteiros area agriculture,0.59,candidate,has description; high-value type; strong travel term,,,São Filipe,africa/capeverde/fogo/sao_filipe,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fogo,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/ulm,Ulm,Ulm,12,35,do,Christmas market,0.59,candidate,has description; high-value type; strong travel term,,,Fishermen's Quarter (Fischerviertel),europe/germany/badenwrttemberg/ulm/fischerviertel,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ulm,candidate score 0.59 is below the 6.0 POI threshold
